date,Köln_Hbf.in,Köln_Hbf.out,Siegburg/Bonn.in,Siegburg/Bonn.out,Montabaur.in,Montabaur.out,Limburg_Süd.in,Limburg_Süd.out,Frankfurt(M)_Flughafen_Fernbf.in,Frankfurt(M)_Flughafen_Fernbf.out,Frankfurt(Main)Hbf.in,Frankfurt(Main)Hbf.out
2024-05-30,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0
2024-05-29,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
2024-05-28,-1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,2.0,2.0,2.0,-1.0
2024-05-27,-1.0,35.0,33.0,38.0,36.0,36.0,33.0,34.0,31.0,31.0,30.0,-1.0
2024-05-26,-1.0,7.0,3.0,4.0,2.0,2.0,4.0,7.0,8.0,8.0,6.0,-1.0
2024-05-25,-1.0,1.0,4.0,5.0,3.0,5.0,2.0,2.0,0.0,2.0,0.0,-1.0
2024-05-24,-1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,-1.0
2024-05-23,-1.0,7.0,5.0,5.0,3.0,3.0,1.0,1.0,0.0,0.0,0.0,-1.0
2024-05-22,-1.0,4.0,3.0,5.0,3.0,4.0,1.0,2.0,0.0,0.0,2.0,-1.0
2024-05-21,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
2024-05-20,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
2024-05-19,-1.0,1.0,34.0,35.0,32.0,34.0,33.0,33.0,30.0,30.0,30.0,-1.0
2024-05-18,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0
2024-05-16,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
2024-05-15,-1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.0
2024-05-14,-1.0,10.0,10.0,10.0,8.0,8.0,8.0,9.0,5.0,5.0,10.0,-1.0
2024-05-13,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
2024-05-12,-1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,88.0,89.0,89.0,-1.0
2024-05-11,-1.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,3.0,3.0,2.0,-1.0
2024-05-10,-1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
2024-05-09,-1.0,4.0,2.0,7.0,5.0,5.0,3.0,3.0,1.0,1.0,1.0,-1.0
2024-05-08,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,-1.0
2024-05-07,-1.0,1.0,1.0,14.0,12.0,18.0,16.0,16.0,15.0,15.0,15.0,-1.0
2024-05-06,-1.0,2.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,-1.0
2024-05-05,-1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,-1.0
2024-05-04,-1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,9.0,9.0,0.0,-1.0
2024-05-03,-1.0,37.0,38.0,42.0,40.0,40.0,38.0,38.0,34.0,35.0,34.0,-1.0
2024-05-02,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
2024-05-01,-1.0,9.0,16.0,18.0,15.0,16.0,15.0,15.0,16.0,16.0,16.0,-1.0
2024-04-30,-1.0,77.0,76.0,77.0,73.0,74.0,72.0,73.0,69.0,71.0,70.0,-1.0
2024-04-29,-1.0,13.0,10.0,11.0,7.0,7.0,5.0,5.0,2.0,2.0,1.0,-1.0
2024-04-28,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
2024-04-27,-1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,6.0,-1.0
2024-04-26,-1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,-1.0
2024-04-24,-1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,-1.0
2024-04-23,-1.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,-1.0
2024-04-22,-1.0,1.0,1.0,3.0,2.0,5.0,2.0,2.0,4.0,4.0,1.0,-1.0
2024-04-21,-1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,-1.0
2024-04-20,-1.0,6.0,3.0,5.0,3.0,4.0,1.0,2.0,0.0,1.0,0.0,-1.0
2024-04-19,-1.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
2024-04-18,-1.0,1.0,5.0,6.0,3.0,4.0,1.0,1.0,0.0,2.0,1.0,-1.0
2024-04-17,-1.0,0.0,1.0,2.0,3.0,3.0,2.0,2.0,1.0,1.0,0.0,-1.0
2024-04-16,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0
2024-04-15,-1.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,-1.0
2024-04-14,-1.0,5.0,11.0,13.0,11.0,12.0,9.0,9.0,6.0,6.0,7.0,-1.0
2024-04-13,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-1.0
2024-04-12,-1.0,1.0,0.0,1.0,0.0,0.0,1.0,15.0,3.0,3.0,3.0,-1.0
2024-04-11,-1.0,2.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,-1.0
2024-04-10,-1.0,1.0,42.0,43.0,42.0,42.0,40.0,40.0,36.0,36.0,35.0,-1.0
2024-04-09,-1.0,0.0,-1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.0
2024-04-08,-1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,-1.0
2024-04-07,-1.0,16.0,23.0,28.0,25.0,27.0,25.0,27.0,24.0,24.0,26.0,-1.0
2024-04-06,-1.0,0.0,8.0,9.0,6.0,7.0,5.0,7.0,3.0,3.0,2.0,-1.0
2024-04-05,-1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-1.0
2024-04-03,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
2024-04-02,-1.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,1.0,-1.0
2024-04-01,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
