date,M端nchen_Hbf.in,M端nchen_Hbf.out,M端nchen_Ost.in,M端nchen_Ost.out,Rosenheim.in,Rosenheim.out
2024-05-30,-1.0,0.0,-1.0,0.0,0.0,0.0
2024-05-29,-1.0,0.0,-1.0,0.0,0.0,0.0
2024-05-28,-1.0,0.0,-1.0,0.0,0.0,0.0
2024-05-27,-1.0,0.0,-1.0,0.0,0.0,0.0
2024-05-26,-1.0,0.0,-1.0,0.0,0.0,0.0
2024-05-25,-1.0,0.0,-1.0,0.0,0.0,0.0
2024-05-24,-1.0,0.0,-1.0,0.0,0.0,0.0
2024-05-23,-1.0,0.0,-1.0,0.0,0.0,0.0
2024-05-22,-1.0,0.0,-1.0,0.0,0.0,0.0
2024-05-20,-1.0,0.0,-1.0,0.0,0.0,0.0
2024-05-19,-1.0,0.0,-1.0,0.0,0.0,0.0
2024-05-18,-1.0,0.0,-1.0,0.0,0.0,0.0
2024-05-17,-1.0,0.0,-1.0,0.0,0.0,0.0
2024-05-16,-1.0,0.0,-1.0,0.0,0.0,0.0
2024-05-15,-1.0,0.0,-1.0,0.0,0.0,0.0
2024-05-14,-1.0,0.0,-1.0,0.0,0.0,0.0
2024-05-13,-1.0,0.0,0.0,0.0,-1.0,0.0
2024-05-12,-1.0,0.0,0.0,0.0,-1.0,0.0
