source,target,maxDelay,minDelay,stdDev,connections,avgDelay
Mannheim Hbf,Frankfurt am Main Flughafen Fernbahnhof,121.0,-44.0,41.11883,22.0,4.57731
Frankfurt am Main Flughafen Fernbahnhof,Limburg Süd,24.0,-208.0,58.97465,15.0,-10.29845
Limburg Süd,Siegburg/Bonn,106.0,-5.0,36.13554,3.0,21.1236
Siegburg/Bonn,Köln Messe/Deutz,123.0,-62.0,35.61814,15.0,1.20507
Köln Messe/Deutz,Düsseldorf Hbf,63.0,-125.0,45.9035,23.0,0.95163
Düsseldorf Hbf,Duisburg Hbf,67.0,-349.0,56.75862,47.0,1.1391
Essen Hbf,Bochum Hbf,79.0,-210.0,39.63572,43.0,-0.37159
Bochum Hbf,Dortmund Hbf,210.0,-37.0,50.9262,39.0,0.83854
Limburg Süd,Montabaur,20.0,-28.0,5.71459,12.0,-0.50791
Montabaur,Siegburg/Bonn,156.0,-48.0,43.69186,16.0,2.84795
Bruchsal,Wiesloch-Walldorf,7.0,-2.0,2.24673,5.0,0.22078
Wiesloch-Walldorf,Heidelberg Hbf,43.0,-7.0,8.99664,11.0,0.39254
Heidelberg Hbf,Neu-Edingen/Friedrichsfeld,0.0,-31.0,6.79219,2.0,-0.80556
Neu-Edingen/Friedrichsfeld,Bensheim,34.0,0.0,7.56783,2.0,1.11111
Friedberg (Hess),Göttingen,22.0,-18.0,7.76101,1.0,-0.33333
Hannover Hbf,Gießen,77.0,0.0,16.96355,1.0,5.80952
Treysa,Kassel-Wilhelmshöhe,49.0,-8.0,8.8337,2.0,0.51852
Kassel-Wilhelmshöhe,Wabern (Bz Kassel),21.0,-35.0,10.59492,8.0,0.23148
Wabern (Bz Kassel),Treysa,14.0,-2.0,4.50124,8.0,0.07407
Treysa,Marburg (Lahn),18.0,-5.0,6.52597,9.0,-0.06936
Marburg (Lahn),Gießen,25.0,-16.0,8.51328,9.0,0.03468
Gießen,Friedberg (Hess),4.0,-3.0,2.35697,9.0,-0.14451
Friedberg (Hess),Frankfurt (Main) Hbf,51.0,-6.0,9.02742,7.0,0.22727
Berlin Südkreuz,Berlin Ostbahnhof,64.0,-317.0,45.16455,3.0,-6.09211
Stuttgart Hbf,Heidelberg Hbf,30.0,-126.0,18.84764,3.0,-2.17222
Heidelberg Hbf,Mannheim Hbf,117.0,-43.0,25.51858,15.0,1.55774
Mannheim Hbf,Mainz Hbf,133.0,-22.0,24.7549,11.0,2.73664
Mainz Hbf,Bingen (Rhein) Hbf,70.0,-89.0,16.91395,6.0,0.80656
Bingen (Rhein) Hbf,Koblenz Hbf,106.0,-5.0,21.61161,5.0,1.184
Koblenz Hbf,Köln Messe/Deutz,90.0,-77.0,31.57031,6.0,-4.39167
Köln Messe/Deutz,Andernach,122.0,-60.0,37.03451,6.0,5.38908
Andernach,Remagen,20.0,-2.0,6.12669,7.0,0.11582
Remagen,Bonn Hbf,57.0,-40.0,14.48878,10.0,0.45506
Bonn Hbf,Köln Hbf,173.0,-18.0,46.76329,23.0,3.12987
Köln Hbf,Wuppertal Hbf,58.0,-28.0,21.60425,10.0,2.77817
Hagen Hbf,Berlin Zoologischer Garten,0.0,-66.0,16.15693,1.0,-17.73333
Berlin Zoologischer Garten,Bielefeld Hbf,65.0,0.0,16.33473,1.0,15.91667
Hannover Hbf,Berlin-Spandau,138.0,-94.0,57.44322,11.0,-1.55775
Dortmund Hbf,Hamm (Westf) Hbf,150.0,-55.0,48.84183,36.0,2.13913
Bielefeld Hbf,Minden (Westf),133.0,-111.0,47.23579,8.0,-0.58246
Minden (Westf),Hannover Hbf,126.0,-133.0,49.52371,14.0,1.92169
Frankfurt (Main) Hbf,Mannheim Hbf,181.0,-38.0,41.9374,11.0,3.79695
Mannheim Hbf,Karlsruhe Hbf,190.0,-3.0,35.56514,4.0,12.8022
Karlsruhe Hbf,Baden-Baden,65.0,-34.0,21.37663,5.0,1.97674
Baden-Baden,Offenburg,25.0,-56.0,20.93725,4.0,0.07692
Offenburg,Freiburg (Breisgau) Hbf,9.0,-4.0,2.80362,1.0,0.11765
Emden Hbf,Marienhafe,32.0,-21.0,7.61477,4.0,0.0042
Marienhafe,Norden,11.0,-38.0,6.90576,4.0,-0.60504
Halle (Saale) Hbf,Köln Messe/Deutz,0.0,-1.0,0.25156,1.0,-0.06667
Bonn-Beuel,Köthen,3.0,0.0,0.43957,1.0,0.1
Köthen,Bonn Hbf,0.0,-2.0,0.33404,1.0,-0.08333
Bonn Hbf,Koblenz Hbf,94.0,-23.0,38.33876,11.0,3.6307
Koblenz Hbf,Mainz Hbf,99.0,-74.0,27.00016,12.0,-0.28273
Mainz Hbf,Frankfurt am Main Flughafen Fernbahnhof,66.0,-89.0,16.77824,10.0,0.42007
Frankfurt (Main) Hbf,Magdeburg Hbf,3.0,0.0,0.40616,1.0,0.06667
Minden (Westf),Bad Oeynhausen,18.0,-37.0,7.10963,7.0,-0.45238
Bad Oeynhausen,Herford,12.0,-5.0,4.00861,7.0,0.29524
Bielefeld Hbf,Gütersloh Hbf,15.0,-138.0,32.10413,10.0,-2.06491
Gütersloh Hbf,Hamm (Westf) Hbf,139.0,-8.0,47.36849,11.0,2.90635
Dortmund Hbf,Hagen Hbf,161.0,-144.0,46.23015,20.0,1.29705
Wuppertal Hbf,Solingen Hbf,40.0,-47.0,13.72059,11.0,-0.34656
Stuttgart Hbf,Chemnitz Hbf,0.0,-11.0,1.86151,1.0,-0.98305
Chemnitz Hbf,Schorndorf,16.0,0.0,2.76754,1.0,1.40678
Schorndorf,Schwäbisch Gmünd,7.0,-2.0,2.48397,2.0,-0.26891
Ellwangen,Dresden Hbf,0.0,-21.0,3.87947,1.0,-2.13559
Dresden Hbf,Crailsheim,20.0,0.0,3.78491,1.0,2.32203
Ostseebad Binz,Hamburg Dammtor,32.0,-3.0,5.02971,1.0,0.91667
Hamburg Dammtor,Bergen auf Rügen,2.0,-33.0,5.12695,1.0,-0.95
Stralsund Hbf,Velgast,12.0,-3.0,2.63997,10.0,-0.10962
Velgast,Ribnitz-Damgarten West,10.0,-3.0,2.68581,10.0,-0.06264
Ribnitz-Damgarten West,Rostock Hbf,40.0,-14.0,8.49786,9.0,0.1958
Rostock Hbf,Hamburg-Harburg,11.0,-43.0,6.19593,1.0,-1.01667
Hamburg-Harburg,Recklinghausen Hbf,59.0,0.0,15.20774,1.0,9.25
Recklinghausen Hbf,Essen Hbf,189.0,-101.0,35.18655,6.0,1.9026
Essen Hbf,Köln Messe/Deutz,29.0,-190.0,34.81888,3.0,-8.82682
Köln Messe/Deutz,Duisburg Hbf,190.0,-58.0,35.52861,3.0,9.40782
Düsseldorf Hbf,Bützow,11.0,-188.0,28.22338,1.0,-15.48333
Bützow,Schwerin Hbf,52.0,-113.0,16.66854,6.0,-0.22394
Schwerin Hbf,Hamburg-Altona,0.0,-53.0,8.67368,1.0,-2.56667
Hamburg-Altona,Bonn-Beuel,38.0,-25.0,7.46245,1.0,-1.2
Bonn-Beuel,Hamburg Hbf,61.0,-42.0,13.3461,1.0,5.01667
Hamburg Hbf,Solingen Hbf,28.0,-59.0,14.1547,1.0,-4.01667
Aschaffenburg Hbf,Fürth (Bay) Hbf,87.0,-108.0,31.1244,1.0,-25.81667
Fürth (Bay) Hbf,Würzburg Hbf,112.0,-10.0,28.69644,1.0,28.15
Dortmund Hbf,Köln Hbf,169.0,-22.0,27.77604,3.0,2.93855
Essen Hbf,Solingen Hbf,103.0,-175.0,44.4417,6.0,-6.51275
Solingen Hbf,Münster (Westf) Hbf,201.0,-17.0,59.35735,5.0,17.45151
Münster (Westf) Hbf,Hamburg-Harburg,115.0,-18.0,28.26432,4.0,-0.7113
Hamburg Dammtor,Itzehoe,85.0,-56.0,19.96799,6.0,0.2947
Itzehoe,Heide (Holst),20.0,-13.0,10.27034,7.0,2.6768
Heide (Holst),Husum,70.0,-3.0,13.42832,7.0,1.12707
Husum,Niebüll,100.0,-64.0,17.99649,7.0,0.98066
Stuttgart Hbf,Vaihingen (Enz),55.0,-53.0,17.29138,17.0,-0.21189
Vaihingen (Enz),Bruchsal,20.0,-14.0,5.2228,1.0,3.28814
Bruchsal,Karlsruhe Hbf,28.0,-9.0,8.18705,7.0,0.2446
Frankfurt (Main) Hbf,Fulda,326.0,-176.0,71.23271,18.0,-4.353
Fulda,Bad Hersfeld,17.0,-24.0,7.9499,8.0,0.47706
Bad Hersfeld,Eisenach,91.0,-17.0,20.77657,8.0,1.51147
Gotha,Erfurt Hbf,83.0,-11.0,29.42039,14.0,0.40355
Leipzig Hbf,Riesa,80.0,-70.0,21.1259,16.0,-0.12786
Riesa,Dresden-Neustadt,21.0,-80.0,15.08928,14.0,0.63588
Dresden-Neustadt,Dresden Hbf,52.0,-215.0,39.10999,23.0,-0.49759
Köln Hbf,Köln Messe/Deutz,180.0,-202.0,63.25272,9.0,-0.87716
Köln Messe/Deutz,Solingen Hbf,79.0,-106.0,39.17008,8.0,4.38362
Solingen Hbf,Düsseldorf Hbf,97.0,-201.0,82.59599,18.0,-8.15166
Düsseldorf Flughafen,Wuppertal Hbf,59.0,-92.0,22.33108,2.0,-4.84762
Wuppertal Hbf,Duisburg Hbf,90.0,-59.0,28.85682,5.0,5.64437
Duisburg Hbf,Mülheim (Ruhr) Hbf,20.0,-2.0,4.08173,3.0,0.44099
Mülheim (Ruhr) Hbf,Essen Hbf,13.0,-5.0,2.43274,3.0,-0.02484
Essen Hbf,Hagen Hbf,63.0,-74.0,22.4875,5.0,-0.21603
Hagen Hbf,Bochum Hbf,75.0,-64.0,23.34639,5.0,-0.20209
Dortmund Hbf,Münster (Westf) Hbf,74.0,-73.0,28.27542,14.0,3.39604
Münster (Westf) Hbf,Osnabrück Hbf,84.0,-75.0,25.90131,18.0,-0.09257
Osnabrück Hbf,Diepholz,58.0,-11.0,8.63519,2.0,-1.18095
Diepholz,Bremen Hbf,9.0,-55.0,8.34963,2.0,-0.78095
Bremen Hbf,Hamburg-Harburg,114.0,-57.0,34.60894,15.0,0.47775
Hamburg Hbf,Hamburg-Altona,21.0,-253.0,45.45306,14.0,-0.98324
Koblenz Hbf,Radolfzell,3.0,-50.0,7.6661,1.0,-2.43636
Radolfzell,Köln Messe/Deutz,13.0,-3.0,2.45594,1.0,0.52727
Andernach,Donaueschingen,5.0,-50.0,7.81663,1.0,-2.41818
Donaueschingen,Villingen (Schwarzw),0.0,-1.0,0.29014,1.0,-0.09091
Villingen (Schwarzw),Triberg,2.0,0.0,0.72567,1.0,0.34545
Triberg,Hausach,3.0,0.0,0.77503,1.0,0.34545
Hausach,Offenburg,28.0,0.0,4.66688,1.0,1.67273
Offenburg,Baden-Baden,54.0,-11.0,10.02112,3.0,0.51724
Baden-Baden,Karlsruhe Hbf,4.0,-4.0,2.08655,3.0,0.17931
Karlsruhe Hbf,Mannheim Hbf,17.0,-12.0,4.59981,5.0,0.06844
Mannheim Hbf,Worms Hbf,4.0,-23.0,4.07955,2.0,-0.57353
Worms Hbf,Mainz Hbf,19.0,-3.0,3.17774,2.0,0.26471
Bingen (Rhein) Hbf,Remagen,49.0,-1.0,7.65621,1.0,2.70909
Remagen,Bonn-Beuel,17.0,-49.0,9.48584,2.0,-1.72321
Bonn-Beuel,Bonn Hbf,87.0,-41.0,34.11815,5.0,7.03082
Emden Hbf,Konstanz,0.0,0.0,0.0,1.0,0.0
Konstanz,Singen (Hohentwiel),1.0,-1.0,0.35581,1.0,0.05455
Stuttgart Hbf,Bruchsal,18.0,-108.0,18.22207,6.0,-0.75839
Dortmund Hbf,Witten Hbf,49.0,-14.0,8.13029,5.0,0.86063
Witten Hbf,Altena (Westf),59.0,-32.0,12.14597,5.0,1.63066
Altena (Westf),Werdohl,7.0,-4.0,1.98408,5.0,0.31707
Werdohl,Plettenberg,7.0,-5.0,2.06425,5.0,0.30662
Plettenberg,Finnentrop,40.0,-4.0,6.41253,5.0,0.24042
Finnentrop,Lennestadt-Grevenbrück,38.0,-45.0,7.95135,5.0,0.00348
Lennestadt-Grevenbrück,Lennestadt-Altenhundem,9.0,-38.0,5.60898,5.0,-0.81882
Lennestadt-Altenhundem,Kreuztal,14.0,-26.0,4.84702,5.0,0.44251
Kreuztal,Siegen-Weidenau,37.0,-3.0,5.38612,5.0,0.63066
Siegen-Weidenau,Dillenburg,100.0,-38.0,21.67926,4.0,1.10526
Dillenburg,Wetzlar,11.0,-119.0,16.93203,5.0,0.0662
Wetzlar,Bad Nauheim,40.0,-23.0,12.81547,6.0,1.317
Bad Nauheim,Frankfurt (Main) West,119.0,-48.0,18.37883,6.0,0.83285
Frankfurt (Main) West,Frankfurt (Main) Hbf,150.0,-149.0,33.90656,7.0,-3.05495
Bremen Hbf,Osnabrück Hbf,114.0,-35.0,22.3864,13.0,-1.42722
Osnabrück Hbf,Münster (Westf) Hbf,36.0,-41.0,16.56046,20.0,0.03378
Münster (Westf) Hbf,Dortmund Hbf,180.0,-107.0,40.74004,12.0,3.81933
Wuppertal Hbf,Bochum Hbf,150.0,-30.0,21.09849,2.0,3.72072
Essen Hbf,Duisburg Hbf,99.0,-77.0,37.15316,56.0,0.24844
Solingen Hbf,Köln Messe/Deutz,134.0,-201.0,57.22177,10.0,-7.0661
Köln Messe/Deutz,Köln Hbf,226.0,-127.0,100.72018,20.0,5.79524
Köln Hbf,Frankfurt am Main Flughafen Fernbahnhof,111.0,-125.0,38.11442,6.0,-0.05833
Frankfurt am Main Flughafen Fernbahnhof,Mannheim Hbf,261.0,-20.0,62.78546,22.0,5.33001
Gelsenkirchen Hbf,Oberhausen Hbf,190.0,-55.0,31.82259,5.0,1.98973
Düsseldorf Hbf,Köln Hbf,208.0,-64.0,78.63547,31.0,7.37135
Mannheim Hbf,Radolfzell,0.0,-17.0,2.22213,1.0,-0.33333
Radolfzell,Konstanz,7.0,-3.0,1.1781,2.0,0.04717
Konstanz,Karlsruhe Hbf,19.0,0.0,2.5258,1.0,0.4
Offenburg,Hausach,4.0,-4.0,1.86392,3.0,0.05085
Hausach,Triberg,4.0,-2.0,1.11968,3.0,0.16949
Triberg,Donaueschingen,4.0,-10.0,1.39855,1.0,-0.1
Donaueschingen,Immendingen,1.0,-1.0,0.2472,2.0,-0.00943
Immendingen,Singen (Hohentwiel),0.0,-4.0,1.04049,2.0,-0.16038
Singen (Hohentwiel),Villingen (Schwarzw),3.0,0.0,0.3873,1.0,0.05
Münster (Westf) Hbf,Hamm (Westf) Hbf,33.0,-40.0,12.1192,5.0,0.56164
Bochum Hbf,Hagen Hbf,31.0,-117.0,21.6567,3.0,-4.05
Hagen Hbf,Essen Hbf,117.0,-61.0,36.78888,5.0,6.64527
Duisburg Hbf,Wuppertal Hbf,64.0,-124.0,29.75527,5.0,-1.67559
Wuppertal Hbf,Düsseldorf Flughafen,91.0,-21.0,15.42409,2.0,3.425
Düsseldorf Flughafen,Düsseldorf Hbf,96.0,-121.0,36.81249,15.0,1.39841
Köln Hbf,Remagen,24.0,-33.0,11.49717,2.0,-0.09167
Bonn Hbf,Mainz Hbf,28.0,-47.0,11.43158,1.0,-1.38333
Frankfurt am Main Flughafen Fernbahnhof,Koblenz Hbf,155.0,-69.0,30.93361,3.0,4.91111
Bingen (Rhein) Hbf,Frankfurt (Main) Hbf,33.0,-8.0,7.03141,1.0,1.5
Berlin Ostbahnhof,Wolfsburg Hbf,1.0,-11.0,1.79264,1.0,-0.8
Wolfsburg Hbf,Berlin Hbf,5.0,-26.0,3.53238,1.0,-0.11667
Bielefeld Hbf,Wuppertal Hbf,4.0,-91.0,14.59288,1.0,-5.88333
Köln Hbf,Aachen Hbf,15.0,-21.0,5.37687,1.0,-2.93333
Stuttgart Hbf,Böblingen,72.0,-5.0,11.41979,3.0,0.74534
Böblingen,Herrenberg,5.0,-12.0,2.97389,3.0,0.47826
Herrenberg,Gäufelden,4.0,-20.0,4.16301,3.0,-0.76398
Gäufelden,Bondorf (b Herrenberg),18.0,-4.0,3.85224,2.0,0.40367
Bondorf (b Herrenberg),Horb,16.0,-4.0,3.56516,2.0,1.22018
Horb,Berlin-Spandau,20.0,-17.0,4.62048,1.0,-1.85455
Berlin-Spandau,Oberndorf (Neckar),19.0,0.0,3.13694,1.0,1.41818
Sulz (Neckar),Rottweil,18.0,-4.0,3.13683,1.0,1.29091
Würzburg Hbf,Aschaffenburg Hbf,155.0,-98.0,35.85813,20.0,0.45571
Aschaffenburg Hbf,Frankfurt (Main) Hbf,231.0,-60.0,50.4131,19.0,3.11304
Frankfurt (Main) Hbf,Frankfurt am Main Flughafen Fernbahnhof,70.0,-215.0,63.11306,38.0,-0.02647
Frankfurt am Main Flughafen Fernbahnhof,Köln Hbf,34.0,-67.0,14.64247,2.0,-5.625
Essen Hbf,Düsseldorf Hbf,63.0,-2.0,17.04934,3.0,6.11111
Wuppertal Hbf,Gelsenkirchen Hbf,23.0,-14.0,5.24195,1.0,-0.0678
Gelsenkirchen Hbf,Bochum Hbf,160.0,-29.0,43.64368,3.0,14.58101
Düsseldorf Hbf,Köln Messe/Deutz,74.0,-98.0,41.56938,26.0,-1.49706
Köln Hbf,Montabaur,47.0,-95.0,34.70329,5.0,-6.83946
Siegburg/Bonn,Frankfurt am Main Flughafen Fernbahnhof,147.0,-70.0,44.29743,9.0,1.93032
Frankfurt am Main Flughafen Fernbahnhof,Köln Messe/Deutz,115.0,-93.0,33.01993,7.0,-5.39788
Dresden Hbf,Dresden-Neustadt,20.0,-31.0,10.0356,22.0,-0.40761
Dresden-Neustadt,Berlin Südkreuz,8.0,-7.0,3.24425,1.0,1.01667
Berlin Hbf,Berlin-Lichtenberg,13.0,-16.0,3.52794,1.0,-1.16667
Berlin-Lichtenberg,Berlin Gesundbrunnen,18.0,-10.0,3.74127,3.0,0.16
Berlin Gesundbrunnen,Berlin-Spandau,68.0,-36.0,22.60381,7.0,2.59472
Berlin-Spandau,Wittenberge,49.0,-86.0,22.91586,8.0,-1.54293
Wittenberge,Ludwigslust,8.0,-48.0,7.6219,10.0,-0.35569
Ludwigslust,Büchen,20.0,-4.0,3.51465,5.0,-0.35931
Büchen,Hamburg-Bergedorf,11.0,-35.0,5.33351,2.0,0.07368
Hamburg-Bergedorf,Hamburg Hbf,10.0,-6.0,2.48452,2.0,0.28421
München Hbf,München Ost,0.0,0.0,0.0,5.0,0.0
München Ost,Rosenheim,0.0,0.0,0.0,5.0,0.0
Bruchsal,Stuttgart Hbf,19.0,-6.0,5.85775,2.0,0.91453
Stuttgart Hbf,Esslingen (Neckar),47.0,-76.0,24.76193,5.0,-6.25589
Esslingen (Neckar),Ulm Hbf,85.0,-3.0,24.90967,5.0,7.54882
Dortmund Hbf,Unna,45.0,-77.0,17.92124,2.0,1.16807
Unna,Siegen-Weidenau,45.0,-45.0,12.18987,1.0,-3.31667
Siegen-Weidenau,Schwerte (Ruhr),42.0,-84.0,15.11197,1.0,2.03333
Schwerte (Ruhr),Lennestadt-Altenhundem,81.0,-1.0,20.68523,2.0,8.9916
Lennestadt-Altenhundem,Dillenburg,140.0,-40.0,21.21715,2.0,3.7395
Dillenburg,Friedberg (Hess),0.0,-148.0,24.74683,1.0,-18.03333
Friedberg (Hess),Wetzlar,149.0,0.0,25.27675,1.0,19.96667
Mainz Hbf,Mannheim Hbf,176.0,-105.0,33.16015,11.0,2.79466
Heidelberg Hbf,Vaihingen (Enz),92.0,-56.0,40.68807,5.0,6.27931
Jena-Göschwitz,Jena West,1.0,-2.0,0.83564,3.0,-0.15882
Jena West,Weimar,15.0,-8.0,2.48184,3.0,0.02353
Weimar,Erfurt Hbf,6.0,-2.0,2.39098,4.0,0.6484
Erfurt Hbf,Gotha,25.0,-48.0,16.86445,13.0,-1.02244
Gotha,Eisenach,20.0,-3.0,5.96405,12.0,-0.12072
Eisenach,Kassel-Wilhelmshöhe,93.0,-6.0,15.51037,3.0,2.54706
Kassel-Wilhelmshöhe,Warburg (Westf),14.0,-3.0,4.33667,2.0,1.22689
Warburg (Westf),Altenbeken,27.0,-1.0,4.85568,2.0,3.05882
Altenbeken,Paderborn Hbf,6.0,-2.0,1.59936,2.0,-0.21849
Paderborn Hbf,Lippstadt,9.0,-1.0,2.23084,2.0,0.33613
Lippstadt,Soest,17.0,-2.0,2.6727,2.0,0.31933
Soest,Hamm (Westf) Hbf,6.0,0.0,1.42218,1.0,1.66667
Duisburg Hbf,Düsseldorf Flughafen,14.0,-98.0,28.01883,14.0,0.20219
Stuttgart Hbf,Wiesloch-Walldorf,47.0,-19.0,11.93612,4.0,-0.51754
Niebüll,Westerland (Sylt),95.0,-9.0,26.81369,7.0,3.00829
Mühlacker,Stuttgart Hbf,15.0,-1.0,3.44476,2.0,1.20833
Mannheim Hbf,Frankfurt (Main) Hbf,81.0,-59.0,26.4367,12.0,4.96633
Berlin-Spandau,Erfurt Hbf,102.0,-131.0,34.54756,4.0,6.47083
Erfurt Hbf,Berlin Ostbahnhof,89.0,-104.0,30.9174,4.0,-7.60833
Berlin Ostbahnhof,Halle (Saale) Hbf,102.0,0.0,27.48411,4.0,8.58333
Köln Hbf,Berlin-Spandau,102.0,-9.0,22.36646,3.0,6.89286
Vaihingen (Enz),Wiesloch-Walldorf,56.0,-42.0,14.35266,3.0,1.08889
Mainz Hbf,Wiesbaden Hbf,108.0,-8.0,30.94947,7.0,3.34717
Dresden-Neustadt,Elsterwerda,23.0,-9.0,7.49158,10.0,-0.08432
Elsterwerda,Doberlug-Kirchhain,51.0,-45.0,10.40161,6.0,-0.5113
Doberlug-Kirchhain,Berlin Südkreuz,68.0,-9.0,15.3071,6.0,3.54494
Berlin Gesundbrunnen,Oranienburg,32.0,-57.0,12.12143,7.0,1.31961
Oranienburg,Neustrelitz Hbf,8.0,-7.0,5.68699,7.0,-1.63196
Neustrelitz Hbf,Waren (Müritz),52.0,-2.0,7.19506,7.0,-0.05811
Waren (Müritz),Schwerin Hbf,37.0,-77.0,16.78454,3.0,-3.21229
Schwerin Hbf,Rostock Hbf,73.0,-12.0,18.25612,4.0,3.0795
Rostock Hbf,Warnemünde,22.0,-56.0,11.38053,6.0,-1.1728
Donauwörth,Nürnberg Hbf,62.0,-29.0,13.65945,4.0,0.88655
Nürnberg Hbf,Bamberg,94.0,-38.0,18.24948,7.0,1.31436
Bamberg,Erfurt Hbf,55.0,-8.0,16.97579,14.0,-1.43814
Halle (Saale) Hbf,Bitterfeld,27.0,-62.0,11.96533,8.0,0.35435
Bitterfeld,Berlin Südkreuz,114.0,-11.0,30.84071,9.0,1.05577
Berlin-Spandau,Hamburg Hbf,280.0,-12.0,79.90665,14.0,5.53248
Köln Messe/Deutz,Siegburg/Bonn,76.0,-88.0,25.50931,6.0,-1.2191
Limburg Süd,Köln Hbf,95.0,-71.0,24.29765,4.0,5.21667
Bochum Hbf,Solingen Hbf,90.0,-216.0,67.10445,6.0,-12.8468
Solingen Hbf,Dortmund Hbf,215.0,-11.0,58.48092,8.0,15.44118
Hamm (Westf) Hbf,Soest,92.0,-3.0,12.38564,3.0,1.93296
Soest,Lippstadt,7.0,-3.0,1.99496,3.0,1.0
Lippstadt,Paderborn Hbf,45.0,-1.0,6.48479,3.0,1.22346
Paderborn Hbf,Altenbeken,7.0,-3.0,2.22543,3.0,-1.29609
Altenbeken,Warburg (Westf),17.0,-2.0,3.99957,3.0,0.82682
Warburg (Westf),Kassel-Wilhelmshöhe,38.0,-5.0,8.81779,3.0,0.67598
Kassel-Wilhelmshöhe,Eisenach,91.0,-171.0,36.09526,5.0,3.15541
Erfurt Hbf,Weimar,7.0,-81.0,21.16704,4.0,-2.83404
Weimar,Jena West,8.0,-6.0,2.18386,3.0,-0.05682
Jena West,Jena-Göschwitz,5.0,-11.0,2.32165,3.0,0.01136
Jena-Göschwitz,Stadtroda,7.0,-3.0,1.59292,3.0,-0.43182
Stadtroda,Hermsdorf-Klosterlausnitz,13.0,-3.0,2.78551,3.0,0.53409
Hermsdorf-Klosterlausnitz,Gera Hbf,5.0,-11.0,2.91598,3.0,-0.46023
Hannover Hbf,Bielefeld Hbf,74.0,-31.0,28.51416,18.0,2.97975
Bielefeld Hbf,Hamm (Westf) Hbf,175.0,-128.0,59.03549,23.0,2.35638
Münster (Westf) Hbf,Gelsenkirchen Hbf,9.0,-83.0,22.25871,3.0,-8.12925
Gelsenkirchen Hbf,Essen Hbf,107.0,-68.0,36.6761,6.0,2.85276
Frankfurt (Main) Hbf,Erfurt Hbf,0.0,0.0,0.0,2.0,0.0
Büchen,Hamburg Hbf,136.0,-18.0,44.8961,4.0,6.68421
Berlin Südkreuz,Berlin Gesundbrunnen,25.0,-77.0,14.05384,5.0,-0.22837
Münster (Westf) Hbf,Bremen Hbf,7.0,-3.0,1.18346,1.0,-0.0566
Bremen Hbf,Hamburg Hbf,0.0,-3.0,0.66096,1.0,-0.20755
Hannover Hbf,Bremen Hbf,22.0,-4.0,18.37137,7.0,3.44776
Berlin Hbf,Esslingen (Neckar),3.0,0.0,0.48666,1.0,0.07895
Esslingen (Neckar),Karlsruhe Hbf,0.0,0.0,0.0,1.0,0.0
Bruchsal,Wolfsburg Hbf,0.0,-4.0,0.7965,1.0,-0.47368
Braunschweig Hbf,Stuttgart Hbf,8.0,0.0,1.826,1.0,1.73684
Stuttgart Hbf,Hanau Hbf,0.0,-7.0,1.47743,1.0,-2.07895
Hanau Hbf,Würzburg Hbf,33.0,-8.0,7.95936,2.0,1.18367
Ingolstadt Hbf,Hildesheim Hbf,1.0,0.0,0.16223,1.0,0.02632
Göttingen,Ulm Hbf,21.0,0.0,4.18831,1.0,2.84211
