source,target,sumDelay,numTrains,numDelayedTrains,avgDelay,punctuality
Dresden Hbf,Dresden-Neustadt,-207.0,807,558,-0.2565,0.6914
Dresden-Neustadt,Riesa,499.0,536,438,0.931,0.8172
Riesa,Leipzig Hbf,-1098.0,579,473,-1.8964,0.8169
Leipzig Hbf,Halle (Saale) Hbf,3189.0,1174,725,2.7164,0.6175
Halle (Saale) Hbf,Köthen,18.0,502,374,0.0359,0.745
Köthen,Magdeburg Hbf,319.0,500,426,0.638,0.852
Magdeburg Hbf,Braunschweig Hbf,33.0,205,186,0.161,0.9073
Braunschweig Hbf,Hannover Hbf,228.0,298,225,0.7651,0.755
Köln Hbf,Düsseldorf Hbf,-150.0,1452,1086,-0.1033,0.7479
Düsseldorf Hbf,Wuppertal Hbf,7202.0,639,575,11.2707,0.8998
Wuppertal Hbf,Hagen Hbf,2660.0,1662,1307,1.6005,0.7864
Hagen Hbf,Hamm (Westf) Hbf,-779.0,514,493,-1.5156,0.9591
Hamm (Westf) Hbf,Bielefeld Hbf,3364.0,1143,1131,2.9431,0.9895
Bielefeld Hbf,Hannover Hbf,1563.0,1074,1056,1.4553,0.9832
Hannover Hbf,Wolfsburg Hbf,-662.0,1119,1073,-0.5916,0.9589
Wolfsburg Hbf,Berlin-Spandau,-1760.0,1342,1011,-1.3115,0.7534
Berlin-Spandau,Berlin Hbf,2806.0,3320,2708,0.8452,0.8157
Berlin Hbf,Berlin Ostbahnhof,809.0,1957,1411,0.4134,0.721
Frankfurt (Main) Hbf,Frankfurt am Main Flughafen Fernbahnhof,1356.0,1749,1549,0.7753,0.8856
Frankfurt am Main Flughafen Fernbahnhof,Limburg Süd,-4777.0,940,819,-5.0819,0.8713
Limburg Süd,Montabaur,-678.0,1049,547,-0.6463,0.5214
Montabaur,Siegburg/Bonn,1272.0,1058,644,1.2023,0.6087
Siegburg/Bonn,Köln Hbf,1192.0,625,539,1.9072,0.8624
Karlsruhe Hbf,Pforzheim Hbf,-123.0,183,116,-0.6721,0.6339
Pforzheim Hbf,Mühlacker,-66.0,229,70,-0.2882,0.3057
Mühlacker,Vaihingen (Enz),108.0,147,62,0.7347,0.4218
Vaihingen (Enz),Stuttgart Hbf,152.0,335,271,0.4537,0.809
Stuttgart Hbf,Schwäbisch Gmünd,207.0,189,184,1.0952,0.9735
Schwäbisch Gmünd,Aalen Hbf,-93.0,302,261,-0.3079,0.8642
Aalen Hbf,Ellwangen,81.0,302,258,0.2682,0.8543
Ellwangen,Crailsheim,328.0,243,242,1.3498,0.9959
Crailsheim,Ansbach,1.0,299,286,0.0033,0.9565
Ansbach,Nürnberg Hbf,-581.0,292,285,-1.9897,0.976
Düsseldorf Hbf,Düsseldorf Flughafen,-385.0,722,548,-0.5332,0.759
Düsseldorf Flughafen,Duisburg Hbf,709.0,876,645,0.8094,0.7363
Duisburg Hbf,Oberhausen Hbf,-1148.0,346,273,-3.3179,0.789
Oberhausen Hbf,Gelsenkirchen Hbf,574.0,343,169,1.6735,0.4927
Gelsenkirchen Hbf,Wanne-Eickel Hbf,-7.0,306,148,-0.0229,0.4837
Wanne-Eickel Hbf,Recklinghausen Hbf,213.0,239,124,0.8912,0.5188
Recklinghausen Hbf,Münster (Westf) Hbf,1643.0,275,241,5.9745,0.8764
Münster (Westf) Hbf,Rheine,194.0,363,321,0.5344,0.8843
Rheine,Lingen (Ems),306.0,362,320,0.8453,0.884
Lingen (Ems),Meppen,-419.0,362,300,-1.1575,0.8287
Meppen,Papenburg (Ems),-166.0,360,278,-0.4611,0.7722
Papenburg (Ems),Leer (Ostfriesl),-243.0,354,295,-0.6864,0.8333
Leer (Ostfriesl),Emden Hbf,279.0,698,613,0.3997,0.8782
Emden Hbf,Norden,45.0,190,169,0.2368,0.8895
Norden,Norddeich,-317.0,268,206,-1.1828,0.7687
Norddeich,Norddeich Mole,88.0,227,169,0.3877,0.7445
Warnemünde,Rostock Hbf,-159.0,368,295,-0.4321,0.8016
Rostock Hbf,Berlin Hbf,-170.0,53,45,-3.2075,0.8491
Berlin Hbf,Bützow,75.0,109,87,0.6881,0.7982
Bützow,Bad Kleinen,-32.0,150,82,-0.2133,0.5467
Bad Kleinen,Schwerin Hbf,89.0,151,95,0.5894,0.6291
Schwerin Hbf,Ludwigslust,88.0,157,108,0.5605,0.6879
Ludwigslust,Wittenberge,-408.0,706,407,-0.5779,0.5765
Wittenberge,Stendal Hbf,133.0,169,117,0.787,0.6923
Stendal Hbf,Magdeburg Hbf,446.0,168,152,2.6548,0.9048
Magdeburg Hbf,Köthen,954.0,552,496,1.7283,0.8986
Köthen,Halle (Saale) Hbf,-11.0,575,441,-0.0191,0.767
Halle (Saale) Hbf,Leipzig Hbf,513.0,681,540,0.7533,0.793
Karlsruhe Hbf,Esslingen (Neckar),-68.0,54,26,-1.2593,0.4815
Esslingen (Neckar),Bruchsal,102.0,54,36,1.8889,0.6667
Bruchsal,Stuttgart Hbf,268.0,156,151,1.7179,0.9679
Stuttgart Hbf,Ulm Hbf,-1.0,1169,1074,-0.0009,0.9187
Ulm Hbf,Augsburg Hbf,413.0,1272,1187,0.3247,0.9332
Augsburg Hbf,München-Pasing,-2781.0,1587,1414,-1.7524,0.891
München-Pasing,München Hbf,2686.0,1437,1210,1.8692,0.842
Berlin Südkreuz,Berlin Hbf,2239.0,2587,2314,0.8655,0.8945
Berlin Hbf,Berlin-Spandau,-3639.0,3230,3021,-1.1266,0.9353
Berlin-Spandau,Stendal Hbf,-258.0,751,492,-0.3435,0.6551
Stendal Hbf,Wolfsburg Hbf,18.0,671,417,0.0268,0.6215
Wolfsburg Hbf,Braunschweig Hbf,-175.0,691,345,-0.2533,0.4993
Braunschweig Hbf,Hildesheim Hbf,695.0,710,370,0.9789,0.5211
Hildesheim Hbf,Göttingen,-361.0,653,346,-0.5528,0.5299
Göttingen,Kassel-Wilhelmshöhe,2417.0,1803,1108,1.3405,0.6145
Kassel-Wilhelmshöhe,Fulda,-921.0,1301,898,-0.7079,0.6902
München Hbf,Nürnberg Hbf,3455.0,1523,1337,2.2685,0.8779
Nürnberg Hbf,Erfurt Hbf,802.0,650,612,1.2338,0.9415
Erfurt Hbf,Halle (Saale) Hbf,-817.0,1097,783,-0.7448,0.7138
Halle (Saale) Hbf,Berlin Südkreuz,1622.0,912,769,1.7785,0.8432
Berlin Hbf,Berlin Gesundbrunnen,-698.0,617,467,-1.1313,0.7569
München Hbf,München-Pasing,-652.0,1344,974,-0.4851,0.7247
München-Pasing,Augsburg Hbf,1428.0,1763,1553,0.81,0.8809
Augsburg Hbf,Günzburg,-18.0,157,132,-0.1146,0.8408
Günzburg,Ulm Hbf,134.0,151,132,0.8874,0.8742
Ulm Hbf,Esslingen (Neckar),-3318.0,750,593,-4.424,0.7907
Esslingen (Neckar),Stuttgart Hbf,5826.0,903,722,6.4518,0.7996
Stuttgart Hbf,Mannheim Hbf,255.0,1573,1438,0.1621,0.9142
Mannheim Hbf,Heidelberg Hbf,-614.0,694,456,-0.8847,0.6571
Heidelberg Hbf,Bensheim,289.0,195,82,1.4821,0.4205
Bensheim,Darmstadt Hbf,190.0,353,123,0.5382,0.3484
Darmstadt Hbf,Frankfurt (Main) Hbf,403.0,331,131,1.2175,0.3958
Köln Hbf,Köln/Bonn Flughafen,162.0,81,55,2.0,0.679
Köln/Bonn Flughafen,Siegburg/Bonn,-27.0,160,128,-0.1688,0.8
Siegburg/Bonn,Montabaur,-764.0,851,551,-0.8978,0.6475
Montabaur,Limburg Süd,-728.0,959,525,-0.7591,0.5474
Limburg Süd,Frankfurt am Main Flughafen Fernbahnhof,2014.0,906,556,2.223,0.6137
Frankfurt am Main Flughafen Fernbahnhof,Frankfurt (Main) Hbf,39.0,1756,1468,0.0222,0.836
Frankfurt (Main) Hbf,Hanau Hbf,706.0,376,302,1.8777,0.8032
Hanau Hbf,Aschaffenburg Hbf,90.0,239,227,0.3766,0.9498
Aschaffenburg Hbf,Würzburg Hbf,-377.0,742,728,-0.5081,0.9811
Würzburg Hbf,Nürnberg Hbf,-375.0,1741,1593,-0.2154,0.915
Nürnberg Hbf,Ingolstadt Hbf,-506.0,1108,935,-0.4567,0.8439
Ingolstadt Hbf,München Hbf,775.0,1089,919,0.7117,0.8439
Kassel-Wilhelmshöhe,Göttingen,1811.0,1824,1308,0.9929,0.7171
Göttingen,Hildesheim Hbf,33.0,667,390,0.0495,0.5847
Hildesheim Hbf,Braunschweig Hbf,-121.0,723,417,-0.1674,0.5768
Braunschweig Hbf,Wolfsburg Hbf,35.0,913,526,0.0383,0.5761
Oberstdorf,Fischen,51.0,56,56,0.9107,1.0
Fischen,Sonthofen,199.0,56,56,3.5536,1.0
Sonthofen,Immenstadt,-28.0,56,56,-0.5,1.0
Immenstadt,Kempten (Allgäu) Hbf,-39.0,56,54,-0.6964,0.9643
Kempten (Allgäu) Hbf,Kaufbeuren,-62.0,55,52,-1.1273,0.9455
Kaufbeuren,Buchloe,-64.0,55,49,-1.1636,0.8909
Buchloe,Augsburg Hbf,91.0,56,48,1.625,0.8571
Augsburg Hbf,Donauwörth,491.0,470,434,1.0447,0.9234
Donauwörth,Treuchtlingen,83.0,260,231,0.3192,0.8885
Treuchtlingen,Ansbach,-455.0,96,96,-4.7396,1.0
Ansbach,Würzburg Hbf,250.0,96,96,2.6042,1.0
Würzburg Hbf,Fulda,13.0,863,774,0.0151,0.8969
Fulda,Kassel-Wilhelmshöhe,105.0,1551,1118,0.0677,0.7208
Göttingen,Hannover Hbf,-703.0,1157,859,-0.6076,0.7424
Hannover Hbf,Celle,120.0,682,373,0.176,0.5469
Celle,Uelzen,-706.0,655,368,-1.0779,0.5618
Uelzen,Lüneburg,-18.0,790,470,-0.0228,0.5949
Lüneburg,Hamburg-Harburg,1274.0,930,589,1.3699,0.6333
Hamburg-Harburg,Hamburg Hbf,9701.0,2099,1776,4.6217,0.8461
Hamburg Hbf,Hamburg Dammtor,1482.0,1618,1468,0.9159,0.9073
Hamburg Dammtor,Hamburg-Altona,-890.0,1365,1186,-0.652,0.8689
München Hbf,Ingolstadt Hbf,772.0,1299,1084,0.5943,0.8345
Ingolstadt Hbf,Nürnberg Hbf,1337.0,1409,1149,0.9489,0.8155
Nürnberg Hbf,Würzburg Hbf,758.0,1799,1616,0.4213,0.8983
Würzburg Hbf,Kassel-Wilhelmshöhe,21.0,51,39,0.4118,0.7647
Göttingen,Celle,53.0,46,44,1.1522,0.9565
Celle,Hannover Hbf,-24.0,611,303,-0.0393,0.4959
Hannover Hbf,Uelzen,-350.0,102,93,-3.4314,0.9118
Kassel-Wilhelmshöhe,Düsseldorf Hbf,0.0,22,0,0.0,0.0
Duisburg Hbf,Essen Hbf,-155.0,2476,1959,-0.0626,0.7912
Essen Hbf,Eisenach,0.0,40,0,0.0,0.0
Eisenach,Gotha,-129.0,659,448,-0.1958,0.6798
Gotha,Bochum Hbf,-1.0,56,20,-0.0179,0.3571
Bochum Hbf,Erfurt Hbf,0.0,40,0,0.0,0.0
Erfurt Hbf,Köln Hbf,0.0,6,0,0.0,0.0
Köln Hbf,Dortmund Hbf,278.0,57,26,4.8772,0.4561
Dortmund Hbf,Gera Hbf,0.0,5,0,0.0,0.0
Gera Hbf,Hermsdorf-Klosterlausnitz,-23.0,98,46,-0.2347,0.4694
Hermsdorf-Klosterlausnitz,Stadtroda,-1.0,97,52,-0.0103,0.5361
Stadtroda,Jena-Göschwitz,8.0,134,40,0.0597,0.2985
Jena-Göschwitz,Weimar,10.0,57,16,0.1754,0.2807
Berlin Ostbahnhof,Berlin Hbf,708.0,842,698,0.8409,0.829
Wolfsburg Hbf,Hannover Hbf,1153.0,1717,1318,0.6715,0.7676
Hannover Hbf,Nienburg (Weser),404.0,302,276,1.3377,0.9139
Nienburg (Weser),Verden (Aller),-64.0,297,230,-0.2155,0.7744
Verden (Aller),Hamburg-Harburg,-461.0,57,38,-8.0877,0.6667
Hamburg-Harburg,Bremen Hbf,2794.0,700,629,3.9914,0.8986
Bremen Hbf,Delmenhorst,47.0,378,341,0.1243,0.9021
Delmenhorst,Oldenburg (Oldb) Hbf,233.0,60,49,3.8833,0.8167
Hamburg Hbf,Hamburg-Harburg,-7914.0,2011,1481,-3.9354,0.7364
Hamburg-Harburg,Hannover Hbf,6094.0,659,502,9.2473,0.7618
Hannover Hbf,Göttingen,269.0,1498,1168,0.1796,0.7797
Fulda,Würzburg Hbf,-77.0,947,853,-0.0813,0.9007
Treuchtlingen,Nürnberg Hbf,-16.0,155,130,-0.1032,0.8387
Nürnberg Hbf,Erlangen,553.0,459,421,1.2048,0.9172
Erlangen,Bamberg,592.0,423,366,1.3995,0.8652
Bamberg,Coburg,44.0,105,93,0.419,0.8857
Coburg,Erfurt Hbf,-92.0,154,144,-0.5974,0.9351
Erfurt Hbf,Leipzig Hbf,-1555.0,1147,928,-1.3557,0.8091
Köln Hbf,Siegburg/Bonn,1055.0,624,450,1.6907,0.7212
Frankfurt (Main) Hbf,Friedberg (Hess),-53.0,90,39,-0.5889,0.4333
Friedberg (Hess),Gießen,64.0,148,33,0.4324,0.223
Gießen,Marburg (Lahn),5.0,153,33,0.0327,0.2157
Marburg (Lahn),Treysa,33.0,154,33,0.2143,0.2143
Treysa,Wabern (Bz Kassel),-57.0,105,32,-0.5429,0.3048
Wabern (Bz Kassel),Kassel-Wilhelmshöhe,58.0,91,20,0.6374,0.2198
Hamburg-Altona,Hamburg Dammtor,169.0,1123,675,0.1505,0.6011
Hamburg Dammtor,Hamburg Hbf,-3.0,1097,688,-0.0027,0.6272
Hamburg Hbf,Ludwigslust,-455.0,488,379,-0.9324,0.7766
Ludwigslust,Berlin-Spandau,-61.0,205,172,-0.2976,0.839
Berlin Hbf,Berlin Südkreuz,67.0,2328,2006,0.0288,0.8617
Hannover Hbf,Braunschweig Hbf,211.0,441,390,0.4785,0.8844
Wolfsburg Hbf,Stendal Hbf,65.0,613,486,0.106,0.7928
Stendal Hbf,Berlin-Spandau,-1133.0,600,491,-1.8883,0.8183
Hannover Hbf,Hamburg-Harburg,-2083.0,681,444,-3.0587,0.652
Ostseebad Binz,Bergen auf Rügen,50.0,434,142,0.1152,0.3272
Bergen auf Rügen,Stralsund Hbf,54.0,393,165,0.1374,0.4198
Stralsund Hbf,Greifswald,39.0,276,135,0.1413,0.4891
Greifswald,Ribnitz-Damgarten West,-118.0,110,52,-1.0727,0.4727
Ribnitz-Damgarten West,Züssow,67.0,110,14,0.6091,0.1273
Züssow,Anklam,-46.0,330,100,-0.1394,0.303
Anklam,Pasewalk,328.0,332,160,0.988,0.4819
Pasewalk,Neustrelitz Hbf,-177.0,57,56,-3.1053,0.9825
Neustrelitz Hbf,Prenzlau,186.0,57,56,3.2632,0.9825
Prenzlau,Angermünde,-103.0,315,164,-0.327,0.5206
Angermünde,Eberswalde Hbf,-201.0,274,208,-0.7336,0.7591
Eberswalde Hbf,Berlin Gesundbrunnen,51.0,268,164,0.1903,0.6119
Berlin Gesundbrunnen,Berlin Hbf,1040.0,760,574,1.3684,0.7553
Hamburg-Harburg,Lüneburg,2043.0,865,533,2.3618,0.6162
Lüneburg,Uelzen,157.0,675,394,0.2326,0.5837
Uelzen,Celle,-553.0,659,317,-0.8392,0.481
Magdeburg Hbf,Helmstedt,78.0,289,253,0.2699,0.8754
Helmstedt,Braunschweig Hbf,-88.0,343,236,-0.2566,0.688
Nienburg (Weser),Minden (Westf),-244.0,49,34,-4.9796,0.6939
Minden (Westf),Verden (Aller),982.0,186,154,5.2796,0.828
Verden (Aller),Bremen Hbf,725.0,288,253,2.5174,0.8785
Delmenhorst,Hude,32.0,321,260,0.0997,0.81
Hude,Oldenburg (Oldb) Hbf,-67.0,332,274,-0.2018,0.8253
Oldenburg (Oldb) Hbf,Bad Zwischenahn,71.0,274,251,0.2591,0.9161
Bad Zwischenahn,Westerstede-Ocholt,-173.0,335,293,-0.5164,0.8746
Westerstede-Ocholt,Augustfehn,-141.0,336,271,-0.4196,0.8065
Augustfehn,Leer (Ostfriesl),50.0,290,251,0.1724,0.8655
Hamburg Hbf,Berlin-Spandau,841.0,529,397,1.5898,0.7505
Berlin Südkreuz,Leipzig Hbf,35.0,522,456,0.067,0.8736
Leipzig Hbf,Erfurt Hbf,399.0,845,668,0.4722,0.7905
Erfurt Hbf,Würzburg Hbf,-169.0,20,11,-8.45,0.55
Würzburg Hbf,Bamberg,103.0,50,4,2.06,0.08
Bamberg,Augsburg Hbf,-105.0,50,6,-2.1,0.12
Augsburg Hbf,Erlangen,120.0,50,5,2.4,0.1
Erlangen,Nürnberg Hbf,1539.0,573,477,2.6859,0.8325
Berlin Hbf,Berlin Zoologischer Garten,-734.0,298,259,-2.4631,0.8691
Berlin Zoologischer Garten,Berlin-Spandau,475.0,287,148,1.6551,0.5157
Berlin-Spandau,Wolfsburg Hbf,-444.0,1638,1241,-0.2711,0.7576
Hannover Hbf,Minden (Westf),30.0,840,772,0.0357,0.919
Minden (Westf),Bielefeld Hbf,1886.0,535,527,3.5252,0.985
Bielefeld Hbf,Hagen Hbf,1591.0,363,360,4.3829,0.9917
Hagen Hbf,Wuppertal Hbf,3487.0,1354,1048,2.5753,0.774
Wuppertal Hbf,Köln Hbf,998.0,552,542,1.808,0.9819
Köln Hbf,Bonn Hbf,1171.0,664,555,1.7636,0.8358
München Hbf,Augsburg Hbf,93.0,111,94,0.8378,0.8468
Augsburg Hbf,Esslingen (Neckar),-672.0,164,122,-4.0976,0.7439
Esslingen (Neckar),Ulm Hbf,2430.0,373,303,6.5147,0.8123
Ulm Hbf,Stuttgart Hbf,653.0,717,670,0.9107,0.9344
Mannheim Hbf,Limburg Süd,-243.0,57,52,-4.2632,0.9123
Frankfurt am Main Flughafen Fernbahnhof,Siegburg/Bonn,-1958.0,593,585,-3.3019,0.9865
Siegburg/Bonn,Köln Messe/Deutz,1362.0,844,761,1.6137,0.9017
Köln Messe/Deutz,Düsseldorf Hbf,848.0,999,901,0.8488,0.9019
Düsseldorf Hbf,Duisburg Hbf,2419.0,1866,1580,1.2964,0.8467
Essen Hbf,Bochum Hbf,-345.0,1879,1490,-0.1836,0.793
Bochum Hbf,Dortmund Hbf,624.0,1764,1511,0.3537,0.8566
Augsburg Hbf,Ulm Hbf,253.0,1195,999,0.2117,0.836
Mannheim Hbf,Frankfurt am Main Flughafen Fernbahnhof,4991.0,1007,993,4.9563,0.9861
Kassel-Wilhelmshöhe,Wabern (Bz Kassel),145.0,247,54,0.587,0.2186
Wabern (Bz Kassel),Treysa,24.0,254,57,0.0945,0.2244
Treysa,Marburg (Lahn),-79.0,273,66,-0.2894,0.2418
Marburg (Lahn),Gießen,33.0,268,66,0.1231,0.2463
Gießen,Friedberg (Hess),-20.0,272,66,-0.0735,0.2426
Friedberg (Hess),Frankfurt (Main) Hbf,-37.0,221,49,-0.1674,0.2217
Frankfurt (Main) Hbf,Darmstadt Hbf,-229.0,403,170,-0.5682,0.4218
Darmstadt Hbf,Bensheim,53.0,368,85,0.144,0.231
Bensheim,Heidelberg Hbf,54.0,230,72,0.2348,0.313
Heidelberg Hbf,Wiesloch-Walldorf,128.0,309,98,0.4142,0.3172
Wiesloch-Walldorf,Bruchsal,17.0,135,28,0.1259,0.2074
Bruchsal,Karlsruhe Hbf,-4.0,301,223,-0.0133,0.7409
Hamburg Hbf,Büchen,-178.0,457,358,-0.3895,0.7834
Büchen,Ludwigslust,62.0,465,230,0.1333,0.4946
Wittenberge,Berlin-Spandau,1156.0,476,363,2.4286,0.7626
Berlin Südkreuz,Berlin Ostbahnhof,-889.0,102,80,-8.7157,0.7843
Stuttgart Hbf,Heidelberg Hbf,23.0,106,56,0.217,0.5283
Heidelberg Hbf,Mannheim Hbf,596.0,450,328,1.3244,0.7289
Mannheim Hbf,Mainz Hbf,1124.0,350,289,3.2114,0.8257
Mainz Hbf,Bingen (Rhein) Hbf,231.0,217,114,1.0645,0.5253
Bingen (Rhein) Hbf,Koblenz Hbf,-109.0,168,101,-0.6488,0.6012
Koblenz Hbf,Köln Messe/Deutz,-816.0,258,121,-3.1628,0.469
Köln Messe/Deutz,Andernach,695.0,202,93,3.4406,0.4604
Andernach,Remagen,37.0,334,139,0.1108,0.4162
Remagen,Bonn Hbf,94.0,311,125,0.3023,0.4019
Bonn Hbf,Köln Hbf,1944.0,657,504,2.9589,0.7671
Köln Hbf,Wuppertal Hbf,1088.0,489,459,2.2249,0.9387
Hagen Hbf,Berlin Zoologischer Garten,-989.0,52,52,-19.0192,1.0
Berlin Zoologischer Garten,Bielefeld Hbf,830.0,50,45,16.6,0.9
Hannover Hbf,Berlin-Spandau,-263.0,374,362,-0.7032,0.9679
Dortmund Hbf,Hamm (Westf) Hbf,2548.0,1280,1119,1.9906,0.8742
Bielefeld Hbf,Minden (Westf),-510.0,397,392,-1.2846,0.9874
Minden (Westf),Hannover Hbf,1386.0,554,545,2.5018,0.9838
Frankfurt (Main) Hbf,Mannheim Hbf,2167.0,421,381,5.1473,0.905
Mannheim Hbf,Karlsruhe Hbf,2319.0,183,131,12.6721,0.7158
Karlsruhe Hbf,Baden-Baden,220.0,94,48,2.3404,0.5106
Baden-Baden,Offenburg,-32.0,92,43,-0.3478,0.4674
Offenburg,Freiburg (Breisgau) Hbf,2.0,17,10,0.1176,0.5882
Emden Hbf,Marienhafe,-9.0,91,71,-0.0989,0.7802
Marienhafe,Norden,-23.0,90,69,-0.2556,0.7667
Halle (Saale) Hbf,Köln Messe/Deutz,-4.0,56,4,-0.0714,0.0714
Köln Messe/Deutz,Bonn-Beuel,20.0,202,3,0.099,0.0149
Bonn-Beuel,Köthen,6.0,56,4,0.1071,0.0714
Köthen,Bonn Hbf,-5.0,56,4,-0.0893,0.0714
Bonn Hbf,Koblenz Hbf,1700.0,512,368,3.3203,0.7188
Koblenz Hbf,Mainz Hbf,-390.0,411,277,-0.9489,0.674
Mainz Hbf,Frankfurt am Main Flughafen Fernbahnhof,193.0,359,232,0.5376,0.6462
Frankfurt (Main) Hbf,Magdeburg Hbf,1.0,17,1,0.0588,0.0588
Minden (Westf),Bad Oeynhausen,-97.0,198,160,-0.4899,0.8081
Bad Oeynhausen,Herford,37.0,182,154,0.2033,0.8462
Herford,Bielefeld Hbf,333.0,484,401,0.688,0.8285
Bielefeld Hbf,Gütersloh Hbf,-463.0,295,238,-1.5695,0.8068
Gütersloh Hbf,Hamm (Westf) Hbf,1024.0,390,294,2.6256,0.7538
Hamm (Westf) Hbf,Dortmund Hbf,-1057.0,1402,1314,-0.7539,0.9372
Dortmund Hbf,Hagen Hbf,1264.0,903,789,1.3998,0.8738
Wuppertal Hbf,Solingen Hbf,-63.0,459,363,-0.1373,0.7908
Solingen Hbf,Köln Hbf,9005.0,912,777,9.8739,0.852
Stuttgart Hbf,Chemnitz Hbf,-47.0,34,19,-1.3824,0.5588
Chemnitz Hbf,Schorndorf,83.0,40,24,2.075,0.6
Schorndorf,Schwäbisch Gmünd,-26.0,111,88,-0.2342,0.7928
Ellwangen,Dresden Hbf,-126.0,57,36,-2.2105,0.6316
Dresden Hbf,Crailsheim,80.0,33,23,2.4242,0.697
Schwerin Hbf,Hamburg Dammtor,-97.0,52,12,-1.8654,0.2308
Hamburg-Altona,Hamburg-Harburg,-86.0,53,16,-1.6226,0.3019
Hamburg-Harburg,Recklinghausen Hbf,504.0,50,31,10.08,0.62
Recklinghausen Hbf,Essen Hbf,54.0,259,156,0.2085,0.6023
Essen Hbf,Köln Messe/Deutz,-1121.0,101,65,-11.099,0.6436
Köln Messe/Deutz,Duisburg Hbf,1772.0,208,169,8.5192,0.8125
Duisburg Hbf,Düsseldorf Hbf,3323.0,1950,1537,1.7041,0.7882
Düsseldorf Hbf,Hamburg Hbf,-590.0,47,37,-12.5532,0.7872
Hamburg Hbf,Bonn-Beuel,-348.0,52,31,-6.6923,0.5962
Bonn-Beuel,Solingen Hbf,114.0,53,6,2.1509,0.1132
Koblenz Hbf,Bingen (Rhein) Hbf,263.0,218,178,1.2064,0.8165
Bingen (Rhein) Hbf,Mainz Hbf,0.0,266,183,0.0,0.688
Aschaffenburg Hbf,Ostseebad Binz,-1044.0,32,32,-32.625,1.0
Stralsund Hbf,Velgast,-24.0,362,110,-0.0663,0.3039
Velgast,Ribnitz-Damgarten West,-30.0,369,95,-0.0813,0.2575
Ribnitz-Damgarten West,Rostock Hbf,48.0,369,120,0.1301,0.3252
Rostock Hbf,Bützow,-24.0,407,146,-0.059,0.3587
Bützow,Fürth (Bay) Hbf,121.0,55,12,2.2,0.2182
Fürth (Bay) Hbf,Würzburg Hbf,1490.0,46,44,32.3913,0.9565
Dortmund Hbf,Köln Hbf,537.0,68,54,7.8971,0.7941
Essen Hbf,Solingen Hbf,-615.0,150,105,-4.1,0.7
Solingen Hbf,Münster (Westf) Hbf,2486.0,175,163,14.2057,0.9314
Münster (Westf) Hbf,Hamburg-Harburg,-234.0,102,100,-2.2941,0.9804
Hamburg Dammtor,Itzehoe,192.0,256,180,0.75,0.7031
Itzehoe,Heide (Holst),866.0,310,227,2.7935,0.7323
Heide (Holst),Husum,224.0,312,227,0.7179,0.7276
Husum,Niebüll,209.0,313,226,0.6677,0.722
Stuttgart Hbf,Vaihingen (Enz),-85.0,518,436,-0.1641,0.8417
Vaihingen (Enz),Bruchsal,205.0,53,40,3.8679,0.7547
Frankfurt (Main) Hbf,Fulda,-2991.0,695,555,-4.3036,0.7986
Fulda,Bad Hersfeld,-165.0,419,300,-0.3938,0.716
Bad Hersfeld,Eisenach,840.0,406,295,2.069,0.7266
Gotha,Erfurt Hbf,109.0,550,425,0.1982,0.7727
Leipzig Hbf,Riesa,-104.0,543,456,-0.1915,0.8398
Riesa,Dresden-Neustadt,508.0,530,499,0.9585,0.9415
Dresden-Neustadt,Dresden Hbf,-15.0,952,812,-0.0158,0.8529
Köln Hbf,Köln Messe/Deutz,-131.0,361,325,-0.3629,0.9003
