source,target,sumDelay,numTrains,numDelayedTrains,avgDelay,punctuality
Hamburg Hbf,Lüneburg,118.0,70,61,1.6857,0.8714
Berlin-Spandau,Berlin Zoologischer Garten,-1711.0,161,122,-10.6273,0.7578
Münster (Westf) Hbf,Hamm (Westf) Hbf,190.0,93,84,2.043,0.9032
Münster (Westf) Hbf,Wanne-Eickel Hbf,-68.0,53,50,-1.283,0.9434
Wanne-Eickel Hbf,Köln Messe/Deutz,-397.0,53,30,-7.4906,0.566
Köln Messe/Deutz,Gelsenkirchen Hbf,357.0,53,30,6.7358,0.566
Hamburg Hbf,Bremen Hbf,118.0,99,94,1.1919,0.9495
Dortmund Hbf,Solingen Hbf,28.0,50,6,0.56,0.12
Eisenach,Berlin Südkreuz,-156.0,58,36,-2.6897,0.6207
Berlin Hbf,Bad Hersfeld,138.0,57,26,2.4211,0.4561
Darmstadt Hbf,Karlsruhe Hbf,-30.0,39,6,-0.7692,0.1538
Karlsruhe Hbf,Bensheim,76.0,43,5,1.7674,0.1163
Bensheim,Mannheim Hbf,317.0,122,58,2.5984,0.4754
Gäufelden,München-Pasing,-97.0,44,21,-2.2045,0.4773
München-Pasing,Bondorf (b Herrenberg),127.0,39,19,3.2564,0.4872
Bondorf (b Herrenberg),München Hbf,-148.0,44,24,-3.3636,0.5455
München Hbf,Horb,158.0,43,23,3.6744,0.5349
Oberndorf (Neckar),Rottweil,10.0,55,26,0.1818,0.4727
Rottweil,Spaichingen,22.0,56,34,0.3929,0.6071
Angermünde,Berlin Hbf,0.0,6,0,0.0,0.0
Berlin Südkreuz,Eberswalde Hbf,-617.0,46,45,-13.413,0.9783
Berlin Gesundbrunnen,Halle (Saale) Hbf,563.0,46,43,12.2391,0.9348
Erfurt Hbf,Coburg,31.0,64,63,0.4844,0.9844
Coburg,Nürnberg Hbf,170.0,46,46,3.6957,1.0
Augsburg Hbf,München Hbf,-34.0,45,43,-0.7556,0.9556
Engen,Sulz (Neckar),0.0,38,0,0.0,0.0
Sulz (Neckar),Tuttlingen,4.0,46,2,0.087,0.0435
Tuttlingen,Herrenberg,-4.0,38,2,-0.1053,0.0526
Herrenberg,Spaichingen,0.0,29,0,0.0,0.0
Oberndorf (Neckar),Horb,39.0,46,11,0.8478,0.2391
Horb,Böblingen,0.0,9,0,0.0,0.0
Göttingen,Esslingen (Neckar),-46.0,55,6,-0.8364,0.1091
Esslingen (Neckar),Kassel-Wilhelmshöhe,60.0,55,6,1.0909,0.1091
Fulda,Friedberg (Hess),95.0,54,4,1.7593,0.0741
Friedberg (Hess),Marburg (Lahn),-85.0,54,3,-1.5741,0.0556
Marburg (Lahn),Hanau Hbf,662.0,48,40,13.7917,0.8333
Karlsruhe Hbf,Wolfsburg Hbf,-74.0,16,3,-4.625,0.1875
Wolfsburg Hbf,Mannheim Hbf,80.0,15,4,5.3333,0.2667
Mannheim Hbf,Kassel-Wilhelmshöhe,-160.0,16,4,-10.0,0.25
Kassel-Wilhelmshöhe,Berlin Ostbahnhof,-31.0,16,1,-1.9375,0.0625
Berlin Ostbahnhof,Göttingen,26.0,15,1,1.7333,0.0667
Hamburg-Harburg,Bamberg,116.0,16,4,7.25,0.25
Bamberg,Fulda,-53.0,16,5,-3.3125,0.3125
Fulda,München Hbf,-78.0,11,2,-7.0909,0.1818
München Hbf,Frankfurt (Main) Hbf,115.0,14,7,8.2143,0.5
Düsseldorf Hbf,Halle (Saale) Hbf,35.0,15,4,2.3333,0.2667
Halle (Saale) Hbf,Duisburg Hbf,-28.0,15,4,-1.8667,0.2667
Duisburg Hbf,Münster (Westf) Hbf,-8.0,16,1,-0.5,0.0625
Emden Hbf,Nürnberg Hbf,5.0,12,3,0.4167,0.25
Heide (Holst),Dortmund Hbf,-494.0,50,41,-9.88,0.82
Dortmund Hbf,Itzehoe,540.0,43,36,12.5581,0.8372
Itzehoe,Hamburg Hbf,85.0,75,72,1.1333,0.96
Gotha,Frankfurt (Main) Hbf,0.0,2,0,0.0,0.0
Wiesbaden Hbf,Limburg Süd,-29.0,99,32,-0.2929,0.3232
Siegburg/Bonn,Köln/Bonn Flughafen,-203.0,145,109,-1.4,0.7517
Köln/Bonn Flughafen,Köln Hbf,147.0,42,31,3.5,0.7381
Bremen Hbf,Oberhausen Hbf,-395.0,42,40,-9.4048,0.9524
Oberhausen Hbf,Münster (Westf) Hbf,289.0,42,39,6.881,0.9286
Solingen Hbf,Düsseldorf Flughafen,73.0,50,42,1.46,0.84
Friedberg (Hess),Bad Nauheim,313.0,87,62,3.5977,0.7126
Hannover Hbf,Köln Hbf,1585.0,113,109,14.0265,0.9646
Halle (Saale) Hbf,Berlin Gesundbrunnen,-175.0,35,34,-5.0,0.9714
Berlin Gesundbrunnen,Berlin Südkreuz,0.0,1,0,0.0,0.0
Frankfurt am Main Flughafen Fernbahnhof,Nürnberg Hbf,731.0,87,87,8.4023,1.0
Hamburg Hbf,Essen Hbf,86.0,21,18,4.0952,0.8571
Bredstedt,Husum,41.0,51,10,0.8039,0.1961
Göttingen,Lüneburg,-519.0,54,44,-9.6111,0.8148
Celle,Hamburg Hbf,1001.0,58,53,17.2586,0.9138
Hamburg-Harburg,Uelzen,14.0,55,7,0.2545,0.1273
Köln/Bonn Flughafen,Köln Messe/Deutz,211.0,152,124,1.3882,0.8158
Duisburg Hbf,Hagen Hbf,-940.0,104,92,-9.0385,0.8846
Hagen Hbf,Essen Hbf,595.0,55,43,10.8182,0.7818
Koblenz Hbf,Remagen,-122.0,54,10,-2.2593,0.1852
Bochum Hbf,Köln Messe/Deutz,103.0,54,8,1.9074,0.1481
Solingen Hbf,Dortmund Hbf,905.0,151,98,5.9934,0.649
Hamburg Dammtor,Frankfurt am Main Flughafen Fernbahnhof,-81.0,53,10,-1.5283,0.1887
Frankfurt am Main Flughafen Fernbahnhof,Hamburg-Altona,80.0,54,8,1.4815,0.1481
Hamburg-Altona,Frankfurt (Main) Hbf,0.0,54,0,0.0,0.0
Ribnitz-Damgarten West,Greifswald,48.0,53,15,0.9057,0.283
Prenzlau,Neustrelitz Hbf,-183.0,53,49,-3.4528,0.9245
Eberswalde Hbf,Bernau (b Berlin),-11.0,53,41,-0.2075,0.7736
Bernau (b Berlin),Berlin Gesundbrunnen,1.0,30,23,0.0333,0.7667
Frankfurt am Main Flughafen Fernbahnhof,Hannover Hbf,52.0,57,1,0.9123,0.0175
Hannover Hbf,Hanau Hbf,-62.0,57,1,-1.0877,0.0175
Wolfsburg Hbf,Bonn Hbf,342.0,53,24,6.4528,0.4528
Dortmund Hbf,Frankfurt am Main Flughafen Fernbahnhof,-448.0,45,34,-9.9556,0.7556
Frankfurt (Main) Hbf,Hagen Hbf,647.0,48,41,13.4792,0.8542
München Hbf,Berchtesgaden Hbf,-15.0,4,1,-3.75,0.25
Berchtesgaden Hbf,Bischofswiesen,14.0,41,32,0.3415,0.7805
Bischofswiesen,Bayerisch Gmain,22.0,42,33,0.5238,0.7857
Bayerisch Gmain,Bad Reichenhall-Kirchberg,0.0,42,25,0.0,0.5952
Bad Reichenhall-Kirchberg,Bad Reichenhall,-10.0,42,34,-0.2381,0.8095
Bad Reichenhall,Piding,31.0,42,33,0.7381,0.7857
Piding,Hammerau,32.0,42,35,0.7619,0.8333
Hammerau,Ainring,-22.0,42,30,-0.5238,0.7143
Ainring,Freilassing,-20.0,42,35,-0.4762,0.8333
Freilassing,Traunstein,91.0,43,37,2.1163,0.8605
Traunstein,Übersee,18.0,43,37,0.4186,0.8605
Übersee,Prien am Chiemsee,-25.0,43,36,-0.5814,0.8372
Prien am Chiemsee,Rosenheim,-19.0,43,30,-0.4419,0.6977
Rosenheim,München Ost,27.0,43,30,0.6279,0.6977
München Ost,München-Pasing,84.0,40,36,2.1,0.9
Wolfsburg Hbf,Leipzig Hbf,-20.0,55,3,-0.3636,0.0545
Leipzig Hbf,Braunschweig Hbf,78.0,57,5,1.3684,0.0877
Braunschweig Hbf,Eisenach,-76.0,57,5,-1.3333,0.0877
Eisenach,Hildesheim Hbf,95.0,57,6,1.6667,0.1053
Magdeburg Hbf,Magdeburg-Buckau,-42.0,55,18,-0.7636,0.3273
Magdeburg-Buckau,Helmstedt,88.0,47,18,1.8723,0.383
Braunschweig Hbf,Peine,-24.0,55,27,-0.4364,0.4909
Peine,Hannover Hbf,41.0,47,30,0.8723,0.6383
Oldenburg (Oldb) Hbf,Osnabrück Hbf,-257.0,54,50,-4.7593,0.9259
Osnabrück Hbf,Bad Zwischenahn,302.0,54,45,5.5926,0.8333
Heidelberg Hbf,Frankfurt am Main Flughafen Fernbahnhof,348.0,54,47,6.4444,0.8704
Frankfurt (Main) Hbf,Eisenach,-572.0,55,49,-10.4,0.8909
Weimar,Naumburg (Saale) Hbf,177.0,52,7,3.4038,0.1346
Naumburg (Saale) Hbf,Halle (Saale) Hbf,671.0,50,38,13.42,0.76
Berlin Ostbahnhof,Berlin Südkreuz,62.0,51,23,1.2157,0.451
Kassel-Wilhelmshöhe,Leipzig Hbf,-39.0,57,7,-0.6842,0.1228
Halle (Saale) Hbf,Eisenach,-91.0,57,27,-1.5965,0.4737
Magdeburg Hbf,Berlin Hbf,-231.0,51,46,-4.5294,0.902
Berlin Gesundbrunnen,Stendal Hbf,110.0,51,45,2.1569,0.8824
Chemnitz Hbf,Freiberg (Sachs),1.0,48,10,0.0208,0.2083
Hude,Osnabrück Hbf,-101.0,50,40,-2.02,0.8
Osnabrück Hbf,Delmenhorst,129.0,50,45,2.58,0.9
Nienburg (Weser),Wolfsburg Hbf,-243.0,49,43,-4.9592,0.8776
Hannover Hbf,Stendal Hbf,-213.0,51,44,-4.1765,0.8627
Stendal Hbf,Braunschweig Hbf,204.0,51,35,4.0,0.6863
Brandenburg Hbf,Berlin-Spandau,-131.0,50,29,-2.62,0.58
Berlin-Spandau,Potsdam Hbf,159.0,48,26,3.3125,0.5417
Potsdam Hbf,Berlin Gesundbrunnen,-62.0,49,30,-1.2653,0.6122
Berlin Gesundbrunnen,Berlin-Wannsee,175.0,33,25,5.303,0.7576
Bonn-Beuel,Koblenz Hbf,1197.0,84,43,14.25,0.5119
Delmenhorst,Osnabrück Hbf,-41.0,34,20,-1.2059,0.5882
Saarbrücken Hbf,Homburg (Saar) Hbf,-13.0,50,26,-0.26,0.52
Homburg (Saar) Hbf,Kaiserslautern Hbf,-5.0,50,31,-0.1,0.62
Kaiserslautern Hbf,Neustadt (Weinstr) Hbf,-30.0,50,28,-0.6,0.56
Neustadt (Weinstr) Hbf,Mannheim Hbf,84.0,50,37,1.68,0.74
Erfurt Hbf,Berlin Gesundbrunnen,-944.0,56,47,-16.8571,0.8393
Berlin Ostbahnhof,Leipzig Hbf,-40.0,53,4,-0.7547,0.0755
Leipzig Hbf,Berlin-Spandau,88.0,96,7,0.9167,0.0729
Berlin-Spandau,Halle (Saale) Hbf,862.0,53,51,16.2642,0.9623
Ulm Hbf,Neu-Ulm,-28.0,41,28,-0.6829,0.6829
Neu-Ulm,Günzburg,25.0,44,34,0.5682,0.7727
Frankfurt am Main Flughafen Fernbahnhof,Wiesbaden Hbf,-649.0,55,55,-11.8,1.0
Hamburg Dammtor,Neumünster,114.0,53,39,2.1509,0.7358
Neumünster,Kiel Hbf,22.0,107,38,0.2056,0.3551
Erfurt Hbf,Frankfurt (Main) Hbf,1349.0,45,37,29.9778,0.8222
Mannheim Hbf,Neustadt (Weinstr) Hbf,-11.0,98,80,-0.1122,0.8163
Neustadt (Weinstr) Hbf,Kaiserslautern Hbf,3.0,98,78,0.0306,0.7959
Kaiserslautern Hbf,Homburg (Saar) Hbf,103.0,98,85,1.051,0.8673
Homburg (Saar) Hbf,Saarbrücken Hbf,-207.0,99,83,-2.0909,0.8384
Bamberg,Leipzig Hbf,-265.0,57,40,-4.6491,0.7018
Hamburg-Altona,Neumünster,-94.0,47,9,-2.0,0.1915
Wuppertal Hbf,Köln Messe/Deutz,-1908.0,94,86,-20.2979,0.9149
Bonn-Beuel,Düsseldorf Hbf,88.0,46,4,1.913,0.087
Hagen Hbf,Köln Messe/Deutz,-2093.0,113,111,-18.5221,0.9823
Bonn Hbf,Bonn-Beuel,-1105.0,51,41,-21.6667,0.8039
Nürnberg Hbf,Coburg,374.0,49,49,7.6327,1.0
Berlin Südkreuz,Erfurt Hbf,-650.0,107,96,-6.0748,0.8972
Halle (Saale) Hbf,Nürnberg Hbf,1161.0,58,57,20.0172,0.9828
Schwäbisch Gmünd,Schorndorf,-46.0,51,48,-0.902,0.9412
Schorndorf,Stuttgart Hbf,138.0,51,51,2.7059,1.0
Pforzheim Hbf,Karlsruhe-Durlach,187.0,51,42,3.6667,0.8235
Karlsruhe Hbf,Frankfurt am Main Flughafen Fernbahnhof,21.0,22,5,0.9545,0.2273
Frankfurt am Main Flughafen Fernbahnhof,Fulda,-20.0,22,5,-0.9091,0.2273
Fulda,Duisburg Hbf,2.0,23,4,0.087,0.1739
Duisburg Hbf,Erlangen,1.0,23,3,0.0435,0.1304
Erfurt Hbf,Dortmund Hbf,-10.0,23,2,-0.4348,0.087
Dortmund Hbf,Leipzig Hbf,17.0,23,2,0.7391,0.087
Berlin Südkreuz,Limburg Süd,-28.0,22,4,-1.2727,0.1818
Siegburg/Bonn,Hamburg Dammtor,1.0,22,4,0.0455,0.1818
Hamburg-Altona,Bruchsal,0.0,21,0,0.0,0.0
Bruchsal,Berlin Ostbahnhof,-1.0,21,1,-0.0476,0.0476
Berlin Ostbahnhof,Vaihingen (Enz),-9.0,22,2,-0.4091,0.0909
Wiesloch-Walldorf,Frankfurt (Main) Hbf,5.0,17,2,0.2941,0.1176
Frankfurt (Main) Hbf,Heidelberg Hbf,-68.0,21,4,-3.2381,0.1905
Wiesbaden Hbf,Berlin Hbf,42.0,20,3,2.1,0.15
Berlin-Spandau,Stuttgart Hbf,-15.0,20,2,-0.75,0.1
Stuttgart Hbf,Osnabrück Hbf,6.0,23,4,0.2609,0.1739
Aachen Hbf,Ulm Hbf,28.0,21,1,1.3333,0.0476
Nürnberg Hbf,Kassel-Wilhelmshöhe,16.0,19,5,0.8421,0.2632
Berlin-Spandau,Hannover-Messe / Laatzen,60.0,27,2,2.2222,0.0741
Hannover-Messe / Laatzen,Göttingen,248.0,84,27,2.9524,0.3214
Göttingen,Halle (Saale) Hbf,22.0,27,5,0.8148,0.1852
Erfurt Hbf,Mannheim Hbf,-305.0,27,22,-11.2963,0.8148
Mannheim Hbf,Bad Hersfeld,221.0,27,19,8.1852,0.7037
Fulda,Heidelberg Hbf,-508.0,27,26,-18.8148,0.963
Wiesloch-Walldorf,Darmstadt Hbf,-157.0,27,12,-5.8148,0.4444
Darmstadt Hbf,Neu-Edingen/Friedrichsfeld,2.0,27,7,0.0741,0.2593
Offenburg,Müllheim (Baden),-123.0,27,26,-4.5556,0.963
Recklinghausen Hbf,Wanne-Eickel Hbf,46.0,148,66,0.3108,0.4459
Wanne-Eickel Hbf,Gelsenkirchen Hbf,-143.0,200,84,-0.715,0.42
Oberhausen Hbf,Köln Messe/Deutz,-106.0,49,16,-2.1633,0.3265
Bonn-Beuel,Oberhausen Hbf,124.0,48,19,2.5833,0.3958
Bonn Hbf,Bingen (Rhein) Hbf,-415.0,44,32,-9.4318,0.7273
Donaueschingen,Immendingen,0.0,49,6,0.0,0.1224
Immendingen,Singen (Hohentwiel),-20.0,49,6,-0.4082,0.1224
Konstanz,Remagen,452.0,33,25,13.697,0.7576
Stendal Hbf,Hannover Hbf,160.0,55,53,2.9091,0.9636
Hannover Hbf,Bünde (Westf),106.0,56,56,1.8929,1.0
Bünde (Westf),Osnabrück Hbf,70.0,56,54,1.25,0.9643
Karlsruhe Hbf,Karlsruhe-Durlach,-1.0,32,2,-0.0312,0.0625
Karlsruhe-Durlach,Bruchsal,2.0,47,3,0.0426,0.0638
Heidelberg Hbf,Neu-Edingen/Friedrichsfeld,-1.0,47,1,-0.0213,0.0213
Neu-Edingen/Friedrichsfeld,Bensheim,8.0,47,3,0.1702,0.0638
Lüneburg,Ludwigslust,-12.0,42,4,-0.2857,0.0952
Ludwigslust,Hamburg-Harburg,16.0,42,6,0.381,0.1429
Hamburg Hbf,Schwerin Hbf,210.0,101,60,2.0792,0.5941
Frankfurt (Main) Hbf,Greifswald,51.0,46,5,1.1087,0.1087
Greifswald,Friedberg (Hess),1.0,37,1,0.027,0.027
Treysa,Göttingen,-8.0,47,1,-0.1702,0.0213
Uelzen,Bad Bevensen,0.0,47,0,0.0,0.0
Bad Bevensen,Lüneburg,0.0,47,0,0.0,0.0
Hannover Hbf,Hamburg Hbf,0.0,25,0,0.0,0.0
Hagen Hbf,Bielefeld Hbf,353.0,266,265,1.3271,0.9962
Minden (Westf),Berlin Zoologischer Garten,-516.0,57,43,-9.0526,0.7544
Berlin Zoologischer Garten,Hannover Hbf,835.0,55,48,15.1818,0.8727
Nürnberg Hbf,Frankfurt am Main Flughafen Fernbahnhof,231.0,39,39,5.9231,1.0
Lüneburg,Kassel-Wilhelmshöhe,86.0,14,8,6.1429,0.5714
Wiesbaden Hbf,Hannover Hbf,192.0,9,6,21.3333,0.6667
Köln Messe/Deutz,Hagen Hbf,-637.0,54,54,-11.7963,1.0
Hagen Hbf,Köln Hbf,-77.0,56,5,-1.375,0.0893
Rosenheim,Prien am Chiemsee,0.0,44,0,0.0,0.0
Prien am Chiemsee,Traunstein,0.0,45,0,0.0,0.0
Traunstein,Freilassing,0.0,12,0,0.0,0.0
Aachen Hbf,Düren,-83.0,86,66,-0.9651,0.7674
Düren,Köln Hbf,15.0,44,33,0.3409,0.75
Bochum Hbf,Solingen Hbf,-493.0,96,79,-5.1354,0.8229
Herford,Hannover Hbf,-12.0,104,89,-0.1154,0.8558
Münster (Westf) Hbf,Köln Messe/Deutz,-151.0,50,31,-3.02,0.62
Bonn-Beuel,Recklinghausen Hbf,145.0,50,25,2.9,0.5
Oberhausen Hbf,Bonn Hbf,-260.0,50,27,-5.2,0.54
Koblenz Hbf,Duisburg Hbf,248.0,38,24,6.5263,0.6316
Berlin Hbf,Leipzig Hbf,-112.0,48,38,-2.3333,0.7917
Halle (Saale) Hbf,Bamberg,-38.0,48,4,-0.7917,0.0833
Erlangen,Berlin Südkreuz,75.0,45,19,1.6667,0.4222
Nürnberg Hbf,Weilheim (Oberbay),-214.0,47,40,-4.5532,0.8511
Weilheim (Oberbay),Murnau,0.0,47,5,0.0,0.1064
Murnau,Garmisch-Partenkirchen,-13.0,46,5,-0.2826,0.1087
Garmisch-Partenkirchen,München Hbf,140.0,29,26,4.8276,0.8966
Nürnberg Hbf,Regensburg Hbf,-61.0,47,46,-1.2979,0.9787
Regensburg Hbf,Plattling,-71.0,93,75,-0.7634,0.8065
Plattling,Passau Hbf,-185.0,93,72,-1.9892,0.7742
Rostock Hbf,Waren (Müritz),-22.0,52,30,-0.4231,0.5769
Stuttgart Hbf,Herrenberg,71.0,20,20,3.55,1.0
Hannover Hbf,Lüneburg,-812.0,105,90,-7.7333,0.8571
Coburg,Bamberg,-4.0,18,18,-0.2222,1.0
Minden (Westf),Herford,-201.0,97,74,-2.0722,0.7629
Dortmund Hbf,Essen Hbf,10.0,51,4,0.1961,0.0784
Duisburg Hbf,Limburg Süd,-19.0,55,7,-0.3455,0.1273
Limburg Süd,Esslingen (Neckar),-20.0,55,3,-0.3636,0.0545
Esslingen (Neckar),Düsseldorf Hbf,21.0,8,5,2.625,0.625
Mannheim Hbf,Köln Messe/Deutz,-39.0,57,14,-0.6842,0.2456
Köln Messe/Deutz,Mainz Hbf,138.0,54,13,2.5556,0.2407
Frankfurt am Main Flughafen Fernbahnhof,Montabaur,-969.0,100,94,-9.69,0.94
Gelsenkirchen Hbf,Hagen Hbf,127.0,57,10,2.2281,0.1754
Wuppertal Hbf,Dortmund Hbf,831.0,57,56,14.5789,0.9825
Berlin-Wannsee,Berlin Gesundbrunnen,-35.0,34,24,-1.0294,0.7059
Heide (Holst),Hamburg-Altona,-642.0,53,40,-12.1132,0.7547
Itzehoe,Hamburg-Harburg,-670.0,53,41,-12.6415,0.7736
Bremen Hbf,Dortmund Hbf,-988.0,51,49,-19.3725,0.9608
Dortmund Hbf,Osnabrück Hbf,812.0,46,40,17.6522,0.8696
Tuttlingen,Rottweil,7.0,48,23,0.1458,0.4792
Mülheim (Ruhr) Hbf,Köln Messe/Deutz,-269.0,56,34,-4.8036,0.6071
Solingen Hbf,Bonn-Beuel,-42.0,55,14,-0.7636,0.2545
Bonn-Beuel,Köln Hbf,404.0,55,51,7.3455,0.9273
Stuttgart Hbf,Plochingen,-71.0,50,49,-1.42,0.98
Plochingen,Göppingen,-28.0,52,50,-0.5385,0.9615
Göppingen,Ulm Hbf,-100.0,52,47,-1.9231,0.9038
Ulm Hbf,Memmingen,479.0,51,49,9.3922,0.9608
Memmingen,Kempten (Allgäu) Hbf,196.0,51,49,3.8431,0.9608
Nürnberg Hbf,Hannover Hbf,-52.0,7,6,-7.4286,0.8571
Neumünster,Uelzen,131.0,53,26,2.4717,0.4906
Uelzen,Hamburg Dammtor,-118.0,53,25,-2.2264,0.4717
Hamburg Dammtor,Celle,93.0,53,17,1.7547,0.3208
Kassel-Wilhelmshöhe,Heidelberg Hbf,-424.0,58,30,-7.3103,0.5172
Heidelberg Hbf,Frankfurt (Main) Hbf,421.0,58,35,7.2586,0.6034
Frankfurt (Main) Hbf,Esslingen (Neckar),-44.0,40,10,-1.1,0.25
Recklinghausen Hbf,Oberhausen Hbf,216.0,46,37,4.6957,0.8043
Oberhausen Hbf,Wanne-Eickel Hbf,-170.0,45,35,-3.7778,0.7778
Frankfurt (Main) Hbf,Bonn Hbf,-316.0,40,40,-7.9,1.0
Aschaffenburg Hbf,Regensburg Hbf,-606.0,42,42,-14.4286,1.0
Passau Hbf,Würzburg Hbf,512.0,11,11,46.5455,1.0
Lüneburg,Bad Bevensen,-479.0,58,51,-8.2586,0.8793
Bad Bevensen,Uelzen,313.0,58,35,5.3966,0.6034
Mannheim Hbf,Esslingen (Neckar),-697.0,55,55,-12.6727,1.0
Bremen Hbf,Diepholz,72.0,114,91,0.6316,0.7982
Diepholz,Osnabrück Hbf,-54.0,114,97,-0.4737,0.8509
Bochum Hbf,Duisburg Hbf,0.0,14,0,0.0,0.0
Karlsruhe Hbf,Freiburg (Breisgau) Hbf,155.0,59,57,2.6271,0.9661
Hamburg-Harburg,Hannover-Messe / Laatzen,-68.0,105,15,-0.6476,0.1429
Papenburg (Ems),Esslingen (Neckar),30.0,57,6,0.5263,0.1053
Esslingen (Neckar),Meppen,-40.0,57,7,-0.7018,0.1228
Münster (Westf) Hbf,Oberhausen Hbf,-7.0,57,6,-0.1228,0.1053
Oberhausen Hbf,Recklinghausen Hbf,1.0,57,4,0.0175,0.0702
Gelsenkirchen Hbf,Dortmund Hbf,-13.0,12,3,-1.0833,0.25
Westerland (Sylt),Keitum,-31.0,48,29,-0.6458,0.6042
Keitum,Klanxbüll,51.0,47,31,1.0851,0.6596
Klanxbüll,Niebüll,-88.0,48,33,-1.8333,0.6875
Ludwigslust,Berlin Hbf,-187.0,48,45,-3.8958,0.9375
Bruchsal,Esslingen (Neckar),-94.0,57,47,-1.6491,0.8246
Berlin Hbf,Ludwigslust,-166.0,56,56,-2.9643,1.0
Berlin Hbf,Halle (Saale) Hbf,-172.0,40,40,-4.3,1.0
Gotha,Fulda,217.0,40,38,5.425,0.95
Berlin Ostbahnhof,Köln Hbf,0.0,0,0,,
Frankfurt (Main) Hbf,Bad Nauheim,37.0,43,14,0.8605,0.3256
Dillenburg,Frankfurt (Main) West,-62.0,39,23,-1.5897,0.5897
Köln Hbf,Remagen,39.0,53,20,0.7358,0.3774
Andernach,Bonn-Beuel,352.0,52,45,6.7692,0.8654
Hannover Hbf,Hannover-Messe / Laatzen,-334.0,57,36,-5.8596,0.6316
Werdohl,Hagen Hbf,-504.0,44,38,-11.4545,0.8636
Hagen Hbf,Altena (Westf),508.0,44,40,11.5455,0.9091
Wabern (Bz Kassel),Celle,-82.0,12,8,-6.8333,0.6667
Hamburg Hbf,Kassel-Wilhelmshöhe,102.0,10,7,10.2,0.7
Lüneburg,Hamburg Hbf,0.0,9,0,0.0,0.0
Stralsund Hbf,Hamburg-Harburg,0.0,9,0,0.0,0.0
Elsterwerda,Berlin Hbf,11.0,24,8,0.4583,0.3333
Berlin Hbf,Neustrelitz Hbf,-527.0,57,57,-9.2456,1.0
Neustrelitz Hbf,Berlin Gesundbrunnen,511.0,57,56,8.9649,0.9825
Düren,Düsseldorf Hbf,-90.0,51,34,-1.7647,0.6667
Bruchsal,Pforzheim Hbf,33.0,45,20,0.7333,0.4444
Stuttgart Hbf,Schorndorf,79.0,54,53,1.463,0.9815
Oberhausen Hbf,Düsseldorf Hbf,23.0,56,13,0.4107,0.2321
Wiesloch-Walldorf,Vaihingen (Enz),-4.0,1,1,-4.0,1.0
Limburg Süd,Düsseldorf Hbf,62.0,47,3,1.3191,0.0638
Solingen Hbf,Hamm (Westf) Hbf,-615.0,45,44,-13.6667,0.9778
Hamm (Westf) Hbf,Wuppertal Hbf,587.0,46,44,12.7609,0.9565
Hagen Hbf,Oberhausen Hbf,-58.0,49,7,-1.1837,0.1429
Oberhausen Hbf,Essen Hbf,404.0,48,35,8.4167,0.7292
Hamburg-Harburg,Emden Hbf,-1014.0,47,41,-21.5745,0.8723
Rheine,Hamburg Hbf,1123.0,49,45,22.9184,0.9184
Garmisch-Partenkirchen,Murnau,4.0,56,4,0.0714,0.0714
Murnau,Weilheim (Oberbay),1.0,56,6,0.0179,0.1071
Weilheim (Oberbay),Halle (Saale) Hbf,83.0,56,8,1.4821,0.1429
Halle (Saale) Hbf,München Hbf,23.0,8,6,2.875,0.75
Erfurt Hbf,Berlin Südkreuz,1001.0,57,56,17.5614,0.9825
Bochum Hbf,Wuppertal Hbf,-195.0,56,48,-3.4821,0.8571
Wuppertal Hbf,Essen Hbf,195.0,57,35,3.4211,0.614
Würzburg Hbf,Frankfurt (Main) Hbf,396.0,58,35,6.8276,0.6034
Dortmund Hbf,Düsseldorf Hbf,-181.0,57,9,-3.1754,0.1579
Berlin Südkreuz,Naumburg (Saale) Hbf,-502.0,51,47,-9.8431,0.9216
Naumburg (Saale) Hbf,Kassel-Wilhelmshöhe,-29.0,54,7,-0.537,0.1296
Eisenach,Jena Paradies,-155.0,52,6,-2.9808,0.1154
Jena Paradies,Bitterfeld,873.0,51,36,17.1176,0.7059
Bitterfeld,Esslingen (Neckar),-932.0,51,38,-18.2745,0.7451
Esslingen (Neckar),Leipzig Hbf,872.0,50,34,17.44,0.68
Stuttgart Hbf,Neu-Ulm,-627.0,37,31,-16.9459,0.8378
Neu-Ulm,Ulm Hbf,587.0,38,34,15.4474,0.8947
Rostock Hbf,Berlin Gesundbrunnen,-123.0,56,41,-2.1964,0.7321
Wolfsburg Hbf,Köthen,-15.0,44,3,-0.3409,0.0682
Köthen,Berlin Ostbahnhof,0.0,20,0,0.0,0.0
