source,target,sumDelay,numTrains,numDelayedTrains
Düsseldorf Flughafen,Düsseldorf Hbf,-103.0,671,573
Stuttgart Hbf,Wiesloch-Walldorf,-11.0,87,71
Wiesloch-Walldorf,Heidelberg Hbf,55.0,257,107
Niebüll,Westerland (Sylt),1178.0,351,198
Mühlacker,Stuttgart Hbf,100.0,82,35
Bamberg,Lichtenfels,183.0,133,133
Lichtenfels,Kronach,-86.0,133,128
Kronach,Ludwigsstadt,-58.0,133,123
Ludwigsstadt,Saalfeld (Saale),-230.0,133,116
Saalfeld (Saale),Rudolstadt (Thür),-148.0,133,97
Rudolstadt (Thür),Jena-Göschwitz,-4.0,133,104
Jena-Göschwitz,Jena Paradies,26.0,165,114
Jena Paradies,Naumburg (Saale) Hbf,15.0,178,110
Naumburg (Saale) Hbf,Weißenfels,12.0,181,104
Weißenfels,Leipzig Hbf,88.0,182,117
Mannheim Hbf,Frankfurt (Main) Hbf,2514.0,446,436
Frankfurt (Main) Hbf,Kassel-Wilhelmshöhe,-1837.0,391,387
Berlin-Spandau,Fulda,259.0,55,34
Fulda,Berlin Ostbahnhof,-286.0,55,42
Berlin Ostbahnhof,Erfurt Hbf,822.0,100,76
Berlin Hbf,Hamburg Hbf,-318.0,100,92
Köln Hbf,Berlin-Spandau,813.0,155,141
Vaihingen (Enz),Wiesloch-Walldorf,-31.0,69,20
Mainz Hbf,Wiesbaden Hbf,773.0,237,152
Dresden-Neustadt,Elsterwerda,10.0,407,241
Elsterwerda,Doberlug-Kirchhain,-96.0,268,165
Doberlug-Kirchhain,Berlin Südkreuz,936.0,303,257
Berlin Gesundbrunnen,Oranienburg,382.0,279,225
Oranienburg,Neustrelitz Hbf,-509.0,281,217
Neustrelitz Hbf,Waren (Müritz),-70.0,279,183
Waren (Müritz),Schwerin Hbf,-704.0,181,128
Schwerin Hbf,Rostock Hbf,1246.0,245,129
Rostock Hbf,Warnemünde,-289.0,294,191
Donauwörth,Nürnberg Hbf,164.0,209,178
Nürnberg Hbf,Bamberg,570.0,386,355
Bamberg,Erfurt Hbf,-753.0,513,469
Halle (Saale) Hbf,Bitterfeld,142.0,439,370
Bitterfeld,Berlin Südkreuz,344.0,488,455
Berlin-Spandau,Hamburg Hbf,3810.0,677,620
Köln Messe/Deutz,Siegburg/Bonn,-509.0,372,264
Limburg Süd,Köln Hbf,1035.0,95,42
Köln Hbf,Frankfurt am Main Flughafen Fernbahnhof,1195.0,249,219
Hannover Hbf,Bielefeld Hbf,2754.0,933,920
Bielefeld Hbf,Hamm (Westf) Hbf,1738.0,1193,1177
Münster (Westf) Hbf,Gelsenkirchen Hbf,-1206.0,143,138
Gelsenkirchen Hbf,Essen Hbf,392.0,221,147
Düsseldorf Hbf,Köln Hbf,10841.0,1227,1019
Frankfurt (Main) Hbf,Erfurt Hbf,320.0,115,50
Büchen,Hamburg Hbf,2523.0,218,202
Duisburg Hbf,Mülheim (Ruhr) Hbf,365.0,106,70
Münster (Westf) Hbf,Bremen Hbf,-15.0,48,40
Bremen Hbf,Hamburg Hbf,-66.0,49,43
Hannover Hbf,Bremen Hbf,220.0,57,41
Berlin Hbf,Esslingen (Neckar),4.0,40,2
Esslingen (Neckar),Karlsruhe Hbf,0.0,1,0
Bruchsal,Wolfsburg Hbf,-18.0,40,14
Braunschweig Hbf,Stuttgart Hbf,65.0,40,27
Stuttgart Hbf,Hanau Hbf,-87.0,40,34
Hanau Hbf,Würzburg Hbf,0.0,40,0
Ingolstadt Hbf,Hildesheim Hbf,1.0,40,1
Göttingen,Ulm Hbf,111.0,40,28
München-Pasing,Frankfurt (Main) Hbf,-228.0,38,31
Mannheim Hbf,München Hbf,264.0,39,29
Wiesloch-Walldorf,Stuttgart Hbf,19.0,77,55
Hamm (Westf) Hbf,Bochum Hbf,-165.0,44,40
Duisburg Hbf,Krefeld Hbf,-4.0,45,14
Krefeld Hbf,Viersen,-13.0,46,15
Viersen,Mönchengladbach Hbf,-58.0,46,14
Mönchengladbach Hbf,Rheydt Hbf,-150.0,64,22
Rheydt Hbf,Erkelenz,76.0,103,19
Erkelenz,Herzogenrath,-63.0,45,12
Herzogenrath,Geilenkirchen,37.0,46,14
Geilenkirchen,Aachen Hbf,31.0,104,18
Aachen Hbf,Dortmund Hbf,223.0,30,19
Norddeich Mole,Norden,-5.0,51,3
Norden,Emden Hbf,93.0,149,83
Emden Hbf,Leer (Ostfriesl),-82.0,598,371
Leer (Ostfriesl),Papenburg (Ems),-37.0,360,169
Papenburg (Ems),Meppen,165.0,359,204
Meppen,Lingen (Ems),-153.0,417,205
Limburg Süd,Köln Messe/Deutz,43.0,109,9
Köln Messe/Deutz,Köln Hbf,2415.0,590,485
Solingen Hbf,Wuppertal Hbf,-100.0,353,299
Hagen Hbf,Dortmund Hbf,915.0,598,538
Osnabrück Hbf,Bremen Hbf,-1095.0,551,517
Göttingen,Hannover-Messe / Laatzen,-1228.0,205,144
Hannover-Messe / Laatzen,Hannover Hbf,2513.0,309,193
Norddeich,Norden,23.0,211,102
Norden,Marienhafe,-31.0,109,62
Marienhafe,Brandenburg Hbf,7.0,12,3
Brandenburg Hbf,Potsdam Hbf,-7.0,96,53
Potsdam Hbf,Augustfehn,-7.0,12,5
Augustfehn,Westerstede-Ocholt,60.0,279,222
Westerstede-Ocholt,Bad Zwischenahn,-98.0,280,216
Bad Zwischenahn,Oldenburg (Oldb) Hbf,92.0,285,236
Oldenburg (Oldb) Hbf,Hude,124.0,284,257
Hude,Delmenhorst,101.0,187,156
Delmenhorst,Berlin-Wannsee,15.0,12,5
Berlin-Wannsee,Verden (Aller),-17.0,12,5
Verden (Aller),Nienburg (Weser),143.0,323,217
Nienburg (Weser),Berlin Gesundbrunnen,41.0,12,6
Berlin Gesundbrunnen,Emden Hbf,-7.0,9,2
Leer (Ostfriesl),Bremen Hbf,12.0,12,4
Bremen Hbf,Braunschweig Hbf,1.0,12,5
Braunschweig Hbf,Helmstedt,145.0,283,210
Helmstedt,Rostock Hbf,-21.0,10,5
Rostock Hbf,Riesa,3.0,12,2
Riesa,Hannover Hbf,29.0,12,6
Hannover Hbf,Bützow,-15.0,12,5
Karlsruhe Hbf,Offenburg,7.0,13,10
Offenburg,Hausach,18.0,62,17
Hausach,Triberg,24.0,62,18
Triberg,Villingen (Schwarzw),-36.0,62,18
Villingen (Schwarzw),Donaueschingen,13.0,62,16
Donaueschingen,Singen (Hohentwiel),-8.0,13,10
Singen (Hohentwiel),Radolfzell,-2.0,97,17
Leer (Ostfriesl),Augustfehn,71.0,268,233
Delmenhorst,Bremen Hbf,-73.0,289,241
Bremen Hbf,Verden (Aller),145.0,78,54
Nienburg (Weser),Osnabrück Hbf,-134.0,35,30
Osnabrück Hbf,Hannover Hbf,436.0,141,137
Hannover Hbf,Peine,93.0,72,50
Peine,Braunschweig Hbf,-17.0,82,46
Helmstedt,Magdeburg Hbf,70.0,261,207
Düsseldorf Hbf,Neuss Hbf,-8.0,48,41
Neuss Hbf,Mönchengladbach Hbf,2.0,47,40
Erkelenz,Geilenkirchen,-8.0,57,6
Köln Messe/Deutz,Wuppertal Hbf,2430.0,322,239
Hagen Hbf,Montabaur,-167.0,106,14
Montabaur,Düsseldorf Hbf,2353.0,104,85
Essen Hbf,Gelsenkirchen Hbf,-654.0,53,36
Gelsenkirchen Hbf,Recklinghausen Hbf,50.0,95,41
Recklinghausen Hbf,Bochum Hbf,64.0,53,36
Bochum Hbf,Siegburg/Bonn,543.0,54,47
Siegburg/Bonn,Dortmund Hbf,-521.0,54,54
Köln Hbf,Solingen Hbf,-1567.0,856,647
Husum,Bredstedt,17.0,18,12
Bredstedt,Langenhorn (Schlesw),171.0,122,91
Langenhorn (Schlesw),Niebüll,40.0,140,65
Westerland (Sylt),Niebüll,-1098.0,252,147
Niebüll,Husum,293.0,285,186
Husum,Heide (Holst),246.0,287,187
Heide (Holst),Itzehoe,151.0,184,115
Itzehoe,Hamburg Dammtor,142.0,129,67
Friedberg (Hess),Stuttgart Hbf,-144.0,35,4
Stuttgart Hbf,Frankfurt (Main) Hbf,139.0,35,4
Bützow,Ludwigslust,-243.0,85,52
Ludwigslust,Schwerin Hbf,835.0,359,193
Schwerin Hbf,Hamburg Hbf,138.0,206,96
Bruchsal,Karlsruhe-Durlach,-84.0,155,46
Karlsruhe-Durlach,Neu-Edingen/Friedrichsfeld,-63.0,54,3
Neu-Edingen/Friedrichsfeld,Karlsruhe Hbf,739.0,80,25
Leipzig Hbf,Berlin Südkreuz,1244.0,637,487
Schwerin Hbf,Bützow,-239.0,168,86
Bützow,Rostock Hbf,432.0,366,224
Rostock Hbf,Ribnitz-Damgarten West,35.0,271,152
Ribnitz-Damgarten West,Velgast,-104.0,307,125
Velgast,Stralsund Hbf,-28.0,309,115
Stralsund Hbf,Bergen auf Rügen,-75.0,345,163
Bergen auf Rügen,Ostseebad Binz,-43.0,352,121
Lüneburg,Hannover Hbf,-238.0,273,185
Göttingen,Frankfurt (Main) Hbf,298.0,56,46
Kassel-Wilhelmshöhe,Frankfurt am Main Flughafen Fernbahnhof,469.0,102,102
Kassel-Wilhelmshöhe,Eisenach,677.0,205,129
Erfurt Hbf,Weimar,-474.0,150,86
Weimar,Jena West,-8.0,98,66
Jena West,Jena-Göschwitz,13.0,98,73
Jena-Göschwitz,Stadtroda,-37.0,88,68
Stadtroda,Hermsdorf-Klosterlausnitz,53.0,93,64
Hermsdorf-Klosterlausnitz,Gera Hbf,-23.0,96,55
Köln Hbf,Frankfurt (Main) Hbf,1075.0,97,95
Hanau Hbf,Kassel-Wilhelmshöhe,694.0,148,132
Kassel-Wilhelmshöhe,Celle,-582.0,98,44
Celle,Göttingen,637.0,108,46
Hamburg-Harburg,Heidelberg Hbf,-928.0,48,32
Heidelberg Hbf,Mainz Hbf,0.0,51,0
Mainz Hbf,Koblenz Hbf,224.0,367,249
Koblenz Hbf,Bielefeld Hbf,0.0,51,0
Bielefeld Hbf,Berlin-Spandau,122.0,53,2
Berlin Ostbahnhof,Hamburg Hbf,1031.0,52,43
Frankfurt am Main Flughafen Fernbahnhof,Hanau Hbf,77.0,352,128
Hanau Hbf,Fulda,-557.0,414,95
Freiberg (Sachs),Dresden Hbf,36.0,86,51
Elsterwerda,Riesa,-717.0,139,114
Riesa,Doberlug-Kirchhain,138.0,39,21
Warnemünde,Chemnitz Hbf,0.0,0,0
Ludwigslust,Hamburg Hbf,1205.0,460,373
Berlin Südkreuz,Halle (Saale) Hbf,-753.0,950,736
Halle (Saale) Hbf,Erfurt Hbf,1361.0,1331,1011
Erfurt Hbf,Nürnberg Hbf,2622.0,514,480
Nürnberg Hbf,München Hbf,1676.0,1673,1545
Berlin Südkreuz,Bitterfeld,173.0,214,159
Bitterfeld,Leipzig Hbf,-1209.0,159,151
Erfurt Hbf,Bamberg,-941.0,368,315
Bamberg,Nürnberg Hbf,340.0,147,128
Nürnberg Hbf,Donauwörth,54.0,154,152
Donauwörth,Augsburg Hbf,119.0,194,182
Koblenz Hbf,Andernach,54.0,168,118
Bonn Hbf,Köln Messe/Deutz,-1187.0,269,145
Hamm (Westf) Hbf,Gütersloh Hbf,205.0,316,307
Gütersloh Hbf,Bielefeld Hbf,65.0,314,288
Bielefeld Hbf,Herford,-196.0,313,283
Herford,Bad Oeynhausen,3.0,209,183
Bad Oeynhausen,Minden (Westf),14.0,211,194
Braunschweig Hbf,Magdeburg Hbf,441.0,222,203
Leipzig Hbf,München Hbf,-237.0,51,33
München-Pasing,Stuttgart Hbf,0.0,54,0
Stuttgart Hbf,Saarbrücken Hbf,14.0,56,2
Saarbrücken Hbf,Riesa,312.0,51,39
Köln Messe/Deutz,Esslingen (Neckar),-438.0,112,104
Esslingen (Neckar),Siegburg/Bonn,453.0,112,84
Frankfurt am Main Flughafen Fernbahnhof,Heidelberg Hbf,-209.0,55,37
Konstanz,Radolfzell,7.0,89,28
Radolfzell,Singen (Hohentwiel),8.0,126,36
Singen (Hohentwiel),Engen,39.0,159,64
Engen,Tuttlingen,70.0,155,87
Tuttlingen,Spaichingen,26.0,107,70
Spaichingen,Rottweil,71.0,129,76
Rottweil,Oberndorf (Neckar),-56.0,106,70
Sulz (Neckar),Horb,151.0,100,68
Horb,Bondorf (b Herrenberg),-74.0,101,69
Bondorf (b Herrenberg),Gäufelden,-120.0,108,57
Gäufelden,Herrenberg,95.0,107,57
Herrenberg,Böblingen,-30.0,106,60
Böblingen,Stuttgart Hbf,171.0,155,81
Schwerin Hbf,Büchen,-51.0,31,19
Kassel-Wilhelmshöhe,Berlin Südkreuz,1399.0,239,184
Erfurt Hbf,Fulda,300.0,278,248
Fulda,Frankfurt (Main) Hbf,1676.0,908,724
Berlin-Spandau,Berlin Gesundbrunnen,-825.0,104,84
Bamberg,Erlangen,50.0,376,257
Kassel-Wilhelmshöhe,Würzburg Hbf,1177.0,57,55
Würzburg Hbf,Ingolstadt Hbf,35.0,57,56
Freiburg (Breisgau) Hbf,Berlin Hbf,-97.0,56,26
Berlin Hbf,Offenburg,3.0,58,1
Baden-Baden,Fulda,-237.0,58,36
Fulda,Karlsruhe Hbf,280.0,58,43
Limburg Süd,Wiesbaden Hbf,-44.0,94,76
Wiesbaden Hbf,Mainz Hbf,116.0,260,142
Eisenach,Bad Hersfeld,41.0,416,248
Bad Hersfeld,Fulda,343.0,449,309
Bremen Hbf,Hannover Hbf,105.0,34,29
Berlin Hbf,Schwerin Hbf,-333.0,53,53
Schwerin Hbf,Berlin Gesundbrunnen,222.0,49,40
Waren (Müritz),Rostock Hbf,-122.0,101,62
Leipzig Hbf,Bitterfeld,564.0,57,52
Lüneburg,Göttingen,-35.0,35,5
Frankfurt (Main) Hbf,Uelzen,24.0,28,4
Berlin-Spandau,Ludwigslust,-317.0,211,168
Itzehoe,Hamburg-Altona,7.0,10,8
Heidelberg Hbf,Stuttgart Hbf,1036.0,473,346
Hagen Hbf,Düsseldorf Hbf,-1303.0,265,208
Berlin Gesundbrunnen,Bernau (b Berlin),133.0,113,109
Bernau (b Berlin),Eberswalde Hbf,-255.0,159,149
Eberswalde Hbf,Neustrelitz Hbf,-113.0,56,48
Neustrelitz Hbf,Angermünde,191.0,109,66
Angermünde,Prenzlau,29.0,276,144
Prenzlau,Pasewalk,-59.0,270,141
Pasewalk,Ribnitz-Damgarten West,-76.0,56,43
Ribnitz-Damgarten West,Anklam,94.0,56,38
Anklam,Züssow,95.0,276,162
Züssow,Greifswald,-146.0,276,167
Greifswald,Stralsund Hbf,-16.0,320,171
Stralsund Hbf,Ribnitz-Damgarten West,-128.0,96,46
Ribnitz-Damgarten West,Neustrelitz Hbf,-4.0,43,1
Neustrelitz Hbf,Greifswald,88.0,35,14
Greifswald,Züssow,-28.0,215,56
Pasewalk,Prenzlau,30.0,329,162
Oldenburg (Oldb) Hbf,Delmenhorst,15.0,45,30
Nienburg (Weser),Hannover Hbf,378.0,220,153
Hamburg-Altona,Berlin Ostbahnhof,0.0,1,0
Berlin-Spandau,Berlin Ostbahnhof,110.0,51,43
Hamburg Hbf,Uelzen,81.0,51,43
Uelzen,Hamburg-Harburg,-83.0,48,44
Hamburg-Harburg,Celle,-76.0,52,43
Celle,Lüneburg,97.0,51,38
Göttingen,Fulda,-557.0,106,83
Kassel-Wilhelmshöhe,Frankfurt (Main) Hbf,928.0,220,194
Stuttgart Hbf,Berlin-Spandau,0.0,4,0
Norddeich Mole,Norddeich,-15.0,124,69
Marienhafe,Emden Hbf,49.0,103,86
Bremen Hbf,Minden (Westf),-317.0,138,111
Berlin-Spandau,Erfurt Hbf,706.0,96,62
Erfurt Hbf,Berlin Ostbahnhof,-752.0,96,75
Berlin Ostbahnhof,Halle (Saale) Hbf,812.0,84,66
Siegburg/Bonn,Wuppertal Hbf,-165.0,57,9
Hagen Hbf,Limburg Süd,234.0,57,9
Montabaur,Köln Messe/Deutz,708.0,57,52
Frankfurt (Main) Hbf,Aschaffenburg Hbf,2022.0,584,582
Frankfurt (Main) Hbf,Berlin Südkreuz,0.0,0,0
Koblenz Hbf,Bonn-Beuel,-1086.0,102,89
Bonn-Beuel,Köln Messe/Deutz,109.0,49,14
Horb,Sulz (Neckar),2.0,86,59
Sulz (Neckar),Oberndorf (Neckar),-21.0,100,58
Oberndorf (Neckar),Hamburg Hbf,-279.0,38,21
Hamburg Hbf,Spaichingen,127.0,47,10
Spaichingen,Tuttlingen,25.0,104,46
Tuttlingen,Engen,13.0,104,46
Engen,Singen (Hohentwiel),-44.0,104,45
Radolfzell,Konstanz,19.0,96,12
Konstanz,Rottweil,206.0,33,24
Rottweil,Hamburg-Harburg,-164.0,13,13
Hannover Hbf,Kassel-Wilhelmshöhe,0.0,42,3
Kassel-Wilhelmshöhe,Nürnberg Hbf,121.0,47,4
Lingen (Ems),Rheine,247.0,353,175
Rheine,Münster (Westf) Hbf,179.0,305,166
Hamm (Westf) Hbf,Hagen Hbf,2190.0,341,334
Berlin Südkreuz,Berlin Gesundbrunnen,103.0,13,9
Bamberg,Ingolstadt Hbf,356.0,58,5
Köln Messe/Deutz,Frankfurt am Main Flughafen Fernbahnhof,86.0,465,460
Bremerhaven-Lehe,Bremerhaven Hbf,-18.0,46,23
Bremerhaven Hbf,Osterholz-Scharmbeck,7.0,47,35
Osterholz-Scharmbeck,Bremen Hbf,5.0,47,39
Münster (Westf) Hbf,Recklinghausen Hbf,-971.0,460,404
Recklinghausen Hbf,Gelsenkirchen Hbf,-89.0,183,144
Gelsenkirchen Hbf,Oberhausen Hbf,494.0,246,160
Oberhausen Hbf,Duisburg Hbf,471.0,244,196
Hannover Hbf,Osnabrück Hbf,670.0,148,144
Köln Hbf,Düren,-698.0,117,76
Düren,Aachen Hbf,233.0,121,68
Hude,Minden (Westf),-315.0,47,40
Minden (Westf),Delmenhorst,438.0,48,46
Bremen Hbf,Wolfsburg Hbf,-250.0,46,36
Berlin-Spandau,Verden (Aller),524.0,47,40
Magdeburg Hbf,Brandenburg Hbf,-10.0,120,92
Potsdam Hbf,Berlin-Wannsee,94.0,83,62
Berlin-Wannsee,Berlin Hbf,-51.0,94,79
Berlin Ostbahnhof,Berlin Gesundbrunnen,-176.0,64,53
Berlin Gesundbrunnen,Königs Wusterhausen,258.0,47,37
Königs Wusterhausen,Lübben (Spreewald),49.0,47,33
Lübben (Spreewald),Lübbenau (Spreewald),-14.0,47,31
Lübbenau (Spreewald),Cottbus Hbf,35.0,47,34
Erfurt Hbf,Eisenach,-795.0,145,76
Eisenach,Fulda,1052.0,144,78
Fulda,Mannheim Hbf,-525.0,73,45
Mannheim Hbf,Bensheim,-347.0,74,16
Darmstadt Hbf,Heidelberg Hbf,461.0,114,59
Hildesheim Hbf,Hannover Hbf,-378.0,43,43
Magdeburg Hbf,Stendal Hbf,75.0,102,93
Stendal Hbf,Wittenberge,-26.0,164,115
Angermünde,Berlin Gesundbrunnen,0.0,55,0
Halle (Saale) Hbf,Kassel-Wilhelmshöhe,18.0,55,8
Eisenach,Mainz Hbf,-536.0,55,50
Mainz Hbf,Fulda,599.0,55,43
Fulda,Hanau Hbf,119.0,118,67
Hanau Hbf,Frankfurt (Main) Hbf,279.0,273,236
Rostock Hbf,Schwerin Hbf,-328.0,275,136
Schwerin Hbf,Waren (Müritz),235.0,253,106
Waren (Müritz),Neustrelitz Hbf,-52.0,303,154
Neustrelitz Hbf,Oranienburg,-73.0,304,168
Oranienburg,Berlin Gesundbrunnen,289.0,302,174
Berlin Südkreuz,Doberlug-Kirchhain,1007.0,328,304
Doberlug-Kirchhain,Elsterwerda,-109.0,328,299
Elsterwerda,Dresden-Neustadt,472.0,324,280
Göttingen,Hamburg Hbf,-28.0,52,7
Hamburg Hbf,Hildesheim Hbf,25.0,51,6
Würzburg Hbf,Ansbach,2.0,37,35
Ansbach,Treuchtlingen,-16.0,37,36
Treuchtlingen,Donauwörth,-68.0,38,38
Augsburg Hbf,Buchloe,-23.0,39,31
Buchloe,Kaufbeuren,-47.0,39,32
Kaufbeuren,Kempten (Allgäu) Hbf,-75.0,39,33
Kempten (Allgäu) Hbf,Immenstadt,-19.0,91,77
Immenstadt,Sonthofen,25.0,91,89
Sonthofen,Fischen,216.0,91,89
Fischen,Oberstdorf,-60.0,91,89
Hamburg Hbf,Berlin Hbf,-44.0,17,14
München Hbf,Rosenheim,0.0,52,0
Ulm Hbf,Karlsruhe Hbf,0.0,58,0
Düsseldorf Hbf,Oberhausen Hbf,-228.0,105,46
Oberhausen Hbf,Düsseldorf Flughafen,0.0,50,0
Düsseldorf Flughafen,Köln Hbf,0.0,1,0
Köln Hbf,Duisburg Hbf,-53.0,49,25
Duisburg Hbf,Solingen Hbf,9.0,104,54
Solingen Hbf,Essen Hbf,-94.0,102,19
Essen Hbf,Wuppertal Hbf,68.0,109,49
Wuppertal Hbf,Bochum Hbf,177.0,139,82
Kiel Hbf,Neumünster,49.0,106,32
Neumünster,Hamburg Hbf,271.0,38,38
Solingen Hbf,Köln Messe/Deutz,-1843.0,199,166
Köln Hbf,Limburg Süd,-846.0,148,88
Wuppertal Hbf,Duisburg Hbf,574.0,162,114
Hamburg-Altona,Itzehoe,1595.0,108,80
Wolfsburg Hbf,Eisenach,65.0,111,16
Eisenach,Braunschweig Hbf,16.0,57,3
Hildesheim Hbf,Esslingen (Neckar),-48.0,57,7
Esslingen (Neckar),Göttingen,55.0,57,7
Wittenberge,Berlin Hbf,87.0,108,95
Berlin Gesundbrunnen,Ludwigslust,-59.0,54,41
Schwerin Hbf,Bad Kleinen,-71.0,171,108
Bad Kleinen,Bützow,-110.0,152,79
Würzburg Hbf,Hanau Hbf,255.0,53,52
Frankfurt am Main Flughafen Fernbahnhof,Mainz Hbf,-281.0,304,156
Koblenz Hbf,Bonn Hbf,-218.0,163,97
München Hbf,Würzburg Hbf,355.0,48,48
Frankfurt (Main) Hbf,Köln Messe/Deutz,-30.0,50,50
Köln Messe/Deutz,Limburg Süd,-1159.0,106,49
Limburg Süd,Wuppertal Hbf,21.0,50,5
Duisburg Hbf,Frankfurt am Main Flughafen Fernbahnhof,-9.0,49,49
Frankfurt am Main Flughafen Fernbahnhof,Essen Hbf,-183.0,48,48
Hamburg-Altona,Hamburg Hbf,686.0,339,236
Nürnberg Hbf,Limburg Süd,-382.0,47,47
Limburg Süd,Berlin Gesundbrunnen,-112.0,48,3
Bitterfeld,Halle (Saale) Hbf,-30.0,66,18
Leipzig Hbf,Weimar,0.0,48,0
Bad Hersfeld,Hünfeld,0.0,48,0
Hünfeld,Fulda,0.0,48,0
Frankfurt (Main) Hbf,Montabaur,109.0,48,3
Montabaur,Frankfurt am Main Flughafen Fernbahnhof,2499.0,102,101
Frankfurt (Main) Hbf,Köln Hbf,-582.0,70,59
Celle,Stralsund Hbf,-81.0,44,3
Bützow,Hannover Hbf,79.0,46,4
Magdeburg Hbf,Dessau Hbf,16.0,18,9
Dessau Hbf,Bitterfeld,6.0,18,9
Riesa,Elsterwerda,-1.0,65,50
Wuppertal Hbf,Düsseldorf Hbf,-6071.0,415,350
Aschaffenburg Hbf,Hanau Hbf,48.0,30,29
Berlin Ostbahnhof,Berlin Zoologischer Garten,-212.0,53,44
Berlin Zoologischer Garten,Berlin Hbf,2087.0,179,149
Hagen Hbf,Köln Süd,-727.0,55,53
Köln Süd,Bonn Hbf,429.0,52,21
Bonn Hbf,Remagen,361.0,275,165
Remagen,Andernach,83.0,420,216
Andernach,Koblenz Hbf,244.0,366,212
Koblenz Hbf,Wuppertal Hbf,804.0,44,44
Köln Messe/Deutz,Montabaur,-165.0,149,96
Bruchsal,Wiesloch-Walldorf,28.0,132,18
Frankfurt (Main) Hbf,Frankfurt (Main) West,17.0,225,155
Frankfurt (Main) West,Friedberg (Hess),-182.0,136,75
Bad Kleinen,Ribnitz-Damgarten West,-158.0,34,22
Stralsund Hbf,Bützow,138.0,27,10
Braunschweig Hbf,Nienburg (Weser),88.0,43,42
Augustfehn,Hannover Hbf,-23.0,43,41
Osnabrück Hbf,Leer (Ostfriesl),401.0,45,36
Friedberg (Hess),Frankfurt (Main) West,12.0,53,26
Frankfurt (Main) West,Bad Nauheim,89.0,134,106
Bad Nauheim,Wetzlar,272.0,271,206
Wetzlar,Dillenburg,25.0,271,211
Dillenburg,Siegen-Weidenau,320.0,177,174
Siegen-Weidenau,Kreuztal,-199.0,184,170
Kreuztal,Lennestadt-Altenhundem,-15.0,183,157
Lennestadt-Altenhundem,Lennestadt-Grevenbrück,74.0,182,157
Lennestadt-Grevenbrück,Finnentrop,280.0,182,175
Finnentrop,Plettenberg,59.0,183,176
Plettenberg,Werdohl,44.0,183,174
Werdohl,Altena (Westf),-10.0,139,133
Altena (Westf),Witten Hbf,165.0,182,174
Witten Hbf,Dortmund Hbf,316.0,182,173
Karlsruhe-Durlach,Karlsruhe Hbf,41.0,124,42
Erfurt Hbf,Erlangen,114.0,195,157
Köln Messe/Deutz,Darmstadt Hbf,-283.0,55,21
Darmstadt Hbf,Köln Hbf,364.0,50,27
Frankfurt am Main Flughafen Fernbahnhof,Bonn Hbf,305.0,51,28
Mainz Hbf,Frankfurt (Main) Hbf,850.0,53,42
Bützow,Schwerin Hbf,29.0,194,61
Kassel-Wilhelmshöhe,Treysa,10.0,19,8
Kiel Hbf,Hamburg-Harburg,125.0,54,23
Hamburg-Harburg,Fulda,-137.0,56,36
Fulda,Lüneburg,241.0,56,29
Celle,Neumünster,-148.0,54,26
Neumünster,Hannover-Messe / Laatzen,0.0,55,0
Hannover-Messe / Laatzen,Hamburg Dammtor,5.0,54,2
Hamburg Hbf,Hannover Hbf,17.0,55,43
Berlin Gesundbrunnen,Eberswalde Hbf,-30.0,87,14
Eberswalde Hbf,Angermünde,-125.0,220,105
Pasewalk,Anklam,-21.0,220,94
