source,target,sumDelay,numTrains,numDelayedTrains
Bensheim,Esslingen (Neckar),0.0,53,0
Esslingen (Neckar),Heidelberg Hbf,0.0,6,0
Ulm Hbf,Biberach (Riß),0.0,57,0
Biberach (Riß),Aulendorf,0.0,0,0
Aulendorf,Ravensburg,0.0,57,0
Ravensburg,Friedrichshafen Stadt,0.0,57,0
Köln Messe/Deutz,Köln/Bonn Flughafen,110.0,105,85
Haiger,Dillenburg,53.0,28,12
Dillenburg,Herborn (Dillkr),23.0,32,16
Herborn (Dillkr),Wetzlar,20.0,32,22
Wanne-Eickel Hbf,Dortmund Hbf,-157.0,53,30
Freiburg (Breisgau) Hbf,Offenburg,-1.0,44,1
Frankfurt (Main) Hbf,Halle (Saale) Hbf,-375.0,58,58
Halle (Saale) Hbf,Hanau Hbf,539.0,58,56
Fulda,Eisenach,106.0,83,70
Eisenach,Erfurt Hbf,1310.0,257,157
Essen Hbf,Hamburg-Harburg,-523.0,55,42
Hamburg-Harburg,Münster (Westf) Hbf,-34.0,57,2
Münster (Westf) Hbf,Solingen Hbf,102.0,57,7
Solingen Hbf,Hamburg Hbf,1341.0,102,93
Duisburg Hbf,Köln Messe/Deutz,352.0,39,39
Montabaur,Köln Hbf,-331.0,38,36
München Hbf,Düsseldorf Hbf,0.0,0,0
Berlin-Spandau,Eisenach,41.0,56,3
Eisenach,Berlin Ostbahnhof,-37.0,56,4
Berlin Südkreuz,Berlin-Spandau,188.0,119,92
Berlin Gesundbrunnen,Berlin-Lichtenberg,-48.0,56,9
Berlin-Lichtenberg,Dresden-Neustadt,368.0,56,38
Dortmund Hbf,Gelsenkirchen Hbf,-1765.0,103,101
Darmstadt Hbf,Frankfurt am Main Flughafen Fernbahnhof,52.0,39,17
Solingen Hbf,Oberhausen Hbf,47.0,90,10
Oberhausen Hbf,Wuppertal Hbf,-13.0,108,12
Essen Hbf,Unna,-169.0,56,32
Unna,Bochum Hbf,199.0,55,36
Hamm (Westf) Hbf,Soest,172.0,106,99
Soest,Lippstadt,94.0,107,100
Lippstadt,Paderborn Hbf,90.0,107,102
Paderborn Hbf,Altenbeken,-150.0,107,102
Altenbeken,Warburg (Westf),65.0,99,91
Warburg (Westf),Kassel-Wilhelmshöhe,109.0,107,91
Leipzig Hbf,Weißenfels,-161.0,180,140
Weißenfels,Naumburg (Saale) Hbf,129.0,185,94
Naumburg (Saale) Hbf,Jena Paradies,47.0,182,123
Jena Paradies,Jena-Göschwitz,-17.0,185,129
Jena-Göschwitz,Rudolstadt (Thür),59.0,149,115
Rudolstadt (Thür),Saalfeld (Saale),-156.0,149,122
Saalfeld (Saale),Ludwigsstadt,-105.0,149,90
Ludwigsstadt,Kronach,-9.0,148,82
Kronach,Lichtenfels,-11.0,148,88
Lichtenfels,Bamberg,242.0,148,135
Nürnberg Hbf,Ansbach,-81.0,261,244
Ansbach,Crailsheim,57.0,263,250
Crailsheim,Ellwangen,152.0,262,245
Ellwangen,Aalen Hbf,-2.0,263,249
Aalen Hbf,Schwäbisch Gmünd,113.0,263,247
Schwäbisch Gmünd,Stuttgart Hbf,407.0,210,208
Vaihingen (Enz),Mühlacker,-1533.0,262,230
Mühlacker,Pforzheim Hbf,2.0,266,93
Pforzheim Hbf,Karlsruhe Hbf,896.0,211,155
Dillenburg,Lennestadt-Altenhundem,97.0,48,41
Lennestadt-Altenhundem,Schwerte (Ruhr),227.0,50,45
Schwerte (Ruhr),Unna,27.0,52,35
Unna,Dortmund Hbf,-332.0,51,45
Hamm (Westf) Hbf,Münster (Westf) Hbf,542.0,197,144
Osnabrück Hbf,Bünde (Westf),187.0,55,50
Bünde (Westf),Hannover Hbf,-43.0,55,55
Hannover Hbf,Berlin-Lichtenberg,-203.0,53,41
Berlin-Lichtenberg,Wolfsburg Hbf,3.0,37,2
Bonn Hbf,Düsseldorf Hbf,19.0,55,1
Braunschweig Hbf,Magdeburg-Buckau,-483.0,51,38
Magdeburg-Buckau,Magdeburg Hbf,565.0,51,42
Halle (Saale) Hbf,Frankfurt (Main) Hbf,-125.0,54,16
Mainz Hbf,Leipzig Hbf,143.0,55,16
Anklam,Neustrelitz Hbf,-97.0,53,35
Neustrelitz Hbf,Pasewalk,218.0,53,48
Solingen Hbf,Duisburg Hbf,479.0,46,38
Bochum Hbf,Düsseldorf Hbf,-68.0,46,32
Düsseldorf Hbf,Dortmund Hbf,28.0,96,80
Köln Hbf,Oberhausen Hbf,64.0,56,14
Düsseldorf Hbf,Hagen Hbf,1251.0,106,84
Hagen Hbf,Düsseldorf Flughafen,54.0,55,16
Berlin Gesundbrunnen,Neustrelitz Hbf,-566.0,51,45
Neustrelitz Hbf,Ribnitz-Damgarten West,0.0,52,0
Ribnitz-Damgarten West,Bernau (b Berlin),557.0,45,44
Uelzen,Hannover Hbf,-40.0,102,100
Aachen Hbf,Düsseldorf Hbf,-52.0,50,31
Düsseldorf Hbf,Essen Hbf,132.0,53,30
Essen Hbf,Köln Hbf,-156.0,64,31
Köln Hbf,Berlin Ostbahnhof,-80.0,53,27
Berlin Ostbahnhof,Solingen Hbf,54.0,52,6
Hannover Hbf,Berlin Gesundbrunnen,-1761.0,203,184
Essen Hbf,Bremen Hbf,-499.0,57,34
Bremen Hbf,Münster (Westf) Hbf,675.0,153,142
Berlin-Spandau,Berlin Südkreuz,224.0,46,22
Berlin Südkreuz,Wolfsburg Hbf,-210.0,51,31
Hildesheim Hbf,Leipzig Hbf,-16.0,54,6
Leipzig Hbf,Göttingen,11.0,54,4
Kassel-Wilhelmshöhe,Halle (Saale) Hbf,150.0,52,25
Niebüll,Langenhorn (Schlesw),243.0,148,38
Langenhorn (Schlesw),Bredstedt,-2.0,176,62
Erlangen,Erfurt Hbf,-14.0,69,57
Bergen auf Rügen,Berlin Hbf,0.0,0,0
Berlin Hbf,Stralsund Hbf,-111.0,52,51
Hamburg Hbf,Berlin Südkreuz,103.0,48,28
Mainz Hbf,Worms Hbf,24.0,94,40
Worms Hbf,Mannheim Hbf,79.0,91,42
Ulm Hbf,Günzburg,-93.0,159,120
Günzburg,Augsburg Hbf,173.0,203,122
Riesa,Döbeln Hbf,6.0,57,2
Döbeln Hbf,Dresden-Neustadt,687.0,57,53
Dresden Hbf,Freiberg (Sachs),-10.0,106,96
Freiberg (Sachs),Chemnitz Hbf,-46.0,105,94
Bremen Hbf,Oldenburg (Oldb) Hbf,0.0,21,18
Vaihingen (Enz),Heidelberg Hbf,130.0,184,132
Heidelberg Hbf,Heppenheim (Bergstr),117.0,43,28
Heppenheim (Bergstr),Bensheim,11.0,43,26
Hamburg Hbf,Lüneburg,118.0,70,61
Berlin-Spandau,Berlin Zoologischer Garten,-1711.0,161,122
Münster (Westf) Hbf,Hamm (Westf) Hbf,190.0,93,84
Münster (Westf) Hbf,Wanne-Eickel Hbf,-68.0,53,50
Wanne-Eickel Hbf,Köln Messe/Deutz,-397.0,53,30
Köln Messe/Deutz,Gelsenkirchen Hbf,357.0,53,30
Hamburg Hbf,Bremen Hbf,118.0,99,94
Dortmund Hbf,Solingen Hbf,28.0,50,6
Eisenach,Berlin Südkreuz,-156.0,58,36
Berlin Hbf,Bad Hersfeld,138.0,57,26
Darmstadt Hbf,Karlsruhe Hbf,-30.0,39,6
Karlsruhe Hbf,Bensheim,76.0,43,5
Bensheim,Mannheim Hbf,317.0,122,58
Gäufelden,München-Pasing,-97.0,44,21
München-Pasing,Bondorf (b Herrenberg),127.0,39,19
Bondorf (b Herrenberg),München Hbf,-148.0,44,24
München Hbf,Horb,158.0,43,23
Oberndorf (Neckar),Rottweil,10.0,55,26
Rottweil,Spaichingen,22.0,56,34
Angermünde,Berlin Hbf,0.0,6,0
Berlin Südkreuz,Eberswalde Hbf,-617.0,46,45
Berlin Gesundbrunnen,Halle (Saale) Hbf,563.0,46,43
Erfurt Hbf,Coburg,31.0,64,63
Coburg,Nürnberg Hbf,170.0,46,46
Augsburg Hbf,München Hbf,-34.0,45,43
Engen,Sulz (Neckar),0.0,38,0
Sulz (Neckar),Tuttlingen,4.0,46,2
Tuttlingen,Herrenberg,-4.0,38,2
Herrenberg,Spaichingen,0.0,29,0
Oberndorf (Neckar),Horb,39.0,46,11
Horb,Böblingen,0.0,9,0
Göttingen,Esslingen (Neckar),-46.0,55,6
Esslingen (Neckar),Kassel-Wilhelmshöhe,60.0,55,6
Fulda,Friedberg (Hess),95.0,54,4
Friedberg (Hess),Marburg (Lahn),-85.0,54,3
Marburg (Lahn),Hanau Hbf,662.0,48,40
Karlsruhe Hbf,Wolfsburg Hbf,-74.0,16,3
Wolfsburg Hbf,Mannheim Hbf,80.0,15,4
Mannheim Hbf,Kassel-Wilhelmshöhe,-160.0,16,4
Kassel-Wilhelmshöhe,Berlin Ostbahnhof,-31.0,16,1
Berlin Ostbahnhof,Göttingen,26.0,15,1
Hamburg-Harburg,Bamberg,116.0,16,4
Bamberg,Fulda,-53.0,16,5
Fulda,München Hbf,-78.0,11,2
München Hbf,Frankfurt (Main) Hbf,115.0,14,7
Düsseldorf Hbf,Halle (Saale) Hbf,35.0,15,4
Halle (Saale) Hbf,Duisburg Hbf,-28.0,15,4
Duisburg Hbf,Münster (Westf) Hbf,-8.0,16,1
Emden Hbf,Nürnberg Hbf,5.0,12,3
Heide (Holst),Dortmund Hbf,-494.0,50,41
Dortmund Hbf,Itzehoe,540.0,43,36
Itzehoe,Hamburg Hbf,85.0,75,72
Gotha,Frankfurt (Main) Hbf,0.0,2,0
Wiesbaden Hbf,Limburg Süd,-29.0,99,32
Siegburg/Bonn,Köln/Bonn Flughafen,-203.0,145,109
Köln/Bonn Flughafen,Köln Hbf,147.0,42,31
Bremen Hbf,Oberhausen Hbf,-395.0,42,40
Oberhausen Hbf,Münster (Westf) Hbf,289.0,42,39
Solingen Hbf,Düsseldorf Flughafen,73.0,50,42
Friedberg (Hess),Bad Nauheim,313.0,87,62
Hannover Hbf,Köln Hbf,1585.0,113,109
Halle (Saale) Hbf,Berlin Gesundbrunnen,-175.0,35,34
Berlin Gesundbrunnen,Berlin Südkreuz,0.0,1,0
Frankfurt am Main Flughafen Fernbahnhof,Nürnberg Hbf,731.0,87,87
Hamburg Hbf,Essen Hbf,86.0,21,18
Bredstedt,Husum,41.0,51,10
Göttingen,Lüneburg,-519.0,54,44
Celle,Hamburg Hbf,1001.0,58,53
Hamburg-Harburg,Uelzen,14.0,55,7
Köln/Bonn Flughafen,Köln Messe/Deutz,211.0,152,124
Duisburg Hbf,Hagen Hbf,-940.0,104,92
Hagen Hbf,Essen Hbf,595.0,55,43
Koblenz Hbf,Remagen,-122.0,54,10
Bochum Hbf,Köln Messe/Deutz,103.0,54,8
Solingen Hbf,Dortmund Hbf,905.0,151,98
Hamburg Dammtor,Frankfurt am Main Flughafen Fernbahnhof,-81.0,53,10
Frankfurt am Main Flughafen Fernbahnhof,Hamburg-Altona,80.0,54,8
Hamburg-Altona,Frankfurt (Main) Hbf,0.0,54,0
Ribnitz-Damgarten West,Greifswald,48.0,53,15
Prenzlau,Neustrelitz Hbf,-183.0,53,49
Eberswalde Hbf,Bernau (b Berlin),-11.0,53,41
Bernau (b Berlin),Berlin Gesundbrunnen,1.0,30,23
Frankfurt am Main Flughafen Fernbahnhof,Hannover Hbf,52.0,57,1
Hannover Hbf,Hanau Hbf,-62.0,57,1
Wolfsburg Hbf,Bonn Hbf,342.0,53,24
Dortmund Hbf,Frankfurt am Main Flughafen Fernbahnhof,-448.0,45,34
Frankfurt (Main) Hbf,Hagen Hbf,647.0,48,41
München Hbf,Berchtesgaden Hbf,-15.0,4,1
Berchtesgaden Hbf,Bischofswiesen,14.0,41,32
Bischofswiesen,Bayerisch Gmain,22.0,42,33
Bayerisch Gmain,Bad Reichenhall-Kirchberg,0.0,42,25
Bad Reichenhall-Kirchberg,Bad Reichenhall,-10.0,42,34
Bad Reichenhall,Piding,31.0,42,33
Piding,Hammerau,32.0,42,35
Hammerau,Ainring,-22.0,42,30
Ainring,Freilassing,-20.0,42,35
Freilassing,Traunstein,91.0,43,37
Traunstein,Übersee,18.0,43,37
Übersee,Prien am Chiemsee,-25.0,43,36
Prien am Chiemsee,Rosenheim,-19.0,43,30
Rosenheim,München Ost,27.0,43,30
München Ost,München-Pasing,84.0,40,36
Wolfsburg Hbf,Leipzig Hbf,-20.0,55,3
Leipzig Hbf,Braunschweig Hbf,78.0,57,5
Braunschweig Hbf,Eisenach,-76.0,57,5
Eisenach,Hildesheim Hbf,95.0,57,6
Magdeburg Hbf,Magdeburg-Buckau,-42.0,55,18
Magdeburg-Buckau,Helmstedt,88.0,47,18
Braunschweig Hbf,Peine,-24.0,55,27
Peine,Hannover Hbf,41.0,47,30
Oldenburg (Oldb) Hbf,Osnabrück Hbf,-257.0,54,50
Osnabrück Hbf,Bad Zwischenahn,302.0,54,45
Heidelberg Hbf,Frankfurt am Main Flughafen Fernbahnhof,348.0,54,47
Frankfurt (Main) Hbf,Eisenach,-572.0,55,49
Weimar,Naumburg (Saale) Hbf,177.0,52,7
Naumburg (Saale) Hbf,Halle (Saale) Hbf,671.0,50,38
Berlin Ostbahnhof,Berlin Südkreuz,62.0,51,23
Kassel-Wilhelmshöhe,Leipzig Hbf,-39.0,57,7
Halle (Saale) Hbf,Eisenach,-91.0,57,27
Magdeburg Hbf,Berlin Hbf,-231.0,51,46
Berlin Gesundbrunnen,Stendal Hbf,110.0,51,45
Chemnitz Hbf,Freiberg (Sachs),1.0,48,10
Hude,Osnabrück Hbf,-101.0,50,40
Osnabrück Hbf,Delmenhorst,129.0,50,45
Nienburg (Weser),Wolfsburg Hbf,-243.0,49,43
Hannover Hbf,Stendal Hbf,-213.0,51,44
Stendal Hbf,Braunschweig Hbf,204.0,51,35
Brandenburg Hbf,Berlin-Spandau,-131.0,50,29
Berlin-Spandau,Potsdam Hbf,159.0,48,26
Potsdam Hbf,Berlin Gesundbrunnen,-62.0,49,30
Berlin Gesundbrunnen,Berlin-Wannsee,175.0,33,25
Bonn-Beuel,Koblenz Hbf,1197.0,84,43
Delmenhorst,Osnabrück Hbf,-41.0,34,20
Saarbrücken Hbf,Homburg (Saar) Hbf,-13.0,50,26
Homburg (Saar) Hbf,Kaiserslautern Hbf,-5.0,50,31
Kaiserslautern Hbf,Neustadt (Weinstr) Hbf,-30.0,50,28
Neustadt (Weinstr) Hbf,Mannheim Hbf,84.0,50,37
Erfurt Hbf,Berlin Gesundbrunnen,-944.0,56,47
Berlin Ostbahnhof,Leipzig Hbf,-40.0,53,4
Leipzig Hbf,Berlin-Spandau,88.0,96,7
Berlin-Spandau,Halle (Saale) Hbf,862.0,53,51
Ulm Hbf,Neu-Ulm,-28.0,41,28
Neu-Ulm,Günzburg,25.0,44,34
Frankfurt am Main Flughafen Fernbahnhof,Wiesbaden Hbf,-649.0,55,55
Hamburg Dammtor,Neumünster,114.0,53,39
Neumünster,Kiel Hbf,22.0,107,38
Erfurt Hbf,Frankfurt (Main) Hbf,1349.0,45,37
Mannheim Hbf,Neustadt (Weinstr) Hbf,-11.0,98,80
Neustadt (Weinstr) Hbf,Kaiserslautern Hbf,3.0,98,78
Kaiserslautern Hbf,Homburg (Saar) Hbf,103.0,98,85
Homburg (Saar) Hbf,Saarbrücken Hbf,-207.0,99,83
Bamberg,Leipzig Hbf,-265.0,57,40
Hamburg-Altona,Neumünster,-94.0,47,9
Wuppertal Hbf,Köln Messe/Deutz,-1908.0,94,86
Bonn-Beuel,Düsseldorf Hbf,88.0,46,4
Hagen Hbf,Köln Messe/Deutz,-2093.0,113,111
Bonn Hbf,Bonn-Beuel,-1105.0,51,41
Nürnberg Hbf,Coburg,374.0,49,49
Berlin Südkreuz,Erfurt Hbf,-650.0,107,96
Halle (Saale) Hbf,Nürnberg Hbf,1161.0,58,57
Schwäbisch Gmünd,Schorndorf,-46.0,51,48
Schorndorf,Stuttgart Hbf,138.0,51,51
Pforzheim Hbf,Karlsruhe-Durlach,187.0,51,42
Karlsruhe Hbf,Frankfurt am Main Flughafen Fernbahnhof,21.0,22,5
Frankfurt am Main Flughafen Fernbahnhof,Fulda,-20.0,22,5
Fulda,Duisburg Hbf,2.0,23,4
Duisburg Hbf,Erlangen,1.0,23,3
Erfurt Hbf,Dortmund Hbf,-10.0,23,2
Dortmund Hbf,Leipzig Hbf,17.0,23,2
Berlin Südkreuz,Limburg Süd,-28.0,22,4
Siegburg/Bonn,Hamburg Dammtor,1.0,22,4
Hamburg-Altona,Bruchsal,0.0,21,0
Bruchsal,Berlin Ostbahnhof,-1.0,21,1
Berlin Ostbahnhof,Vaihingen (Enz),-9.0,22,2
Wiesloch-Walldorf,Frankfurt (Main) Hbf,5.0,17,2
Frankfurt (Main) Hbf,Heidelberg Hbf,-68.0,21,4
Wiesbaden Hbf,Berlin Hbf,42.0,20,3
Berlin-Spandau,Stuttgart Hbf,-15.0,20,2
Stuttgart Hbf,Osnabrück Hbf,6.0,23,4
Aachen Hbf,Ulm Hbf,28.0,21,1
Nürnberg Hbf,Kassel-Wilhelmshöhe,16.0,19,5
Berlin-Spandau,Hannover-Messe / Laatzen,60.0,27,2
Hannover-Messe / Laatzen,Göttingen,248.0,84,27
Göttingen,Halle (Saale) Hbf,22.0,27,5
Erfurt Hbf,Mannheim Hbf,-305.0,27,22
Mannheim Hbf,Bad Hersfeld,221.0,27,19
Fulda,Heidelberg Hbf,-508.0,27,26
Wiesloch-Walldorf,Darmstadt Hbf,-157.0,27,12
Darmstadt Hbf,Neu-Edingen/Friedrichsfeld,2.0,27,7
Offenburg,Müllheim (Baden),-123.0,27,26
Recklinghausen Hbf,Wanne-Eickel Hbf,46.0,148,66
Wanne-Eickel Hbf,Gelsenkirchen Hbf,-143.0,200,84
Oberhausen Hbf,Köln Messe/Deutz,-106.0,49,16
Bonn-Beuel,Oberhausen Hbf,124.0,48,19
Bonn Hbf,Bingen (Rhein) Hbf,-415.0,44,32
Donaueschingen,Immendingen,0.0,49,6
Immendingen,Singen (Hohentwiel),-20.0,49,6
Konstanz,Remagen,452.0,33,25
Stendal Hbf,Hannover Hbf,160.0,55,53
Hannover Hbf,Bünde (Westf),106.0,56,56
Bünde (Westf),Osnabrück Hbf,70.0,56,54
Karlsruhe Hbf,Karlsruhe-Durlach,-1.0,32,2
Karlsruhe-Durlach,Bruchsal,2.0,47,3
Heidelberg Hbf,Neu-Edingen/Friedrichsfeld,-1.0,47,1
Neu-Edingen/Friedrichsfeld,Bensheim,8.0,47,3
Lüneburg,Ludwigslust,-12.0,42,4
Ludwigslust,Hamburg-Harburg,16.0,42,6
Hamburg Hbf,Schwerin Hbf,210.0,101,60
Frankfurt (Main) Hbf,Greifswald,51.0,46,5
Greifswald,Friedberg (Hess),1.0,37,1
Treysa,Göttingen,-8.0,47,1
Uelzen,Bad Bevensen,0.0,47,0
Bad Bevensen,Lüneburg,0.0,47,0
Hannover Hbf,Hamburg Hbf,0.0,25,0
Hagen Hbf,Bielefeld Hbf,353.0,266,265
Minden (Westf),Berlin Zoologischer Garten,-516.0,57,43
Berlin Zoologischer Garten,Hannover Hbf,835.0,55,48
Nürnberg Hbf,Frankfurt am Main Flughafen Fernbahnhof,231.0,39,39
Lüneburg,Kassel-Wilhelmshöhe,86.0,14,8
Wiesbaden Hbf,Hannover Hbf,192.0,9,6
Köln Messe/Deutz,Hagen Hbf,-637.0,54,54
Hagen Hbf,Köln Hbf,-77.0,56,5
Rosenheim,Prien am Chiemsee,0.0,44,0
Prien am Chiemsee,Traunstein,0.0,45,0
Traunstein,Freilassing,0.0,12,0
Aachen Hbf,Düren,-83.0,86,66
Düren,Köln Hbf,15.0,44,33
Bochum Hbf,Solingen Hbf,-493.0,96,79
Herford,Hannover Hbf,-12.0,104,89
Münster (Westf) Hbf,Köln Messe/Deutz,-151.0,50,31
Bonn-Beuel,Recklinghausen Hbf,145.0,50,25
Oberhausen Hbf,Bonn Hbf,-260.0,50,27
Koblenz Hbf,Duisburg Hbf,248.0,38,24
Berlin Hbf,Leipzig Hbf,-112.0,48,38
Halle (Saale) Hbf,Bamberg,-38.0,48,4
Erlangen,Berlin Südkreuz,75.0,45,19
Nürnberg Hbf,Weilheim (Oberbay),-214.0,47,40
Weilheim (Oberbay),Murnau,0.0,47,5
Murnau,Garmisch-Partenkirchen,-13.0,46,5
Garmisch-Partenkirchen,München Hbf,140.0,29,26
Nürnberg Hbf,Regensburg Hbf,-61.0,47,46
Regensburg Hbf,Plattling,-71.0,93,75
Plattling,Passau Hbf,-185.0,93,72
Rostock Hbf,Waren (Müritz),-22.0,52,30
Stuttgart Hbf,Herrenberg,71.0,20,20
Hannover Hbf,Lüneburg,-812.0,105,90
Coburg,Bamberg,-4.0,18,18
Minden (Westf),Herford,-201.0,97,74
Dortmund Hbf,Essen Hbf,10.0,51,4
Duisburg Hbf,Limburg Süd,-19.0,55,7
Limburg Süd,Esslingen (Neckar),-20.0,55,3
Esslingen (Neckar),Düsseldorf Hbf,21.0,8,5
Mannheim Hbf,Köln Messe/Deutz,-39.0,57,14
Köln Messe/Deutz,Mainz Hbf,138.0,54,13
Frankfurt am Main Flughafen Fernbahnhof,Montabaur,-969.0,100,94
Gelsenkirchen Hbf,Hagen Hbf,127.0,57,10
Wuppertal Hbf,Dortmund Hbf,831.0,57,56
Berlin-Wannsee,Berlin Gesundbrunnen,-35.0,34,24
Heide (Holst),Hamburg-Altona,-642.0,53,40
Itzehoe,Hamburg-Harburg,-670.0,53,41
Bremen Hbf,Dortmund Hbf,-988.0,51,49
Dortmund Hbf,Osnabrück Hbf,812.0,46,40
Tuttlingen,Rottweil,7.0,48,23
Mülheim (Ruhr) Hbf,Köln Messe/Deutz,-269.0,56,34
Solingen Hbf,Bonn-Beuel,-42.0,55,14
Bonn-Beuel,Köln Hbf,404.0,55,51
Stuttgart Hbf,Plochingen,-71.0,50,49
Plochingen,Göppingen,-28.0,52,50
Göppingen,Ulm Hbf,-100.0,52,47
Ulm Hbf,Memmingen,479.0,51,49
Memmingen,Kempten (Allgäu) Hbf,196.0,51,49
Nürnberg Hbf,Hannover Hbf,-52.0,7,6
Neumünster,Uelzen,131.0,53,26
Uelzen,Hamburg Dammtor,-118.0,53,25
Hamburg Dammtor,Celle,93.0,53,17
Kassel-Wilhelmshöhe,Heidelberg Hbf,-424.0,58,30
Heidelberg Hbf,Frankfurt (Main) Hbf,421.0,58,35
Frankfurt (Main) Hbf,Esslingen (Neckar),-44.0,40,10
Recklinghausen Hbf,Oberhausen Hbf,216.0,46,37
Oberhausen Hbf,Wanne-Eickel Hbf,-170.0,45,35
Frankfurt (Main) Hbf,Bonn Hbf,-316.0,40,40
Aschaffenburg Hbf,Regensburg Hbf,-606.0,42,42
Passau Hbf,Würzburg Hbf,512.0,11,11
Lüneburg,Bad Bevensen,-479.0,58,51
Bad Bevensen,Uelzen,313.0,58,35
Mannheim Hbf,Esslingen (Neckar),-697.0,55,55
Bremen Hbf,Diepholz,72.0,114,91
Diepholz,Osnabrück Hbf,-54.0,114,97
Bochum Hbf,Duisburg Hbf,0.0,14,0
Karlsruhe Hbf,Freiburg (Breisgau) Hbf,155.0,59,57
Hamburg-Harburg,Hannover-Messe / Laatzen,-68.0,105,15
Papenburg (Ems),Esslingen (Neckar),30.0,57,6
Esslingen (Neckar),Meppen,-40.0,57,7
Münster (Westf) Hbf,Oberhausen Hbf,-7.0,57,6
Oberhausen Hbf,Recklinghausen Hbf,1.0,57,4
Gelsenkirchen Hbf,Dortmund Hbf,-13.0,12,3
Westerland (Sylt),Keitum,-31.0,48,29
Keitum,Klanxbüll,51.0,47,31
Klanxbüll,Niebüll,-88.0,48,33
Ludwigslust,Berlin Hbf,-187.0,48,45
Bruchsal,Esslingen (Neckar),-94.0,57,47
Berlin Hbf,Ludwigslust,-166.0,56,56
Berlin Hbf,Halle (Saale) Hbf,-172.0,40,40
Gotha,Fulda,217.0,40,38
Berlin Ostbahnhof,Köln Hbf,0.0,0,0
Frankfurt (Main) Hbf,Bad Nauheim,37.0,43,14
Dillenburg,Frankfurt (Main) West,-62.0,39,23
Köln Hbf,Remagen,39.0,53,20
Andernach,Bonn-Beuel,352.0,52,45
Hannover Hbf,Hannover-Messe / Laatzen,-334.0,57,36
Werdohl,Hagen Hbf,-504.0,44,38
Hagen Hbf,Altena (Westf),508.0,44,40
Wabern (Bz Kassel),Celle,-82.0,12,8
Hamburg Hbf,Kassel-Wilhelmshöhe,102.0,10,7
Lüneburg,Hamburg Hbf,0.0,9,0
Stralsund Hbf,Hamburg-Harburg,0.0,9,0
Elsterwerda,Berlin Hbf,11.0,24,8
Berlin Hbf,Neustrelitz Hbf,-527.0,57,57
Neustrelitz Hbf,Berlin Gesundbrunnen,511.0,57,56
Düren,Düsseldorf Hbf,-90.0,51,34
Bruchsal,Pforzheim Hbf,33.0,45,20
Stuttgart Hbf,Schorndorf,79.0,54,53
Oberhausen Hbf,Düsseldorf Hbf,23.0,56,13
Wiesloch-Walldorf,Vaihingen (Enz),-4.0,1,1
Limburg Süd,Düsseldorf Hbf,62.0,47,3
Solingen Hbf,Hamm (Westf) Hbf,-615.0,45,44
Hamm (Westf) Hbf,Wuppertal Hbf,587.0,46,44
Hagen Hbf,Oberhausen Hbf,-58.0,49,7
Oberhausen Hbf,Essen Hbf,404.0,48,35
Hamburg-Harburg,Emden Hbf,-1014.0,47,41
Rheine,Hamburg Hbf,1123.0,49,45
Garmisch-Partenkirchen,Murnau,4.0,56,4
Murnau,Weilheim (Oberbay),1.0,56,6
Weilheim (Oberbay),Halle (Saale) Hbf,83.0,56,8
Halle (Saale) Hbf,München Hbf,23.0,8,6
Erfurt Hbf,Berlin Südkreuz,1001.0,57,56
Bochum Hbf,Wuppertal Hbf,-195.0,56,48
Wuppertal Hbf,Essen Hbf,195.0,57,35
Würzburg Hbf,Frankfurt (Main) Hbf,396.0,58,35
Dortmund Hbf,Düsseldorf Hbf,-181.0,57,9
Berlin Südkreuz,Naumburg (Saale) Hbf,-502.0,51,47
Naumburg (Saale) Hbf,Kassel-Wilhelmshöhe,-29.0,54,7
Eisenach,Jena Paradies,-155.0,52,6
Jena Paradies,Bitterfeld,873.0,51,36
Bitterfeld,Esslingen (Neckar),-932.0,51,38
Esslingen (Neckar),Leipzig Hbf,872.0,50,34
Stuttgart Hbf,Neu-Ulm,-627.0,37,31
Neu-Ulm,Ulm Hbf,587.0,38,34
Rostock Hbf,Berlin Gesundbrunnen,-123.0,56,41
Wolfsburg Hbf,Köthen,-15.0,44,3
Köthen,Berlin Ostbahnhof,0.0,20,0
