name,federalState,latitude,longitude,type,segment,platforms,stationManagement,controlCenter,operator,operatorShort,regionalSector,delay,pureDelayNum,punctuality,pureDelay,handledTrains
Würzburg Hbf,Bayern,49.801796,9.93578,Knotenbahnhof,Großstadtknoten,11.0,Nordfranken,Würzburg Hbf,bayerische-eisenbahngesellschaft-mbh,BEG,RB Süd,0.19725,3830,0.22517,0.25457,4943
München Hbf,Bayern,48.140232,11.558335,Metropolbahnhof,Metropolbahnhof,34.0,München,München Hbf,bayerische-eisenbahngesellschaft-mbh,BEG,RB Süd,-4.80074,8122,0.33317,-7.19934,12180
München Ost,Bayern,48.12744,11.604971,Knotenbahnhof,Großstadtknoten,12.0,München,München Hbf,bayerische-eisenbahngesellschaft-mbh,BEG,RB Süd,0.07592,61,0.84031,0.47541,382
Münster (Westf) Hbf,Nordrhein-Westfalen,51.956566,7.635715,Knotenbahnhof,Großstadtknoten,9.0,Münster (Westf),Essen Hbf,zweckverband-nahverkehr-westfalen-lippe,NWL,RB West,-0.44996,3281,0.22745,-0.58244,4247
Wuppertal Hbf,Nordrhein-Westfalen,51.254363,7.149543,Knotenbahnhof,Großstadtknoten,5.0,Düsseldorf,Düsseldorf Hbf,zweckverband-verkehrsverbund-rhein-ruhr-aor,VRR,RB West,-0.01521,3255,0.37344,-0.02427,5195
Neumünster,Schleswig-Holstein,54.075752,9.979816,Knotenbahnhof,Regionaler Knoten,6.0,Schleswig-Holstein,Kiel Hbf,nahverkehrsverbund-schleswig-holstein-gmbh,NAH.SH,RB Nord,-0.29614,158,0.66094,-0.87342,466
Neuss Hbf,Nordrhein-Westfalen,51.204351,6.684527,Knotenbahnhof,Großstadtknoten,8.0,Düsseldorf,Duisburg Hbf,zweckverband-verkehrsverbund-rhein-ruhr-aor,VRR,RB West,-0.23333,43,0.28333,-0.32558,60
Neustadt (Weinstr) Hbf,Rheinland-Pfalz,49.349553,8.140757,Knotenbahnhof,Regionaler Knoten,6.0,Kaiserslautern,Saarbrücken Hbf,zweckverband-schienenpersonennahverkehr-rheinland-pfalz-sud,ZPNV Süd,RB Mitte,0.05628,119,0.48485,0.10924,231
Nienburg (Weser),Niedersachsen,52.645566,9.217753,Knotenbahnhof,Regionaler Knoten,6.0,Hannover,Hannover Hbf,landesnahverkehrsgesellschaft-niedersachsen-mbh,LNVG,RB Nord,-0.26473,858,0.24538,-0.35082,1137
Nürnberg Hbf,Bayern,49.445616,11.082989,Metropolbahnhof,Metropolbahnhof,21.0,Nürnberg,Nürnberg Hbf,bayerische-eisenbahngesellschaft-mbh,BEG,RB Süd,-0.26093,7689,0.17641,-0.31682,9336
Oberhausen Hbf,Nordrhein-Westfalen,51.474878,6.851588,Knotenbahnhof,Großstadtknoten,10.0,Duisburg,Duisburg Hbf,zweckverband-verkehrsverbund-rhein-ruhr-aor,VRR,RB West,-0.1623,828,0.62568,-0.43357,2212
Offenburg,Baden-Württemberg,48.476475,7.946723,Knotenbahnhof,Regionaler Knoten,7.0,Freiburg,Freiburg (Breisgau) Hbf,nahverkehrsgesellschaft-baden-wurttemberg-mbh,NVBW,RB Südwest,-0.13738,77,0.75399,-0.55844,313
Oldenburg (Oldb) Hbf,Niedersachsen,53.144323,8.222713,Knotenbahnhof,Großstadtknoten,7.0,Bremen / Osnabrück,Bremen Hbf,landesnahverkehrsgesellschaft-niedersachsen-mbh,LNVG,RB Nord,-2.05694,1039,0.1668,-2.46872,1247
Osnabrück Hbf,Niedersachsen,52.272851,8.061781,Knotenbahnhof,Großstadtknoten,9.0,Bremen / Osnabrück,Bremen Hbf,landesnahverkehrsgesellschaft-niedersachsen-mbh,LNVG,RB Nord,0.32777,1911,0.24076,0.43171,2517
Paderborn Hbf,Nordrhein-Westfalen,51.712979,8.740505,Knotenbahnhof,Regionaler Knoten,6.0,Bielefeld,Dortmund Hbf,zweckverband-nahverkehr-westfalen-lippe,NWL,RB West,-0.37584,282,0.05369,-0.39716,298
Passau Hbf,Bayern,48.573632,13.450776,Knotenbahnhof,Regionaler Knoten,7.0,Regensburg,Nürnberg Hbf,bayerische-eisenbahngesellschaft-mbh,BEG,RB Süd,-8.72803,108,0.54812,-19.31481,239
Pforzheim Hbf,Baden-Württemberg,48.894152,8.703099,Knotenbahnhof,Großstadtknoten,9.0,Karlsruhe,Mannheim Hbf,nahverkehrsgesellschaft-baden-wurttemberg-mbh,NVBW,RB Südwest,-0.05508,283,0.70021,-0.18375,944
Plattling,Bayern,48.779619,12.86394,Knotenbahnhof,Regionaler Knoten,7.0,Regensburg,Nürnberg Hbf,bayerische-eisenbahngesellschaft-mbh,BEG,RB Süd,0.20084,104,0.56485,0.46154,239
Plochingen,Baden-Württemberg,48.71308,9.41081,Knotenbahnhof,Regionaler Knoten,8.0,Stuttgart,Stuttgart Hbf,nahverkehrsgesellschaft-baden-wurttemberg-mbh,NVBW,RB Südwest,-0.144,91,0.272,-0.1978,125
Recklinghausen Hbf,Nordrhein-Westfalen,51.616359,7.20349,Knotenbahnhof,Großstadtknoten,3.0,Münster (Westf),Essen Hbf,zweckverband-verkehrsverbund-rhein-ruhr-aor,VRR,RB West,0.13145,691,0.49818,0.26194,1377
Regensburg Hbf,Bayern,49.011672,12.099617,Knotenbahnhof,Großstadtknoten,8.0,Regensburg,Nürnberg Hbf,bayerische-eisenbahngesellschaft-mbh,BEG,RB Süd,0.67782,151,0.3682,1.07285,239
Remagen,Rheinland-Pfalz,50.577215,7.229779,Knotenbahnhof,Regionaler Knoten,5.0,Koblenz,Mainz Hbf,zweckverband-schienenpersonennahverkehr-rheinland-pfalz-nord,ZVRP Nord,RB Mitte,-0.00738,520,0.57342,-0.01731,1219
Reutlingen Hbf,Baden-Württemberg,48.496079,9.209116,Knotenbahnhof,Regionaler Knoten,3.0,Friedrichshafen,Stuttgart Hbf,nahverkehrsgesellschaft-baden-wurttemberg-mbh,NVBW,RB Südwest,0.23077,38,0.41538,0.39474,65
Rheine,Nordrhein-Westfalen,52.276299,7.434255,Knotenbahnhof,Regionaler Knoten,6.0,Münster (Westf),Essen Hbf,zweckverband-nahverkehr-westfalen-lippe,NWL,RB West,-0.11228,634,0.39155,-0.18454,1042
Rheydt Hbf,Nordrhein-Westfalen,51.163027,6.439564,Knotenbahnhof,Regionaler Knoten,4.0,Düsseldorf,Duisburg Hbf,zweckverband-verkehrsverbund-rhein-ruhr-aor,VRR,RB West,-0.02193,90,0.60526,-0.05556,228
Rosenheim,Bayern,47.850018,12.119202,Knotenbahnhof,Regionaler Knoten,8.0,Rosenheim,München Hbf,bayerische-eisenbahngesellschaft-mbh,BEG,RB Süd,0.01843,88,0.79724,0.09091,434
Rottweil,Baden-Württemberg,48.165304,8.639295,Knotenbahnhof,Regionaler Knoten,6.0,Freiburg,Freiburg (Breisgau) Hbf,nahverkehrsgesellschaft-baden-wurttemberg-mbh,NVBW,RB Südwest,-0.99017,260,0.36118,-1.55,407
Saarbrücken Hbf,Saarland,49.241065,6.991021,Knotenbahnhof,Großstadtknoten,10.0,Saarbrücken,Saarbrücken Hbf,zweckverband-personennahverkehr-saarland,ZPS,RB Mitte,-1.35417,99,0.65625,-3.93939,288
Schwäbisch Gmünd,Baden-Württemberg,48.801011,9.787795,Knotenbahnhof,Regionaler Knoten,3.0,Ulm,Stuttgart Hbf,nahverkehrsgesellschaft-baden-wurttemberg-mbh,NVBW,RB Südwest,0.17566,793,0.16085,0.20933,945
Andernach,Rheinland-Pfalz,50.434542,7.404839,Knotenbahnhof,Regionaler Knoten,4.0,Koblenz,Mainz Hbf,zweckverband-schienenpersonennahverkehr-rheinland-pfalz-nord,ZVRP Nord,RB Mitte,-0.1588,483,0.56171,-0.36232,1102
Hausach,Baden-Württemberg,48.284924,8.181665,Zubringerbahnhof,Regionaler Zubringer,3.0,Freiburg,Freiburg (Breisgau) Hbf,nahverkehrsgesellschaft-baden-wurttemberg-mbh,NVBW,RB Südwest,-0.01156,28,0.83815,-0.07143,173
Marburg (Lahn),Hessen,50.819272,8.775014,Knotenbahnhof,Regionaler Knoten,6.0,Gießen,Kassel-Wilhelmshöhe,rhein-main-verkehrsverbund-gmbh,RMV,RB Mitte,0.12108,87,0.86996,0.93103,669
Mühlacker,Baden-Württemberg,48.953192,8.846101,Knotenbahnhof,Regionaler Knoten,5.0,Karlsruhe,Mannheim Hbf,nahverkehrsgesellschaft-baden-wurttemberg-mbh,NVBW,RB Südwest,-0.18059,237,0.73251,-0.67511,886
Villingen (Schwarzw),Baden-Württemberg,48.058022,8.465261,Knotenbahnhof,Regionaler Knoten,4.0,Freiburg,Freiburg (Breisgau) Hbf,nahverkehrsgesellschaft-baden-wurttemberg-mbh,NVBW,RB Südwest,0.02312,20,0.88439,0.2,173
Wabern (Bz Kassel),Hessen,51.103134,9.35804,Zubringerbahnhof,Regionaler Zubringer,5.0,Kassel,Kassel-Wilhelmshöhe,nordhessischer-verkehrsverbund-mbh,NVV,RB Mitte,0.07466,61,0.88016,0.62295,509
Wetzlar,Hessen,50.565631,8.503819,Knotenbahnhof,Regionaler Knoten,5.0,Gießen,Kassel-Wilhelmshöhe,rhein-main-verkehrsverbund-gmbh,RMV,RB Mitte,0.19455,569,0.29492,0.27592,807
Ainring,Bayern,47.815033,12.964501,Zubringerbahnhof,ländlicher Zubringer,1.0,Rosenheim,München Hbf,bayerische-eisenbahngesellschaft-mbh,BEG,RB Süd,1.53333,52,0.13333,1.76923,60
Altena (Westf),Nordrhein-Westfalen,51.301981,7.668808,Zubringerbahnhof,ländlicher Zubringer,2.0,Hagen,Düsseldorf Hbf,zweckverband-nahverkehr-westfalen-lippe,NWL,RB West,0.01203,447,0.23196,0.01566,582
Hude,Niedersachsen,53.109429,8.460956,Knotenbahnhof,Regionaler Knoten,4.0,Bremen / Osnabrück,Bremen Hbf,landesnahverkehrsgesellschaft-niedersachsen-mbh,LNVG,RB Nord,0.06691,865,0.1961,0.08324,1076
Lennestadt-Altenhundem,Nordrhein-Westfalen,51.104132,8.071517,Zubringerbahnhof,Regionaler Zubringer,3.0,Hagen,Düsseldorf Hbf,zweckverband-nahverkehr-westfalen-lippe,NWL,RB West,0.20222,584,0.2799,0.28082,811
Lippstadt,Nordrhein-Westfalen,51.670687,8.348785,Knotenbahnhof,Regionaler Knoten,3.0,Dortmund,Dortmund Hbf,zweckverband-nahverkehr-westfalen-lippe,NWL,RB West,-0.18456,276,0.07383,-0.19928,298
Neu-Edingen/Friedrichsfeld,Baden-Württemberg,49.44867,8.580125,Zubringerbahnhof,Regionaler Zubringer,5.0,Mannheim,Mannheim Hbf,nahverkehrsgesellschaft-baden-wurttemberg-mbh,NVBW,RB Südwest,0.0303,7,0.95758,0.71429,165
Augustfehn,Niedersachsen,53.22089,7.759659,Zubringerbahnhof,ländlicher Zubringer,2.0,Bremen / Osnabrück,Bremen Hbf,landesnahverkehrsgesellschaft-niedersachsen-mbh,LNVG,RB Nord,0.579,856,0.20446,0.7278,1076
Montabaur,Rheinland-Pfalz,50.444834,7.825333,Knotenbahnhof,Regionaler Knoten,5.0,Koblenz,Mainz Hbf,zweckverband-schienenpersonennahverkehr-rheinland-pfalz-nord,ZVRP Nord,RB Mitte,0.38704,887,0.63164,1.05073,2408
Bad Nauheim,Hessen,50.367904,8.749334,Knotenbahnhof,Regionaler Knoten,3.0,Gießen,Kassel-Wilhelmshöhe,rhein-main-verkehrsverbund-gmbh,RMV,RB Mitte,-0.28253,523,0.35192,-0.43595,807
Bad Oeynhausen,Nordrhein-Westfalen,52.205398,8.796523,Knotenbahnhof,Regionaler Knoten,3.0,Bielefeld,Dortmund Hbf,zweckverband-nahverkehr-westfalen-lippe,NWL,RB West,0.39744,580,0.25641,0.53448,780
Bad Reichenhall,Bayern,47.731168,12.881825,Zubringerbahnhof,Regionaler Zubringer,2.0,Rosenheim,München Hbf,bayerische-eisenbahngesellschaft-mbh,BEG,RB Süd,-0.58333,46,0.23333,-0.76087,60
Bad Reichenhall-Kirchberg,Bayern,47.718538,12.874001,Zubringerbahnhof,ländlicher Zubringer,1.0,Rosenheim,München Hbf,bayerische-eisenbahngesellschaft-mbh,BEG,RB Süd,0.76667,52,0.13333,0.88462,60
Bad Zwischenahn,Niedersachsen,53.182547,8.003123,Zubringerbahnhof,Regionaler Zubringer,2.0,Bremen / Osnabrück,Bremen Hbf,landesnahverkehrsgesellschaft-niedersachsen-mbh,LNVG,RB Nord,0.52602,879,0.18309,0.64391,1076
Baden-Baden,Baden-Württemberg,48.790327,8.190831,Knotenbahnhof,Regionaler Knoten,5.0,Karlsruhe,Mannheim Hbf,nahverkehrsgesellschaft-baden-wurttemberg-mbh,NVBW,RB Südwest,-0.39167,114,0.68333,-1.23684,360
Norden,Niedersachsen,53.588196,7.218913,Zubringerbahnhof,ländlicher Zubringer,2.0,Bremen / Osnabrück,Bremen Hbf,landesnahverkehrsgesellschaft-niedersachsen-mbh,LNVG,RB Nord,0.202,615,0.4404,0.36098,1099
Bayerisch Gmain,Bayern,47.720375,12.89507,Zubringerbahnhof,ländlicher Zubringer,1.0,Rosenheim,München Hbf,bayerische-eisenbahngesellschaft-mbh,BEG,RB Süd,-0.51667,48,0.2,-0.64583,60
Radolfzell,Baden-Württemberg,47.735873,8.968984,Knotenbahnhof,Regionaler Knoten,6.0,Friedrichshafen,Stuttgart Hbf,nahverkehrsgesellschaft-baden-wurttemberg-mbh,NVBW,RB Südwest,-0.03008,53,0.86717,-0.22642,399
Berchtesgaden Hbf,Bayern,47.626688,12.999058,Zubringerbahnhof,ländlicher Zubringer,3.0,Rosenheim,München Hbf,bayerische-eisenbahngesellschaft-mbh,BEG,RB Süd,0.86667,46,0.23333,1.13043,60
Bad Bevensen,Niedersachsen,53.078247,10.574141,Zubringerbahnhof,Regionaler Zubringer,2.0,Braunschweig / Göttingen,Hannover Hbf,landesnahverkehrsgesellschaft-niedersachsen-mbh,LNVG,RB Nord,-0.01639,16,0.91257,-0.1875,183
Biberach (Riß),Baden-Württemberg,48.101845,9.793127,Knotenbahnhof,Regionaler Knoten,3.0,Ulm,Stuttgart Hbf,nahverkehrsgesellschaft-baden-wurttemberg-mbh,NVBW,RB Südwest,0.0,0,1.0,,60
Bischofswiesen,Bayern,47.65189,12.960141,Zubringerbahnhof,ländlicher Zubringer,2.0,Rosenheim,München Hbf,bayerische-eisenbahngesellschaft-mbh,BEG,RB Süd,-0.1,45,0.25,-0.13333,60
Böblingen,Baden-Württemberg,48.687758,9.004128,Knotenbahnhof,Regionaler Knoten,5.0,Stuttgart,Stuttgart Hbf,nahverkehrsgesellschaft-baden-wurttemberg-mbh,NVBW,RB Südwest,0.15976,155,0.54142,0.34839,338
Bondorf (b Herrenberg),Baden-Württemberg,48.523552,8.827662,Knotenbahnhof,Regionaler Knoten,3.0,Karlsruhe,Mannheim Hbf,nahverkehrsgesellschaft-baden-wurttemberg-mbh,NVBW,RB Südwest,0.08876,161,0.52367,0.18634,338
Bonn-Beuel,Nordrhein-Westfalen,50.738476,7.127657,Knotenbahnhof,Regionaler Knoten,3.0,Köln,Köln Hbf,zweckverband-nahverkehr-rheinland-gmbh,NVR,RB West,-0.00163,132,0.89251,-0.01515,1228
Bredstedt,Schleswig-Holstein,54.621166,8.970336,Zubringerbahnhof,ländlicher Zubringer,2.0,Schleswig-Holstein,Kiel Hbf,nahverkehrsverbund-schleswig-holstein-gmbh,NAH.SH,RB Nord,0.97315,61,0.7953,4.7541,298
Bremerhaven-Lehe,Bremen,53.566324,8.600657,Zubringerbahnhof,Regionaler Zubringer,2.0,Bremen / Osnabrück,Bremen Hbf,senat-fur-umwelt-bau-verkehr-und-europa-bremen,SUBV,RB Nord,-2.50476,51,0.51429,-5.15686,105
Coburg,Bayern,50.2629273,10.9573281,Knotenbahnhof,Regionaler Knoten,5.0,Nordfranken,Nürnberg Hbf,bayerische-eisenbahngesellschaft-mbh,BEG,RB Süd,-0.46528,251,0.12847,-0.53386,288
Diepholz,Niedersachsen,52.604771,8.380334,Zubringerbahnhof,Regionaler Zubringer,3.0,Bremen / Osnabrück,Bremen Hbf,landesnahverkehrsgesellschaft-niedersachsen-mbh,LNVG,RB Nord,0.05333,134,0.40444,0.08955,225
Ellwangen,Baden-Württemberg,48.964121,10.129681,Zubringerbahnhof,Regionaler Zubringer,3.0,Ulm,Stuttgart Hbf,nahverkehrsgesellschaft-baden-wurttemberg-mbh,NVBW,RB Südwest,0.67831,816,0.13651,0.78554,945
Emden Hbf,Niedersachsen,53.369036,7.195176,Knotenbahnhof,Regionaler Knoten,5.0,Bremen / Osnabrück,Bremen Hbf,landesnahverkehrsgesellschaft-niedersachsen-mbh,LNVG,RB Nord,-2.10744,1388,0.36272,-3.30692,2178
Engen,Baden-Württemberg,47.856347,8.772786,Knotenbahnhof,Regionaler Knoten,3.0,Friedrichshafen,Stuttgart Hbf,nahverkehrsgesellschaft-baden-wurttemberg-mbh,NVBW,RB Südwest,0.05682,169,0.51989,0.11834,352
Erkelenz,Nordrhein-Westfalen,51.076564,6.32172,Zubringerbahnhof,Regionaler Zubringer,2.0,Düsseldorf,Duisburg Hbf,zweckverband-nahverkehr-rheinland-gmbh,NVR,RB West,-0.2193,80,0.64912,-0.625,228
Erlangen,Bayern,49.5958303,11.0016382,Knotenbahnhof,Großstadtknoten,4.0,Nürnberg,Nürnberg Hbf,bayerische-eisenbahngesellschaft-mbh,BEG,RB Süd,0.29918,1445,0.25592,0.40208,1942
Esslingen (Neckar),Baden-Württemberg,48.73881,9.30008,Knotenbahnhof,Regionaler Knoten,6.0,Stuttgart,Stuttgart Hbf,nahverkehrsgesellschaft-baden-wurttemberg-mbh,NVBW,RB Südwest,0.0809,85,0.96002,2.02353,2126
Fischen,Bayern,47.456591,10.271717,Zubringerbahnhof,ländlicher Zubringer,2.0,Augsburg,München Hbf,bayerische-eisenbahngesellschaft-mbh,BEG,RB Süd,-0.02917,223,0.07083,-0.03139,240
Frankfurt (Main) West,Hessen,50.118864,8.639335,Knotenbahnhof,Großstadtknoten,5.0,Frankfurt a. M.,Frankfurt (Main) Hbf,rhein-main-verkehrsverbund-gmbh,RMV,RB Mitte,0.20159,545,0.37927,0.32477,878
Gäufelden,Baden-Württemberg,48.559661,8.850308,Zubringerbahnhof,Regionaler Zubringer,2.0,Karlsruhe,Mannheim Hbf,nahverkehrsgesellschaft-baden-wurttemberg-mbh,NVBW,RB Südwest,0.28402,135,0.60059,0.71111,338
Garmisch-Partenkirchen,Bayern,47.491452,11.097013,Zubringerbahnhof,Regionaler Zubringer,5.0,Rosenheim,München Hbf,bayerische-eisenbahngesellschaft-mbh,BEG,RB Süd,-0.25,6,0.95,-5.0,120
Geilenkirchen,Nordrhein-Westfalen,50.961039,6.124518,Knotenbahnhof,Regionaler Knoten,3.0,Düsseldorf,Duisburg Hbf,zweckverband-nahverkehr-rheinland-gmbh,NVR,RB West,-0.19737,108,0.52632,-0.41667,228
Lennestadt-Grevenbrück,Nordrhein-Westfalen,51.141781,8.017977,Zubringerbahnhof,ländlicher Zubringer,2.0,Hagen,Düsseldorf Hbf,zweckverband-nahverkehr-westfalen-lippe,NWL,RB West,0.10997,430,0.26117,0.14884,582
Gütersloh Hbf,Nordrhein-Westfalen,51.906941,8.385071,Knotenbahnhof,Regionaler Knoten,4.0,Bielefeld,Dortmund Hbf,zweckverband-nahverkehr-westfalen-lippe,NWL,RB West,-0.09836,949,0.25917,-0.13277,1281
Hamburg Dammtor,Hamburg,53.560751,9.989566,Knotenbahnhof,Großstadtknoten,4.0,Hamburg,Hamburg Hbf,hamburger-verkehrsverbund-gmbh,BWVI,RB Nord,0.53827,2835,0.40876,0.91041,4795
Hamburg Hbf,Hamburg,53.552736,10.006909,Metropolbahnhof,Metropolbahnhof,12.0,Hamburg,Hamburg Hbf,hamburger-verkehrsverbund-gmbh,BWVI,RB Nord,-0.66538,7377,0.27184,-0.91379,10131
Hamburg-Altona,Hamburg,53.552695,9.935175,Knotenbahnhof,Großstadtknoten,12.0,Hamburg,Hamburg Hbf,hamburger-verkehrsverbund-gmbh,BWVI,RB Nord,-4.38448,2819,0.45453,-8.03796,5168
Hamburg-Bergedorf,Hamburg,53.489832,10.206171,Knotenbahnhof,Großstadtknoten,5.0,Hamburg,Hamburg Hbf,hamburger-verkehrsverbund-gmbh,BWVI,RB Nord,0.02105,44,0.53684,0.04545,95
Hammerau,Bayern,47.795883,12.946134,Zubringerbahnhof,ländlicher Zubringer,2.0,Rosenheim,München Hbf,bayerische-eisenbahngesellschaft-mbh,BEG,RB Süd,-0.1,52,0.13333,-0.11538,60
Heppenheim (Bergstr),Hessen,49.641553,8.633379,Knotenbahnhof,Regionaler Knoten,2.0,Darmstadt,Frankfurt (Main) Hbf,verkehrsverbund-rhein-neckar-gmbh,VRN,RB Mitte,-0.40816,26,0.46939,-0.76923,49
Herrenberg,Baden-Württemberg,48.593991,8.862662,Knotenbahnhof,Regionaler Knoten,6.0,Stuttgart,Stuttgart Hbf,nahverkehrsgesellschaft-baden-wurttemberg-mbh,NVBW,RB Südwest,0.38166,167,0.50592,0.77246,338
Herzogenrath,Nordrhein-Westfalen,50.870916,6.094486,Knotenbahnhof,Regionaler Knoten,4.0,Düsseldorf,Duisburg Hbf,zweckverband-nahverkehr-rheinland-gmbh,NVR,RB West,0.05357,95,0.43452,0.09474,168
Hünfeld,Hessen,50.673271,9.762453,Zubringerbahnhof,Regionaler Zubringer,3.0,Kassel,Kassel-Wilhelmshöhe,rhein-main-verkehrsverbund-gmbh,RMV,RB Mitte,0.0,0,1.0,,49
Siegen-Weidenau,Nordrhein-Westfalen,50.895966,8.029842,Zubringerbahnhof,Regionaler Zubringer,2.0,Hagen,Düsseldorf Hbf,zweckverband-nahverkehr-westfalen-lippe,NWL,RB West,0.13084,451,0.29751,0.18625,642
Immenstadt,Bayern,47.559203,10.213999,Knotenbahnhof,Regionaler Knoten,3.0,Augsburg,München Hbf,bayerische-eisenbahngesellschaft-mbh,BEG,RB Süd,0.34167,220,0.08333,0.37273,240
Itzehoe,Schleswig-Holstein,53.923873,9.510287,Knotenbahnhof,Regionaler Knoten,4.0,Schleswig-Holstein,Kiel Hbf,nahverkehrsverbund-schleswig-holstein-gmbh,NAH.SH,RB Nord,0.17021,450,0.3617,0.26667,705
Karlsruhe-Durlach,Baden-Württemberg,49.002328,8.462822,Knotenbahnhof,Großstadtknoten,8.0,Karlsruhe,Mannheim Hbf,nahverkehrsgesellschaft-baden-wurttemberg-mbh,NVBW,RB Südwest,-0.48225,95,0.71893,-1.71579,338
Kassel-Wilhelmshöhe,Hessen,51.313114,9.446898,Knotenbahnhof,Großstadtknoten,8.0,Kassel,Kassel-Wilhelmshöhe,nordhessischer-verkehrsverbund-mbh,NVV,RB Mitte,0.49202,3152,0.47572,0.93845,6012
Keitum,Schleswig-Holstein,54.888814,8.368969,Zubringerbahnhof,Regionaler Zubringer,2.0,Schleswig-Holstein,Kiel Hbf,nahverkehrsverbund-schleswig-holstein-gmbh,NAH.SH,RB Nord,0.65,33,0.45,1.18182,60
Klanxbüll,Schleswig-Holstein,54.861997,8.676454,Zubringerbahnhof,Regionaler Zubringer,2.0,Schleswig-Holstein,Kiel Hbf,nahverkehrsverbund-schleswig-holstein-gmbh,NAH.SH,RB Nord,1.15,40,0.33333,1.725,60
Köln/Bonn Flughafen,Nordrhein-Westfalen,50.878901,7.119302,Knotenbahnhof,Großstadtknoten,4.0,Köln,Köln Hbf,zweckverband-nahverkehr-rheinland-gmbh,NVR,RB West,0.13317,300,0.24623,0.17667,398
Köln Süd,Nordrhein-Westfalen,50.9273,6.938059,Knotenbahnhof,Regionaler Knoten,4.0,Köln,Köln Hbf,zweckverband-nahverkehr-rheinland-gmbh,NVR,RB West,-0.0678,3,0.94915,-1.33333,59
Köln Messe/Deutz,Nordrhein-Westfalen,50.940874,6.975001,Knotenbahnhof,Großstadtknoten,10.0,Köln,Köln Hbf,zweckverband-nahverkehr-rheinland-gmbh,NVR,RB West,0.11182,3123,0.60135,0.2805,7834
Konstanz,Baden-Württemberg,47.658754,9.177312,Knotenbahnhof,Regionaler Knoten,3.0,Friedrichshafen,Stuttgart Hbf,nahverkehrsgesellschaft-baden-wurttemberg-mbh,NVBW,RB Südwest,-0.2093,39,0.89922,-2.07692,387
Kronach,Bayern,50.239612,11.320115,Zubringerbahnhof,Regionaler Zubringer,5.0,Nordfranken,Nürnberg Hbf,bayerische-eisenbahngesellschaft-mbh,BEG,RB Süd,0.01669,405,0.32387,0.02469,599
Hannover-Messe / Laatzen,Niedersachsen,52.316899,9.792863,Zubringerbahnhof,Regionaler Zubringer,6.0,Hannover,Hannover Hbf,region-hannover,RH,RB Nord,0.1165,40,0.93528,1.8,618
Langenhorn (Schlesw),Schleswig-Holstein,54.685934,8.946413,Zubringerbahnhof,ländlicher Zubringer,2.0,Schleswig-Holstein,Kiel Hbf,nahverkehrsverbund-schleswig-holstein-gmbh,NAH.SH,RB Nord,-0.31381,93,0.61088,-0.80645,239
Limburg Süd,Hessen,50.382498,8.096112,Zubringerbahnhof,Regionaler Zubringer,2.0,Gießen,Kassel-Wilhelmshöhe,rhein-main-verkehrsverbund-gmbh,RMV,RB Mitte,0.24038,769,0.70423,0.81274,2600
Lingen (Ems),Niedersachsen,52.519867,7.321731,Zubringerbahnhof,Regionaler Zubringer,2.0,Bremen / Osnabrück,Bremen Hbf,landesnahverkehrsgesellschaft-niedersachsen-mbh,LNVG,RB Nord,-0.62464,664,0.36581,-0.98494,1047
Ludwigsstadt,Bayern,50.486583,11.382989,Zubringerbahnhof,ländlicher Zubringer,3.0,Nordfranken,Nürnberg Hbf,bayerische-eisenbahngesellschaft-mbh,BEG,RB Süd,-0.04007,379,0.36728,-0.06332,599
Marienhafe,Niedersachsen,53.5192358,7.27436006,Zubringerbahnhof,ländlicher Zubringer,2.0,Bremen / Osnabrück,Bremen Hbf,landesnahverkehrsgesellschaft-niedersachsen-mbh,LNVG,RB Nord,0.12857,326,0.33469,0.19325,490
