name,federalState,latitude,longitude,type,segment,platforms,stationManagement,controlCenter,operator,operatorShort,regionalSector,delay,pureDelayNum,punctuality,pureDelay,handledTrains
Meppen,Niedersachsen,52.696021,7.298015,Zubringerbahnhof,Regionaler Zubringer,3.0,Bremen / Osnabrück,Bremen Hbf,landesnahverkehrsgesellschaft-niedersachsen-mbh,LNVG,RB Nord,0.07545,631,0.39733,0.1252,1047
Müllheim (Baden),Baden-Württemberg,47.809743,7.599332,Knotenbahnhof,Regionaler Knoten,4.0,Freiburg,Freiburg (Breisgau) Hbf,nahverkehrsgesellschaft-baden-wurttemberg-mbh,NVBW,RB Südwest,-1.06061,31,0.06061,-1.12903,33
München-Pasing,Bayern,48.149852,11.461872,Knotenbahnhof,Großstadtknoten,9.0,München,München Hbf,bayerische-eisenbahngesellschaft-mbh,BEG,RB Süd,0.29599,3228,0.29226,0.41822,4561
Murnau,Bayern,47.682266,11.192628,Zubringerbahnhof,Regionaler Zubringer,4.0,Rosenheim,München Hbf,bayerische-eisenbahngesellschaft-mbh,BEG,RB Süd,-0.01667,12,0.9,-0.16667,120
Niebüll,Schleswig-Holstein,54.789605,8.834572,Knotenbahnhof,Regionaler Knoten,6.0,Schleswig-Holstein,Kiel Hbf,nahverkehrsverbund-schleswig-holstein-gmbh,NAH.SH,RB Nord,0.43121,855,0.57378,1.0117,2006
Norddeich,Niedersachsen,53.621579,7.160824,Zubringerbahnhof,ländlicher Zubringer,2.0,Bremen / Osnabrück,Bremen Hbf,landesnahverkehrsgesellschaft-niedersachsen-mbh,LNVG,RB Nord,0.09806,529,0.42996,0.17202,928
Nürtingen,Baden-Württemberg,48.627997,9.342648,Knotenbahnhof,Regionaler Knoten,3.0,Friedrichshafen,Stuttgart Hbf,nahverkehrsgesellschaft-baden-wurttemberg-mbh,NVBW,RB Südwest,0.13846,39,0.4,0.23077,65
Oberndorf (Neckar),Baden-Württemberg,48.295669,8.575514,Zubringerbahnhof,ländlicher Zubringer,3.0,Freiburg,Freiburg (Breisgau) Hbf,nahverkehrsgesellschaft-baden-wurttemberg-mbh,NVBW,RB Südwest,-0.57386,175,0.50284,-1.15429,352
Oberstdorf,Bayern,47.411032,10.278097,Zubringerbahnhof,Regionaler Zubringer,5.0,Augsburg,München Hbf,bayerische-eisenbahngesellschaft-mbh,BEG,RB Süd,-10.12083,215,0.10417,-11.29767,240
Westerstede-Ocholt,Niedersachsen,53.202166,7.886468,Zubringerbahnhof,ländlicher Zubringer,3.0,Bremen / Osnabrück,Bremen Hbf,landesnahverkehrsgesellschaft-niedersachsen-mbh,LNVG,RB Nord,0.33364,835,0.22398,0.42994,1076
Osterholz-Scharmbeck,Niedersachsen,53.222776,8.797434,Knotenbahnhof,Regionaler Knoten,2.0,Bremen / Osnabrück,Bremen Hbf,landesnahverkehrsgesellschaft-niedersachsen-mbh,LNVG,RB Nord,0.13333,74,0.29524,0.18919,105
Papenburg (Ems),Niedersachsen,53.089706,7.386708,Zubringerbahnhof,Regionaler Zubringer,2.0,Bremen / Osnabrück,Bremen Hbf,landesnahverkehrsgesellschaft-niedersachsen-mbh,LNVG,RB Nord,0.26648,544,0.48042,0.51287,1047
Peine,Niedersachsen,52.318942,10.232145,Zubringerbahnhof,Regionaler Zubringer,2.0,Braunschweig / Göttingen,Hannover Hbf,regionalverband-grossraum-braunschweig,RVB,RB Nord,-0.38506,93,0.46552,-0.72043,174
Piding,Bayern,47.759543,12.91153,Zubringerbahnhof,Regionaler Zubringer,2.0,Rosenheim,München Hbf,bayerische-eisenbahngesellschaft-mbh,BEG,RB Süd,-0.36667,48,0.2,-0.45833,60
Plettenberg,Nordrhein-Westfalen,51.23193,7.868913,Zubringerbahnhof,ländlicher Zubringer,3.0,Hagen,Düsseldorf Hbf,zweckverband-nahverkehr-westfalen-lippe,NWL,RB West,0.08763,457,0.21478,0.1116,582
Prien am Chiemsee,Bayern,47.855513,12.346615,Knotenbahnhof,Regionaler Knoten,4.0,Rosenheim,München Hbf,bayerische-eisenbahngesellschaft-mbh,BEG,RB Süd,-0.11972,47,0.66901,-0.3617,142
Ravensburg,Baden-Württemberg,47.784481,9.6061,Knotenbahnhof,Regionaler Knoten,3.0,Friedrichshafen,Stuttgart Hbf,nahverkehrsgesellschaft-baden-wurttemberg-mbh,NVBW,RB Südwest,0.0,0,1.0,,60
Schorndorf,Baden-Württemberg,48.80715,9.52631,Knotenbahnhof,Regionaler Knoten,6.0,Stuttgart,Stuttgart Hbf,nahverkehrsgesellschaft-baden-wurttemberg-mbh,NVBW,RB Südwest,-0.0084,173,0.27311,-0.01156,238
Siegburg/Bonn,Nordrhein-Westfalen,50.793915,7.203026,Knotenbahnhof,Regionaler Knoten,4.0,Köln,Köln Hbf,zweckverband-nahverkehr-rheinland-gmbh,NVR,RB West,0.63645,1947,0.37416,1.01695,3111
Sonthofen,Bayern,47.513241,10.272344,Zubringerbahnhof,Regionaler Zubringer,3.0,Augsburg,München Hbf,bayerische-eisenbahngesellschaft-mbh,BEG,RB Süd,0.49167,226,0.05833,0.52212,240
Spaichingen,Baden-Württemberg,48.068987,8.740147,Zubringerbahnhof,ländlicher Zubringer,3.0,Freiburg,Freiburg (Breisgau) Hbf,nahverkehrsgesellschaft-baden-wurttemberg-mbh,NVBW,RB Südwest,0.35354,170,0.42761,0.61765,297
Sulz (Neckar),Baden-Württemberg,48.366485,8.636748,Zubringerbahnhof,ländlicher Zubringer,2.0,Freiburg,Freiburg (Breisgau) Hbf,nahverkehrsgesellschaft-baden-wurttemberg-mbh,NVBW,RB Südwest,-0.11932,170,0.51705,-0.24706,352
Triberg,Baden-Württemberg,48.140004,8.236806,Zubringerbahnhof,ländlicher Zubringer,3.0,Freiburg,Freiburg (Breisgau) Hbf,nahverkehrsgesellschaft-baden-wurttemberg-mbh,NVBW,RB Südwest,-0.16185,30,0.82659,-0.93333,173
Übersee,Bayern,47.822047,12.487338,Zubringerbahnhof,ländlicher Zubringer,3.0,Rosenheim,München Hbf,bayerische-eisenbahngesellschaft-mbh,BEG,RB Süd,-0.73333,54,0.1,-0.81481,60
Vaihingen (Enz),Baden-Württemberg,48.948118,8.957632,Knotenbahnhof,Regionaler Knoten,4.0,Mannheim,Mannheim Hbf,nahverkehrsgesellschaft-baden-wurttemberg-mbh,NVBW,RB Südwest,0.41935,1064,0.3524,0.64756,1643
Verden (Aller),Niedersachsen,52.920818,9.237855,Knotenbahnhof,Regionaler Knoten,5.0,Bremen / Osnabrück,Bremen Hbf,landesnahverkehrsgesellschaft-niedersachsen-mbh,LNVG,RB Nord,-0.26473,840,0.26121,-0.35833,1137
Werdohl,Nordrhein-Westfalen,51.259485,7.757544,Zubringerbahnhof,Regionaler Zubringer,2.0,Hagen,Düsseldorf Hbf,zweckverband-nahverkehr-westfalen-lippe,NWL,RB West,-0.01718,450,0.2268,-0.02222,582
Westerland (Sylt),Schleswig-Holstein,54.906839,8.310925,Zubringerbahnhof,Regionaler Zubringer,7.0,Schleswig-Holstein,Kiel Hbf,nahverkehrsverbund-schleswig-holstein-gmbh,NAH.SH,RB Nord,-3.61709,242,0.58632,-8.7438,585
Wiesloch-Walldorf,Baden-Württemberg,49.291353,8.664146,Knotenbahnhof,Regionaler Knoten,3.0,Mannheim,Mannheim Hbf,nahverkehrsgesellschaft-baden-wurttemberg-mbh,NVBW,RB Südwest,-0.20252,282,0.67735,-0.62766,874
Wolfsburg Hbf,Niedersachsen,52.429498,10.787784,Knotenbahnhof,Großstadtknoten,6.0,Braunschweig / Göttingen,Hannover Hbf,regionalverband-grossraum-braunschweig,RVB,RB Nord,0.47949,3124,0.44294,0.86076,5608
Neu-Ulm,Bayern,48.393039,10.004823,Knotenbahnhof,Regionaler Knoten,4.0,Augsburg,München Hbf,bayerische-eisenbahngesellschaft-mbh,BEG,RB Süd,0.03571,24,0.78571,0.16667,112
Norddeich Mole,Niedersachsen,53.624315,7.158806,Zubringerbahnhof,ländlicher Zubringer,1.0,Bremen / Osnabrück,Bremen Hbf,landesnahverkehrsgesellschaft-niedersachsen-mbh,LNVG,RB Nord,-1.50413,456,0.52893,-3.19298,968
Angermünde,Brandenburg,53.015221,13.996361,Knotenbahnhof,Regionaler Knoten,5.0,Potsdam,Potsdam,verkehrsverbund-berlin-brandenburg-gmbh-fur-brandenburg,VBB,RB Ost,-0.08121,427,0.48242,-0.15691,825
Bad Kleinen,Mecklenburg-Vorpommern,53.766974,11.466925,Knotenbahnhof,Regionaler Knoten,4.0,Schwerin,Rostock Hbf,verkehrsgesellschaft-mecklenburg-vorpommern-mbh,VMV,RB Ost,-0.03857,170,0.53168,-0.08235,363
Bergen auf Rügen,Mecklenburg-Vorpommern,54.4205,13.417821,Zubringerbahnhof,Regionaler Zubringer,4.0,Rostock,Rostock Hbf,verkehrsgesellschaft-mecklenburg-vorpommern-mbh,VMV,RB Ost,0.07002,299,0.7316,0.26087,1114
Berlin-Lichtenberg,Berlin,52.5101355,13.4966934,Knotenbahnhof,Großstadtknoten,8.0,Berlin Regional- und S-Bahnhöfe,Berlin Ostbahnhof,verkehrsverbund-berlin-brandenburg-gmbh-fur-berlin,VBB Berlin,RB Ost,0.14366,82,0.76901,0.62195,355
Bitterfeld,Sachsen-Anhalt,51.622861,12.31685,Knotenbahnhof,Regionaler Knoten,6.0,Halle (Saale),Leipzig Hbf,nahverkehrsservice-sachsen-anhalt-gmbh,NASA,RB Südost,0.40051,977,0.17622,0.48618,1186
Brandenburg Hbf,Brandenburg,52.400554,12.566138,Knotenbahnhof,Regionaler Knoten,5.0,Potsdam,Potsdam,verkehrsverbund-berlin-brandenburg-gmbh-fur-brandenburg,VBB,RB Ost,-0.06173,164,0.3251,-0.09146,243
Bützow,Mecklenburg-Vorpommern,53.837114,11.998194,Zubringerbahnhof,Regionaler Zubringer,3.0,Rostock,Rostock Hbf,verkehrsgesellschaft-mecklenburg-vorpommern-mbh,VMV,RB Ost,0.08478,364,0.64933,0.24176,1038
Cottbus Hbf,Brandenburg,51.750957,14.324162,Knotenbahnhof,Regionaler Knoten,10.0,Cottbus,Potsdam,verkehrsverbund-berlin-brandenburg-gmbh-fur-brandenburg,VBB,RB Ost,-2.85714,50,0.55357,-6.4,112
Dessau Hbf,Sachsen-Anhalt,51.839865,12.234945,Knotenbahnhof,Regionaler Knoten,7.0,Magdeburg,Magdeburg Hbf,nahverkehrsservice-sachsen-anhalt-gmbh,NASA,RB Südost,1.63158,10,0.47368,3.1,19
Doberlug-Kirchhain,Brandenburg,51.620576,13.564241,Zubringerbahnhof,ländlicher Zubringer,4.0,Cottbus,Potsdam,verkehrsverbund-berlin-brandenburg-gmbh-fur-brandenburg,VBB,RB Ost,-0.00141,413,0.41913,-0.00242,711
Döbeln Hbf,Sachsen,51.126568,13.094988,Zubringerbahnhof,ländlicher Zubringer,4.0,Leipzig,Leipzig Hbf,zweckverband-verkehrsverbund-mittelsachsen,VMS,RB Südost,-0.05085,2,0.9661,-1.5,59
Dresden Hbf,Sachsen,51.040563,13.732035,Metropolbahnhof,Metropolbahnhof,15.0,Dresden,Dresden,verkehrsbund-oberelbe-gmbh,VVO,RB Südost,-2.9066,1640,0.36704,-4.59207,2591
Dresden-Neustadt,Sachsen,51.065899,13.740701,Knotenbahnhof,Großstadtknoten,8.0,Dresden,Dresden,verkehrsbund-oberelbe-gmbh,VVO,RB Südost,0.20774,1759,0.30529,0.29903,2532
Eberswalde Hbf,Brandenburg,52.834021,13.797062,Knotenbahnhof,Regionaler Knoten,5.0,Potsdam,Potsdam,verkehrsverbund-berlin-brandenburg-gmbh-fur-brandenburg,VBB,RB Ost,-0.06527,424,0.44648,-0.11792,766
Eisenach,Thüringen,50.976922,10.331986,Knotenbahnhof,Regionaler Knoten,6.0,Erfurt,Erfurt Hbf,thuringer-landesamt-fur-bau-und-verkehr,TLBV,RB Südost,0.23254,1077,0.53275,0.49768,2305
Elsterwerda,Brandenburg,51.459677,13.516428,Zubringerbahnhof,Regionaler Zubringer,3.0,Cottbus,Potsdam,verkehrsverbund-berlin-brandenburg-gmbh-fur-brandenburg,VBB,RB Ost,-0.0699,608,0.40971,-0.11842,1030
Erfurt Hbf,Thüringen,50.972551,11.038499,Knotenbahnhof,Großstadtknoten,10.0,Erfurt,Erfurt Hbf,thuringer-landesamt-fur-bau-und-verkehr,TLBV,RB Südost,0.02522,4452,0.3155,0.03684,6504
Frankfurt (Oder),Brandenburg,52.336416,14.546496,Knotenbahnhof,Regionaler Knoten,6.0,Cottbus,Potsdam,verkehrsverbund-berlin-brandenburg-gmbh-fur-brandenburg,VBB,RB Ost,1.51724,92,0.2069,1.91304,116
Freiberg (Sachs),Sachsen,50.908725,13.344141,Knotenbahnhof,Regionaler Knoten,4.0,Chemnitz,Dresden,zweckverband-verkehrsverbund-mittelsachsen,VMS,RB Südost,-0.68776,134,0.4346,-1.21642,237
Gera Hbf,Thüringen,50.883421,12.077092,Knotenbahnhof,Regionaler Knoten,6.0,Chemnitz,Erfurt Hbf,thuringer-landesamt-fur-bau-und-verkehr,TLBV,RB Südost,-3.05172,159,0.60837,-7.79245,406
Jena-Göschwitz,Thüringen,50.883942,11.593537,Knotenbahnhof,Regionaler Knoten,6.0,Chemnitz,Erfurt Hbf,thuringer-landesamt-fur-bau-und-verkehr,TLBV,RB Südost,-0.0955,599,0.44995,-0.17362,1089
Gotha,Thüringen,50.93907,10.712568,Knotenbahnhof,Regionaler Knoten,6.0,Erfurt,Erfurt Hbf,thuringer-landesamt-fur-bau-und-verkehr,TLBV,RB Südost,0.35998,998,0.38166,0.58216,1614
Greifswald,Mecklenburg-Vorpommern,54.092923,13.370262,Zubringerbahnhof,Regionaler Zubringer,3.0,Rostock,Rostock Hbf,verkehrsgesellschaft-mecklenburg-vorpommern-mbh,VMV,RB Ost,-0.22933,358,0.64764,-0.65084,1016
Halle (Saale) Hbf,Sachsen-Anhalt,51.477509,11.987085,Knotenbahnhof,Großstadtknoten,13.0,Halle (Saale),Leipzig Hbf,nahverkehrsservice-sachsen-anhalt-gmbh,NASA,RB Südost,-0.05438,3568,0.36794,-0.08604,5645
Chemnitz Hbf,Sachsen,50.839696,12.930877,Knotenbahnhof,Großstadtknoten,13.0,Chemnitz,Dresden,zweckverband-verkehrsverbund-mittelsachsen,VMS,RB Südost,-2.81419,108,0.63514,-7.71296,296
Königs Wusterhausen,Brandenburg,52.296635,13.631472,Knotenbahnhof,Regionaler Knoten,3.0,Cottbus,Potsdam,verkehrsverbund-berlin-brandenburg-gmbh-fur-brandenburg,VBB,RB Ost,-0.36607,65,0.41964,-0.63077,112
Köthen,Sachsen-Anhalt,51.751929,11.989358,Zubringerbahnhof,Regionaler Zubringer,5.0,Magdeburg,Magdeburg Hbf,nahverkehrsservice-sachsen-anhalt-gmbh,NASA,RB Südost,-0.31153,1234,0.31596,-0.45543,1804
Leipzig Hbf,Sachsen,51.3454712,12.3820639,Metropolbahnhof,Metropolbahnhof,25.0,Leipzig,Leipzig Hbf,zweckverband-fur-den-nahverkehrsraum-leipzig,ZVNL,RB Südost,-1.08465,3337,0.48455,-2.10429,6474
Ludwigslust,Mecklenburg-Vorpommern,53.334671,11.494491,Knotenbahnhof,Regionaler Knoten,5.0,Schwerin,Rostock Hbf,verkehrsgesellschaft-mecklenburg-vorpommern-mbh,VMV,RB Ost,0.16257,1047,0.58485,0.3916,2522
Lübben (Spreewald),Brandenburg,51.939737,13.877182,Knotenbahnhof,Regionaler Knoten,3.0,Cottbus,Potsdam,verkehrsverbund-berlin-brandenburg-gmbh-fur-brandenburg,VBB,RB Ost,-0.36607,58,0.48214,-0.7069,112
Lübbenau (Spreewald),Brandenburg,51.862169,13.9609,Zubringerbahnhof,Regionaler Zubringer,3.0,Cottbus,Potsdam,verkehrsverbund-berlin-brandenburg-gmbh-fur-brandenburg,VBB,RB Ost,-0.29464,59,0.47321,-0.55932,112
Lutherstadt Wittenberg Hauptbahnhof,Sachsen-Anhalt,51.867811,12.662285,Knotenbahnhof,Regionaler Knoten,6.0,Halle (Saale),Leipzig Hbf,nahverkehrsservice-sachsen-anhalt-gmbh,NASA,RB Südost,0.20029,1090,0.46621,0.37523,2042
Magdeburg Hbf,Sachsen-Anhalt,52.130349,11.626891,Knotenbahnhof,Großstadtknoten,9.0,Magdeburg,Magdeburg Hbf,nahverkehrsservice-sachsen-anhalt-gmbh,NASA,RB Südost,-0.26843,1693,0.22975,-0.34849,2198
Naumburg (Saale) Hbf,Sachsen-Anhalt,51.163071,11.796984,Knotenbahnhof,Regionaler Knoten,5.0,Halle (Saale),Leipzig Hbf,nahverkehrsservice-sachsen-anhalt-gmbh,NASA,RB Südost,0.08105,350,0.56359,0.18571,802
Neustrelitz Hbf,Mecklenburg-Vorpommern,53.359255,13.074603,Knotenbahnhof,Regionaler Knoten,4.0,Rostock,Rostock Hbf,verkehrsgesellschaft-mecklenburg-vorpommern-mbh,VMV,RB Ost,0.07881,360,0.69492,0.25833,1180
Berlin Ostbahnhof,Berlin,52.5104881,13.4346807,Knotenbahnhof,Großstadtknoten,9.0,Berlin Fernbahnhöfe,Berlin Ostbahnhof,verkehrsverbund-berlin-brandenburg-gmbh-fur-berlin,VBB Berlin,RB Ost,-4.13253,3616,0.44853,-7.49364,6557
Pasewalk,Mecklenburg-Vorpommern,53.515353,13.988875,Zubringerbahnhof,Regionaler Zubringer,4.0,Rostock,Rostock Hbf,verkehrsgesellschaft-mecklenburg-vorpommern-mbh,VMV,RB Ost,0.15879,414,0.49818,0.31643,825
Prenzlau,Brandenburg,53.321608,13.866532,Zubringerbahnhof,ländlicher Zubringer,3.0,Potsdam,Potsdam,verkehrsverbund-berlin-brandenburg-gmbh-fur-brandenburg,VBB,RB Ost,-0.01576,431,0.47758,-0.03016,825
Riesa,Sachsen,51.309654,13.287734,Knotenbahnhof,Regionaler Knoten,9.0,Leipzig,Leipzig Hbf,verkehrsbund-oberelbe-gmbh,VVO,RB Südost,0.46471,1287,0.27329,0.63947,1771
Rostock Hbf,Mecklenburg-Vorpommern,54.078246,12.131079,Knotenbahnhof,Großstadtknoten,11.0,Rostock,Rostock Hbf,verkehrsgesellschaft-mecklenburg-vorpommern-mbh,VMV,RB Ost,-0.40796,917,0.49309,-0.8048,1809
Rudolstadt (Thür),Thüringen,50.7179313,11.3388991,Zubringerbahnhof,Regionaler Zubringer,3.0,Chemnitz,Erfurt Hbf,thuringer-landesamt-fur-bau-und-verkehr,TLBV,RB Südost,0.27713,435,0.27379,0.38161,599
Saalfeld (Saale),Thüringen,50.6502734,11.3745832,Knotenbahnhof,Regionaler Knoten,7.0,Chemnitz,Erfurt Hbf,thuringer-landesamt-fur-bau-und-verkehr,TLBV,RB Südost,-0.0985,407,0.32053,-0.14496,599
Salzwedel,Sachsen-Anhalt,52.858113,11.162035,Zubringerbahnhof,ländlicher Zubringer,4.0,Magdeburg,Magdeburg Hbf,nahverkehrsservice-sachsen-anhalt-gmbh,NASA,RB Südost,0.0,0,1.0,,60
Schwerin Hbf,Mecklenburg-Vorpommern,53.634739,11.407455,Knotenbahnhof,Großstadtknoten,4.0,Schwerin,Rostock Hbf,verkehrsgesellschaft-mecklenburg-vorpommern-mbh,VMV,RB Ost,0.23846,553,0.67278,0.72875,1690
Stendal Hbf,Sachsen-Anhalt,52.594723,11.854412,Knotenbahnhof,Regionaler Knoten,8.0,Magdeburg,Magdeburg Hbf,nahverkehrsservice-sachsen-anhalt-gmbh,NASA,RB Südost,0.57242,1173,0.41613,0.98039,2009
Stralsund Hbf,Mecklenburg-Vorpommern,54.308626,13.077321,Knotenbahnhof,Regionaler Knoten,6.0,Rostock,Rostock Hbf,verkehrsgesellschaft-mecklenburg-vorpommern-mbh,VMV,RB Ost,-0.50206,607,0.64315,-1.40692,1701
Velgast,Mecklenburg-Vorpommern,54.277316,12.803137,Zubringerbahnhof,ländlicher Zubringer,3.0,Rostock,Rostock Hbf,verkehrsgesellschaft-mecklenburg-vorpommern-mbh,VMV,RB Ost,0.03425,247,0.71804,0.12146,876
Waren (Müritz),Mecklenburg-Vorpommern,53.521512,12.680678,Zubringerbahnhof,ländlicher Zubringer,3.0,Rostock,Rostock Hbf,verkehrsgesellschaft-mecklenburg-vorpommern-mbh,VMV,RB Ost,0.04923,336,0.52743,0.10417,711
Weimar,Thüringen,50.991487,11.326458,Knotenbahnhof,Regionaler Knoten,5.0,Erfurt,Erfurt Hbf,thuringer-landesamt-fur-bau-und-verkehr,TLBV,RB Südost,0.15953,246,0.5214,0.33333,514
Weißenfels,Sachsen-Anhalt,51.204615,11.970926,Zubringerbahnhof,Regionaler Zubringer,4.0,Halle (Saale),Leipzig Hbf,nahverkehrsservice-sachsen-anhalt-gmbh,NASA,RB Südost,0.05623,343,0.47872,0.10787,658
Wittenberge,Brandenburg,53.003115,11.762871,Knotenbahnhof,Regionaler Knoten,5.0,Schwerin,Rostock Hbf,verkehrsverbund-berlin-brandenburg-gmbh-fur-brandenburg,VBB,RB Ost,0.0493,713,0.52498,0.10379,1501
Züssow,Mecklenburg-Vorpommern,53.973879,13.548191,Zubringerbahnhof,Regionaler Zubringer,2.0,Rostock,Rostock Hbf,verkehrsgesellschaft-mecklenburg-vorpommern-mbh,VMV,RB Ost,0.10788,329,0.60121,0.27052,825
Berlin-Spandau,Berlin,52.5346481,13.1968975,Knotenbahnhof,Großstadtknoten,6.0,Berlin Fernbahnhöfe,Berlin Ostbahnhof,verkehrsverbund-berlin-brandenburg-gmbh-fur-berlin,VBB Berlin,RB Ost,0.44229,6673,0.35062,0.6811,10276
Berlin-Wannsee,Berlin,52.4209723,13.1795275,Knotenbahnhof,Großstadtknoten,7.0,Berlin Regional- und S-Bahnhöfe,Berlin Ostbahnhof,verkehrsverbund-berlin-brandenburg-gmbh-fur-berlin,VBB Berlin,RB Ost,-0.14815,141,0.41975,-0.25532,243
Berlin Zoologischer Garten,Berlin,52.507277,13.331992,Knotenbahnhof,Großstadtknoten,6.0,Berlin Regional- und S-Bahnhöfe,Berlin Ostbahnhof,verkehrsverbund-berlin-brandenburg-gmbh-fur-berlin,VBB Berlin,RB Ost,-0.17549,68,0.90529,-1.85294,718
Anklam,Mecklenburg-Vorpommern,53.856102,13.701827,Zubringerbahnhof,ländlicher Zubringer,2.0,Rostock,Rostock Hbf,verkehrsgesellschaft-mecklenburg-vorpommern-mbh,VMV,RB Ost,0.17939,364,0.55879,0.40659,825
Berlin Gesundbrunnen,Berlin,52.548963,13.388513,Knotenbahnhof,Großstadtknoten,10.0,Berlin Fernbahnhöfe,Berlin Ostbahnhof,verkehrsverbund-berlin-brandenburg-gmbh-fur-berlin,VBB Berlin,RB Ost,-0.56157,1709,0.60293,-1.41428,4304
Berlin Südkreuz,Berlin,52.475047,13.365319,Metropolbahnhof,Metropolbahnhof,10.0,Berlin Fernbahnhöfe,Berlin Ostbahnhof,verkehrsverbund-berlin-brandenburg-gmbh-fur-berlin,VBB Berlin,RB Ost,-0.3316,5670,0.27936,-0.46014,7868
Berlin Hbf,Berlin,52.525592,13.369545,Metropolbahnhof,Metropolbahnhof,14.0,Berlin Fernbahnhöfe,Berlin Ostbahnhof,verkehrsverbund-berlin-brandenburg-gmbh-fur-berlin,VBB Berlin,RB Ost,-0.82886,10937,0.20214,-1.03886,13708
Ostseebad Binz,Mecklenburg-Vorpommern,54.404819,13.600507,Zubringerbahnhof,ländlicher Zubringer,3.0,Rostock,Rostock Hbf,verkehrsgesellschaft-mecklenburg-vorpommern-mbh,VMV,RB Ost,-0.94794,194,0.82585,-5.4433,1114
Hermsdorf-Klosterlausnitz,Thüringen,50.903779,11.858626,Zubringerbahnhof,Regionaler Zubringer,2.0,Chemnitz,Erfurt Hbf,thuringer-landesamt-fur-bau-und-verkehr,TLBV,RB Südost,-0.03448,182,0.55172,-0.07692,406
Jena Paradies,Thüringen,50.924856,11.587461,Knotenbahnhof,Regionaler Knoten,2.0,Chemnitz,Erfurt Hbf,thuringer-landesamt-fur-bau-und-verkehr,TLBV,RB Südost,0.05653,419,0.43607,0.10024,743
Jena West,Thüringen,50.923286,11.577848,Knotenbahnhof,Regionaler Knoten,2.0,Chemnitz,Erfurt Hbf,thuringer-landesamt-fur-bau-und-verkehr,TLBV,RB Südost,0.13584,181,0.47688,0.25967,346
Potsdam Hbf,Brandenburg,52.391509,13.0667031,Knotenbahnhof,Großstadtknoten,6.0,Potsdam,Potsdam,verkehrsverbund-berlin-brandenburg-gmbh-fur-brandenburg,VBB,RB Ost,-0.11523,136,0.44033,-0.20588,243
Ribnitz-Damgarten West,Mecklenburg-Vorpommern,54.239176,12.436965,Zubringerbahnhof,ländlicher Zubringer,2.0,Rostock,Rostock Hbf,verkehrsgesellschaft-mecklenburg-vorpommern-mbh,VMV,RB Ost,0.09572,308,0.76031,0.39935,1285
Stadtroda,Thüringen,50.868216,11.722792,Zubringerbahnhof,ländlicher Zubringer,2.0,Chemnitz,Erfurt Hbf,thuringer-landesamt-fur-bau-und-verkehr,TLBV,RB Südost,-0.21182,179,0.55911,-0.48045,406
Warnemünde,Mecklenburg-Vorpommern,54.176852,12.091271,Knotenbahnhof,Regionaler Knoten,5.0,Rostock,Rostock Hbf,verkehrsgesellschaft-mecklenburg-vorpommern-mbh,VMV,RB Ost,-0.81831,367,0.4831,-1.58311,710
Magdeburg-Buckau,Sachsen-Anhalt,52.109204,11.63004,Zubringerbahnhof,Regionaler Zubringer,4.0,Magdeburg,Magdeburg Hbf,nahverkehrsservice-sachsen-anhalt-gmbh,NASA,RB Südost,0.0,0,1.0,,173
Bernau (b Berlin),Brandenburg,52.6755689,13.5926414,Knotenbahnhof,Regionaler Knoten,4.0,Potsdam,Potsdam,verkehrsverbund-berlin-brandenburg-gmbh-fur-brandenburg,VBB,RB Ost,-0.0604,247,0.17114,-0.07287,298
Oranienburg,Brandenburg,52.753653,13.249613,Knotenbahnhof,Regionaler Knoten,6.0,Potsdam,Potsdam,verkehrsverbund-berlin-brandenburg-gmbh-fur-brandenburg,VBB,RB Ost,0.27707,409,0.42475,0.48166,711
Frankfurt am Main Flughafen Fernbahnhof,Hessen,50.053167,8.570185,Knotenbahnhof,Großstadtknoten,4.0,Frankfurt a. M.,Frankfurt (Main) Hbf,rhein-main-verkehrsverbund-gmbh,RMV,RB Mitte,0.59714,5837,0.22007,0.76563,7484
